,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"6,702","6,032","3,096","5,042","6,051","4,396","5,793","10,001","16,339","20,363","30,719"
Market Cap Growth,11.22%,-10.00%,-48.67%,62.86%,20.02%,-27.36%,31.79%,72.64%,63.38%,24.63%,-
Enterprise Value,"6,216","5,923","3,450","5,291","6,585","5,423","7,284","11,269","20,112","23,910","34,661"
PE Ratio,16.68,20.33,9.96,25.42,19.21,14.98,14.41,22.44,33.62,41.46,45.08
PS Ratio,1.05,0.78,0.41,0.66,0.64,0.39,0.48,0.89,1.26,1.19,1.57
PB Ratio,1.58,1.34,1.00,1.51,1.60,1.22,1.43,2.30,3.20,3.78,5.13
P/FCF Ratio,27.99,77.53,6.63,25.32,40.18,53.26,19.61,11.23,66.73,26.67,40.49
P/OCF Ratio,15.01,19.41,4.76,12.94,16.27,12.25,11.00,8.96,28.06,18.02,26.58
EV/Sales Ratio,0.97,0.76,0.46,0.69,0.70,0.49,0.60,1.01,1.55,1.40,1.78
EV/EBITDA Ratio,8.33,9.62,5.62,10.13,11.21,7.34,7.96,12.36,18.17,16.46,20.69
EV/EBIT Ratio,10.33,13.45,8.28,16.51,17.73,11.02,11.48,18.47,29.33,29.60,31.91
EV/FCF Ratio,25.96,76.12,7.39,26.57,43.73,65.71,24.66,12.65,82.14,31.31,45.69
Debt / Equity Ratio,0.00,0.02,0.16,0.11,0.18,0.31,0.41,0.33,0.78,0.74,0.71
Debt / EBITDA Ratio,0.00,0.13,0.79,0.69,1.14,1.50,1.81,1.59,3.62,2.74,2.54
Debt / FCF Ratio,0.01,1.05,1.03,1.81,4.46,13.40,5.61,1.63,16.35,5.21,5.60
Quick Ratio,2.05,2.06,1.72,1.73,1.42,1.35,1.29,1.36,1.15,1.20,1.11
Current Ratio,2.22,2.26,1.89,1.90,1.92,1.84,1.69,1.68,1.50,1.63,1.61
Asset Turnover,1.19,1.28,1.33,1.43,1.55,1.61,1.47,1.36,1.27,1.29,1.36
Interest Coverage,225.44,92.44,51.89,21.53,17.73,13.32,9.48,13.55,9.95,6.50,6.21
Return on Equity (ROE),10.10%,6.70%,8.40%,6.10%,8.70%,7.90%,10.40%,11.00%,10.40%,9.40%,12.30%
Return on Assets (ROA),7.40%,4.90%,5.40%,3.70%,5.20%,4.20%,4.90%,5.40%,4.80%,3.70%,4.80%
Return on Capital (ROIC),7.54%,6.36%,5.07%,5.63%,7.52%,7.24%,7.06%,8.17%,5.41%,6.33%,7.67%
Earnings Yield,6.00%,4.92%,10.04%,3.93%,5.21%,6.67%,6.94%,4.46%,2.97%,2.41%,2.27%
FCF Yield,3.57%,1.29%,15.08%,3.95%,2.49%,1.88%,5.10%,8.91%,1.50%,3.75%,2.47%
Dividend Yield,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.40%,0.30%,0.20%,0.30%,0.17%
Payout Ratio,0.00%,0.00%,0.00%,0.00%,0.00%,2.10%,6.20%,6.70%,5.20%,10.50%,7.68%
Buyback Yield / Dilution,-1.01%,-2.19%,11.18%,19.39%,0.08%,1.86%,4.34%,1.55%,-0.09%,-1.80%,-0.75%
Total Shareholder Return,-1.01%,-2.19%,11.18%,19.39%,0.08%,1.96%,4.74%,1.85%,0.11%,-1.50%,-0.58%
