,2014-03-30,2014-06-29,2014-09-28,2014-12-28,2015-03-29,2015-06-28,2015-09-27,2015-12-27,2016-03-27,2016-06-26,2016-09-25,2016-12-25,2017-03-26,2017-06-25,2017-09-24,2017-12-24,2018-03-25,2018-06-24,2018-09-30,2018-12-30,2019-03-31,2019-06-30,2019-09-29,2019-12-29,2020-03-29,2020-06-28,2020-09-27,2020-12-27,2021-03-28,2021-06-27,2021-09-26,2021-12-26,2022-03-27,2022-06-26,2022-09-25,2022-12-25,2023-03-26,2023-06-25,2023-09-24,2023-12-24
Cash & Equivalents,"6,337","7,944","7,907","6,325","5,492","9,987","7,560","6,913","5,775","5,885","5,946","6,885","7,124","14,909","35,029","33,362","37,946","35,619","11,777","10,066","10,135","13,923","11,839","11,109","8,403","6,120","6,707","7,076","6,000","7,399","7,116","6,607","7,173","2,676","2,773","4,808","3,488","6,087","8,450","8,133"
Short-Term Investments,"10,291","10,209","9,658","11,463","10,063","11,344","9,761","9,615","10,627","11,225","12,702","3,927","2,858","5,954","2,279","2,041","1,625",291,311,249,195,435,421,314,"1,543","4,480","4,507","5,222","5,526","5,508","5,298","4,703","4,373","4,172","3,609","3,430","3,188","2,544","2,874","3,921"
Cash & Cash Equivalents,"16,628","18,153","17,565","17,788","15,555","21,331","17,321","16,528","16,402","17,110","18,648","10,812","9,982","20,863","37,308","35,403","39,571","35,910","12,088","10,315","10,330","14,358","12,260","11,423","9,946","10,600","11,214","12,298","11,526","12,907","12,414","11,310","11,546","6,848","6,382","8,238","6,676","8,631","11,324","12,054"
Cash Growth,23.23%,58.39%,17.37%,2.94%,-6.45%,17.51%,-1.39%,-7.08%,5.45%,-19.79%,7.66%,-34.58%,-39.14%,21.93%,100.06%,227.44%,296.42%,72.12%,-67.60%,-70.86%,-73.90%,-60.02%,1.42%,10.74%,-3.72%,-26.17%,-8.53%,7.66%,15.89%,21.76%,10.70%,-8.03%,0.17%,-46.94%,-48.59%,-27.16%,-42.18%,26.04%,77.44%,46.32%
Receivables,"2,217","2,084","2,412","2,239","2,058","1,961","1,964","1,323","1,738","1,939","2,219","2,085","4,201","3,532","3,632","3,053","3,535","3,163","2,904","3,426","3,638","2,390","2,471","2,737","3,081","1,847","4,003","4,148","3,346","2,952","3,579","4,032","4,084","3,804","5,643","3,960","3,691","3,850","3,183","3,513"
Inventory,"1,147","1,185","1,458","1,761","1,861","1,583","1,492","1,216","1,427","1,338","1,556","1,910","2,066","2,002","2,035","1,872","1,797","1,785","1,693","1,698","1,725","1,774","1,400","1,420","1,700","2,343","2,598","2,552","2,668","3,133","3,228","3,861","4,555","5,418","6,341","6,932","6,858","6,628","6,422","6,247"
Other Current Assets,"1,016",986,978,973,"1,266","1,053","1,322","1,271",590,592,558,972,659,624,618,638,641,"3,460",699,855,631,682,634,625,586,768,704,794,759,701,854,"1,019","1,425","2,929","2,358","1,968","1,848","1,367","1,535","1,625"
Total Current Assets,"21,008","22,408","22,413","22,761","20,740","25,928","22,099","20,338","20,157","20,979","22,981","15,779","16,908","27,021","43,593","40,966","45,544","44,318","17,384","16,294","16,324","19,204","16,765","16,205","15,313","15,558","18,519","19,792","18,299","19,693","20,075","20,222","21,610","18,999","20,724","21,098","19,073","20,476","22,464","23,439"
"Property, Plant & Equipment","2,573","2,555","2,487","2,531","2,523","2,574","2,534","2,484","2,391","2,341","2,306","2,270","3,065","3,164","3,216","3,224","3,224","3,073","2,975","2,932","2,945","3,037","3,081","3,171","3,358","3,487","3,711","4,033","4,186","4,424","4,559","4,723","4,893","5,038","5,168","5,215","5,281","5,216","5,042","4,907"
Long-Term Investments,"15,425","14,563","14,457","13,815","14,055","13,894","13,626","14,063","13,582","13,922","13,702","18,973","18,876","16,889","1,270","4,447",35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goodwill and Intangibles,"6,925","6,791","7,068","6,910","6,870","6,664","9,221","9,737","9,553","9,326","9,179","9,024","10,581","10,403","10,360","10,186","10,111","9,804","9,453","9,041","8,809","8,658","8,454","8,342","8,183","8,048","7,976","7,899","8,882","8,771","8,704","8,637","8,519","12,673","12,390","12,362","12,306","12,209","12,050","12,109"
Other Long-Term Assets,"1,944","2,038","2,149","2,430","2,985","3,235","3,316","3,607","4,377","4,218","4,191","6,320","6,649","6,902","7,047","5,528","5,212","4,860","2,906","5,979","5,945","3,234","4,657","5,393","5,084","5,235","5,388","5,755","5,801","5,881","7,902","9,238","9,280","10,310","10,732","11,339","11,702","11,101","11,484","11,680"
Total Long-Term Assets,"26,867","25,947","26,161","25,686","26,433","26,367","28,697","29,891","29,903","29,807","29,378","36,587","39,171","37,358","21,893","23,385","18,582","17,772","15,334","17,952","17,699","14,929","16,192","16,906","16,625","16,770","17,075","17,687","18,869","19,076","21,165","22,598","22,692","28,021","28,290","28,916","29,289","28,526","28,576","28,696"
Total Assets,"47,875","48,355","48,574","48,447","47,173","52,295","50,796","50,229","50,060","50,786","52,359","52,366","56,079","64,379","65,486","64,351","64,126","62,090","32,718","34,246","34,023","34,133","32,957","33,111","31,938","32,328","35,594","37,479","37,168","38,769","41,240","42,820","44,302","47,020","49,014","50,014","48,362","49,002","51,040","52,135"
Accounts Payable,"1,551","1,900","2,183","2,482","1,683","1,412","1,300","1,359","1,452","1,572","1,858","1,648","1,289","1,508","1,971","1,685","1,454","1,644","1,825","1,422","1,667","1,587","1,368","1,718","2,061","2,046","2,248","2,429","2,548","2,709","2,750","3,526","3,724","3,752","3,796","2,562","1,430","1,744","1,912","2,147"
Deferred Revenue,"3,992","3,873","3,752","3,648","3,445","3,256","3,079","3,269","3,317","2,961","2,886","2,765","2,733","2,624","2,505","2,393","2,305","2,215","2,120","1,904","1,808","1,778","1,725","1,572","1,497","1,414","1,329","1,184","1,149","1,093",976,861,762,643,513,394,381,341,392,303
Current Debt,0,0,0,0,"1,096","1,000","1,000","1,000","1,949","1,749","1,749","1,749","1,998","2,495","2,495","3,465","3,733","7,103","1,005",998,998,"3,000","2,496","2,498","2,499",500,500,500,500,"2,045","2,044","2,042","3,485","1,945","1,945","1,446",499,914,914,914
Other Current Liabilities,358,248,78,275,-55,415,721,875,308,561,818,"1,832","4,125","2,536","3,936","4,484","5,168","5,250","6,439","6,232","6,044","4,488","3,346","3,406","3,717","3,954","4,595","5,110","4,873","5,613","6,181","5,844","5,461","5,489","5,612","5,679","5,556","5,464","6,410","5,805"
Total Current Liabilities,"5,901","6,021","6,013","6,405","6,169","6,083","6,100","6,503","7,026","6,843","7,311","7,994","10,145","9,163","10,907","12,027","12,660","16,212","11,389","10,556","10,517","10,853","8,935","9,194","9,774","7,914","8,672","9,223","9,070","11,460","11,951","12,273","13,432","11,829","11,866","10,081","7,866","8,463","9,628","9,169"
Long-Term Debt,0,0,0,0,0,"9,913","9,969","9,950","9,993","10,024","10,008","9,935","9,939","19,403","19,398","19,381","19,361","15,378","15,365","15,388","15,405","13,426","13,437","13,437","13,449","15,425","15,226","15,231","15,235","13,695","13,701","13,708","12,195","13,600","13,537","15,431","15,486","14,530","14,484","14,566"
Other Long-Term Liabilities,"3,721","3,547","3,395","3,223","3,170","3,103","3,313","3,543","3,404","3,281","3,272","3,231","4,661","4,530","4,435","9,019","8,286","7,432","5,157","4,685","4,235","4,391","5,676","5,967","5,670","5,683","5,619","5,645","5,439","5,437","5,638","5,506","5,347","5,543","5,598","5,692","5,312","5,339","5,347","5,342"
Total Long-Term Liabilities,"3,721","3,547","3,395","3,223","3,170","13,016","13,282","13,493","13,397","13,305","13,280","13,166","14,600","23,933","23,833","28,400","27,647","22,810","20,522","20,073","19,640","17,817","19,113","19,404","19,119","21,108","20,845","20,876","20,674","19,132","19,339","19,214","17,542","19,143","19,135","21,123","20,798","19,869","19,831","19,908"
Total Liabilities,"9,622","9,568","9,408","9,628","9,339","19,099","19,382","19,996","20,423","20,148","20,591","21,160","24,745","33,096","34,740","40,427","40,307","39,022","31,911","30,629","30,157","28,670","28,048","28,598","28,893","29,022","29,517","30,099","29,744","30,592","31,290","31,487","30,974","30,972","31,001","31,204","28,664","28,332","29,459","29,077"
Total Debt,0,0,0,0,"1,096","10,913","10,969","10,950","11,942","11,773","11,757","11,684","11,937","21,898","21,893","22,846","23,094","22,481","16,370","16,386","16,403","16,426","15,933","15,935","15,948","15,925","15,726","15,731","15,735","15,740","15,745","15,750","15,680","15,545","15,482","16,877","15,985","15,444","15,398","15,480"
Debt Growth,-,-,-,-,-,-,-,-,989.60%,7.88%,7.18%,6.70%,-0.04%,86.00%,86.21%,95.53%,93.47%,2.66%,-25.23%,-28.28%,-28.97%,-26.93%,-2.67%,-2.75%,-2.77%,-3.05%,-1.30%,-1.28%,-1.34%,-1.16%,0.12%,0.12%,-0.35%,-1.24%,-1.67%,7.16%,1.95%,-0.65%,-0.54%,-8.28%
Common Stock,"9,347","8,346","7,736","6,334","4,956",0,0,0,0,169,414,214,346,225,274,265,495,0,0,0,384,581,343,0,0,113,586,113,0,0,0,0,0,0,195,0,0,77,490,0
