,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"18,271","22,219","17,671","25,600","20,592","27,958","16,009","19,364","12,590","33,149","29,746"
Market Cap Growth,75.43%,21.61%,-20.47%,44.87%,-19.56%,35.77%,-42.74%,20.96%,-34.98%,163.29%,-
Enterprise Value,"26,526","30,765","26,926","33,019","31,081","39,447","32,320","38,327","34,649",-,"51,379"
PE Ratio,23.91,33.37,13.77,15.75,11.37,18.70,-2.46,-2.95,-6.00,19.53,33.26
PS Ratio,2.26,2.68,2.08,2.92,2.17,2.55,7.25,12.64,1.42,2.38,2.14
PB Ratio,2.21,2.76,1.94,2.39,1.85,2.30,1.83,3.81,4.39,0,6.30
P/FCF Ratio,-270.13,66.72,791.46,11.08,-113.84,40.42,-2.81,-4.71,-5.65,57.15,12.18
P/OCF Ratio,10.48,11.42,7.02,8.91,5.92,7.52,-4.29,-10.31,26.13,7.40,7.55
EV/Sales Ratio,3.29,3.71,3.17,3.76,3.27,3.60,14.63,25.02,3.92,-,3.70
EV/EBITDA Ratio,14.74,14.10,11.38,12.14,10.46,11.84,-17.27,-15.59,62.01,-,11.79
EV/EBIT Ratio,25.83,22.71,18.31,18.67,16.03,18.92,-10.26,-10.22,-40.86,-,17.66
EV/FCF Ratio,-392.17,92.38,1205.97,14.29,-171.83,57.03,-5.67,-9.33,-15.55,-,21.04
Debt / Equity Ratio,1.02,1.07,1.03,0.70,0.97,0.96,2.28,4.26,8.36,0,4.68
Debt / EBITDA Ratio,4.49,3.87,3.66,3.45,2.54,3.24,-6.27,-8.13,38.77,5.54,5.08
Debt / FCF Ratio,-119.38,25.36,388.19,4.06,-41.68,15.58,-2.06,-4.87,-9.72,41.37,9.06
Quick Ratio,0.12,0.08,0.10,0.09,0.09,0.07,0.87,0.43,0.29,0,0.10
Current Ratio,0.21,0.19,0.17,0.18,0.17,0.15,0.95,0.49,0.37,0,0.19
Asset Turnover,0.39,0.40,0.38,0.39,0.34,0.36,0.07,0.05,0.26,0,0.42
Interest Coverage,3.65,3.15,4.81,5.81,5.68,5.10,-5.45,-3.00,-0.62,-2.05,-1.65
Return on Equity (ROE),8.68%,8.04%,15.92%,17.82%,16.92%,13.46%,-53.47%,-75.02%,-41.29%,59.15%,21.57%
Return on Assets (ROA),3.81%,3.21%,6.13%,7.28%,8.12%,5.40%,-21.45%,-20.24%,-6.51%,5.02%,2.90%
Return on Capital (ROIC),3.18%,2.60%,6.96%,7.71%,8.93%,7.46%,-19.26%,-13.46%,-3.17%,10.71%,2.12%
Earnings Yield,4.18%,3.00%,7.26%,6.35%,8.80%,5.35%,-40.63%,-33.94%,-16.68%,5.12%,3.43%
FCF Yield,-0.37%,1.50%,0.13%,9.03%,-0.88%,2.47%,-35.59%,-21.21%,-17.70%,1.75%,8.21%
Dividend Yield,1.09%,1.26%,1.96%,1.71%,2.56%,2.16%,2.04%,0.00%,0.00%,0.00%,0.00%
Payout Ratio,26.04%,42.09%,27.00%,26.92%,29.13%,40.32%,-5.02%,0.00%,0.00%,0.00%,0.00%
Buyback Yield / Dilution,-0.95%,1.06%,1.98%,0.29%,1.92%,0.77%,-2.10%,-17.49%,-1.15%,-11.11%,-9.72%
Total Shareholder Return,0.14%,2.32%,3.94%,2.00%,4.48%,2.92%,-0.06%,-17.49%,-1.15%,-11.11%,-9.72%
