,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Net Income,305.93,357.8,343.39,290.58,434.29,454.43,306.28,598.63,657.92,411.15
Depreciation & Amortization,48.77,49.68,53.47,64.32,65.49,65.95,65.63,63.5,54.45,49.07
Share-Based Compensation,38.87,40.82,41.29,42.7,42.19,44.95,48.3,52.49,55.93,57.66
Other Operating Activities,-344.8,-107.6,0.09,44.48,-88.98,6.99,99.43,-118.08,-165.17,165.88
Operating Cash Flow,48.77,340.7,438.24,442.08,452.99,572.32,519.63,596.53,603.14,683.75
Operating Cash Flow Growth,-83.13%,598.55%,28.63%,0.88%,2.47%,26.34%,-9.21%,14.80%,1.11%,13.37%
Capital Expenditures,-53.15,-62.83,-75.06,-82.96,-40.75,-42.48,-59.46,-33.38,-36.61,-61.12
Acquisitions,0,0,-14.67,-2.2,-1.16,0,0,-15.84,36.61,-18.98
Change in Investments,-,-,-,-,-,-,-,-187.38,-119.87,-98.26
Other Investing Activities,-,-25.81,-28.23,-27.08,-36.58,-46.03,-42.67,246.05,32.26,61.74
Investing Cash Flow,-53.15,-88.64,-117.95,-112.24,-78.5,-88.51,-102.14,9.46,-87.61,-116.62
Dividends Paid,-89.19,-97.6,-107.56,-114.16,-121,-136.42,-145.63,-155.94,-170.61,-189.29
Common Stock Issued,33.29,14.32,1.53,0.22,0.17,5.61,4.25,2.51,2.8,3.32
Share Repurchases,-167.98,-153.82,-271.14,-176.03,-231.72,-353.51,-277.54,-159.17,-287.74,-319.9
Other Financing Activities,-332.34,-300.6,-533.65,-350.39,-463.78,-712.82,-559.52,-321.07,-578.51,-643.11
Financing Cash Flow,-220.27,-230.06,-368.55,-288.3,-352.89,-490.12,-423.37,-315.33,-458.59,-509.18
Net Cash Flow,-11.87,11.36,-62.54,35.62,34.55,-18.17,-6.1,303.95,44.58,39.63
Free Cash Flow,-4.38,277.87,363.18,359.13,412.24,529.84,460.17,563.15,566.53,622.63
Free Cash Flow Growth,-,-,30.70%,-1.12%,14.79%,28.53%,-13.15%,22.38%,0.60%,9.90%
Free Cash Flow Margin,-0.09%,5.45%,6.92%,6.82%,7.11%,8.72%,9.01%,8.72%,7.83%,24.18%
Free Cash Flow Per Share,-0.03,2.09,2.82,2.88,3.39,4.55,4.06,5.04,5.00,5.87
