,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,Current
Market Capitalization,"11,955","12,319","13,531","13,879","14,310","14,320","13,762","14,375","15,275","16,433","17,645","17,297","19,395","21,301","21,546","22,247","22,597","21,936","22,417","23,641","23,398","25,851","27,862","27,761","28,605","23,949","26,118","29,731","30,693","31,683","35,097","38,223","44,219","41,927","41,341","42,980","40,761","42,735","48,445","45,080","56,770"
Market Cap Growth,11.76%,2.95%,10.16%,14.92%,19.70%,16.25%,1.71%,3.57%,6.74%,14.76%,28.22%,20.32%,26.97%,29.62%,22.11%,28.62%,16.51%,2.98%,4.04%,6.27%,3.55%,17.85%,24.29%,17.43%,22.25%,-7.36%,-6.26%,7.10%,7.30%,32.29%,34.38%,28.56%,44.07%,32.34%,17.79%,12.44%,-7.82%,1.93%,17.18%,4.89%,-
Enterprise Value,"18,760","19,156","20,534","20,797","21,296","21,750","21,215","21,834","22,776","23,960","25,217","24,987","26,986","28,938","29,291","30,040","30,701","30,080","30,614","31,806","31,665","34,181","36,235","36,324","37,246","32,644","34,506","38,104","39,589","40,422","44,032","47,448","53,744","51,506","53,125","54,534","52,403","54,527","60,377","56,847","68,538"
PE Ratio,20.30,20.64,18.81,18.91,26.13,24.38,22.98,22.89,20.37,22.38,24.35,29.06,31.66,33.09,32.36,27.69,17.68,16.52,16.48,16.88,22.57,25.02,26.54,25.59,26.65,22.07,24.65,29.12,31.73,31.16,31.27,31.52,34.27,31.14,29.80,29.56,27.40,28.12,30.76,27.52,34.90
PS Ratio,1.42,1.45,1.57,1.59,1.63,1.61,1.53,1.59,1.68,1.79,1.91,1.86,2.07,2.24,2.22,2.26,2.25,2.18,2.23,2.35,2.33,2.56,2.74,2.71,2.78,2.31,2.55,2.93,3.02,3.11,3.33,3.50,3.92,3.59,3.37,3.32,3.02,3.03,3.36,3.07,3.87
PB Ratio,1.51,1.58,1.72,1.75,1.85,1.85,1.77,1.84,1.97,2.12,2.28,2.26,2.52,2.77,2.81,2.90,2.84,2.77,2.86,2.98,2.95,3.26,3.50,3.48,3.52,2.95,3.18,3.55,3.62,3.67,4.00,4.31,4.93,4.67,4.49,4.53,4.21,4.31,4.75,4.36,5.49
P/FCF Ratio,17.29,18.43,21.13,20.93,20.36,19.16,16.06,16.33,20.22,23.87,25.84,22.35,20.86,21.54,22.06,24.21,24.38,21.36,18.75,19.00,19.46,22.69,25.23,23.96,24.52,21.07,20.04,22.50,23.48,22.46,23.42,25.37,29.68,27.12,26.79,24.92,23.09,25.25,25.52,23.15,29.15
P/OCF Ratio,7.72,8.08,8.97,9.18,9.35,8.79,8.05,8.20,9.09,10.17,10.87,10.09,10.50,11.45,11.44,11.89,11.83,10.71,10.09,10.39,10.43,11.67,12.74,12.16,12.16,10.00,10.24,12.02,12.42,12.49,13.39,14.15,15.87,14.81,14.42,14.19,12.79,13.49,14.29,12.79,16.10
Debt / Equity Ratio,0.89,0.90,0.90,0.89,0.91,0.97,0.97,0.97,0.97,0.97,0.98,1.01,1.00,1.00,1.02,1.02,1.03,1.04,1.05,1.04,1.05,1.06,1.06,1.08,1.07,1.11,1.05,1.05,1.05,1.02,1.02,1.04,1.06,1.07,1.29,1.23,1.22,1.20,1.19,1.15,1.15
Quick Ratio,0.64,0.62,0.58,0.62,0.55,0.61,0.60,0.57,0.54,0.53,0.56,0.59,0.59,0.59,0.44,0.46,0.45,0.44,0.59,0.46,0.43,0.33,0.34,0.41,0.38,0.70,0.65,0.69,0.49,0.52,0.52,0.56,0.54,0.60,0.60,0.56,0.54,0.60,0.64,0.49,0.49
Current Ratio,0.83,0.77,0.72,0.79,0.76,0.77,0.75,0.76,0.67,0.65,0.68,0.72,0.71,0.70,0.51,0.54,0.55,0.53,0.69,0.56,0.57,0.42,0.41,0.49,0.52,0.89,0.76,0.81,0.67,0.67,0.64,0.67,0.71,0.75,0.73,0.70,0.70,0.74,0.76,0.58,0.58
