,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Cash & Equivalents,"4,477","4,962","5,035","5,229","5,281","5,933","5,477","7,075","7,215","6,785","7,107","7,157","7,156","9,345","8,523","8,985","7,667","11,068","23,004","6,152","6,240","6,819","7,341","4,937","8,001","6,975","10,001","8,802","8,579","8,051","7,476","7,832","6,040","4,767","5,381","6,220","5,893","5,391","5,456","6,587"
Cash & Cash Equivalents,"4,477","4,962","5,035","5,229","5,281","5,933","5,477","7,075","7,215","6,785","7,107","7,157","7,156","9,345","8,523","8,985","7,667","11,068","23,004","6,152","6,240","6,819","7,341","4,937","8,001","6,975","10,001","8,802","8,579","8,051","7,476","7,832","6,040","4,767","5,381","6,220","5,893","5,391","5,456","6,587"
Cash Growth,-6.08%,1.08%,8.96%,13.21%,17.96%,19.57%,8.78%,35.30%,36.62%,14.36%,29.76%,1.16%,-0.82%,37.73%,19.92%,25.54%,7.14%,18.44%,169.90%,-31.53%,-18.61%,-38.39%,-68.09%,-19.75%,28.22%,2.29%,36.23%,78.29%,7.22%,15.43%,-25.25%,-11.02%,-29.60%,-40.79%,-28.02%,-20.58%,-2.43%,13.09%,1.39%,5.90%
Receivables,"11,537","11,795","11,080","10,448","11,512","11,516","10,647","10,653","10,899","11,544","11,500","11,481","11,840","12,597","13,128","12,595","11,699","11,973","12,550","14,271","13,574","13,695","13,607","8,743","13,104","9,496","10,115","9,254","10,037","8,912","9,538","9,661","9,076","10,394","9,233","9,108","10,069","9,903","10,058","10,838"
Inventory,"10,992","9,896","10,341","7,642","10,336","10,295","8,453","8,135","8,507","8,747","9,081","8,704","9,386","9,860","10,083","9,881","8,938","8,979","9,068","10,083","10,474","10,934","11,242","9,047","11,506","10,256","9,843","9,411","9,498","9,548","9,426","9,178","9,749","10,142","10,443","10,617","11,327","11,997","12,050","11,777"
Other Current Assets,"2,814","2,988","2,955","8,164","2,829","2,925","7,782",843,906,894,860,"1,208",923,"1,027","1,229","1,397","4,437","4,536","-4,418","4,997","5,114","5,610","5,626","38,850","6,264","15,547","13,552","15,909","14,438","14,368","15,552","15,379","15,875","16,159","16,764","16,498","18,215","18,624","18,954","19,215"
Total Current Assets,"29,820","29,641","29,411","31,483","29,958","30,669","32,359","26,706","27,527","27,970","28,548","28,550","29,305","32,829","32,963","32,858","32,741","36,556","40,204","35,503","35,402","37,058","37,816","61,577","38,875","42,274","43,511","43,376","42,552","40,879","41,992","42,050","40,740","41,462","41,821","42,443","45,504","45,915","46,518","48,417"
"Property, Plant & Equipment","8,895","9,026","9,182","8,592","9,175","9,266","8,515","8,732","8,763","8,911","8,989","9,158","9,255","9,475","9,763","10,186","10,283","10,115","10,236","12,297","14,743","15,032","14,756","11,574","15,108","16,907","16,757","16,842","16,655","16,565","16,393","16,930","16,748","16,607","16,470","16,999","16,993","17,107","17,102","17,386"
Goodwill and Intangibles,"43,744","44,093","43,853","42,976","43,128","43,639","42,926","42,904","43,127","43,377","43,222","42,743","43,053","43,468","43,871","43,793","44,334","43,438","43,380","74,536","74,672","74,321","73,727","61,082","73,081","95,272","95,088","94,824","94,264","93,917","92,631","92,952","92,434","91,368","90,214","90,663","90,381","90,356","89,748","89,098"
Other Long-Term Assets,"8,770","9,382","9,328","8,155","9,066","9,199","8,335","9,142","9,154","9,222","9,303","9,255","8,760","9,021","9,755","10,083","11,421","11,460","21,119","11,875","12,563","12,579","12,710","5,382","12,508","7,064","7,043","7,111","7,137","7,477","7,756","9,472","9,444","9,580","9,720","8,759","8,758","8,783","9,075","6,968"
Total Long-Term Assets,"61,409","62,501","62,363","59,723","61,369","62,104","59,776","60,778","61,044","61,510","61,514","61,156","61,068","61,964","63,389","64,062","66,038","65,013","74,735","98,708","101,978","101,932","101,193","78,038","100,697","119,243","118,888","118,777","118,056","117,959","116,780","119,354","118,626","117,555","116,404","116,421","116,132","116,246","115,925","113,452"
Total Assets,"91,229","92,142","91,774","91,206","91,327","92,773","92,135","87,484","88,571","89,480","90,062","89,706","90,373","94,793","96,352","96,920","98,779","101,569","114,939","134,211","137,380","138,990","139,009","139,615","139,572","161,517","162,399","162,153","160,608","158,838","158,772","161,404","159,366","159,017","158,225","158,864","161,636","162,161","162,443","161,869"
Accounts Payable,"6,949","7,297","7,046","6,250","6,929","7,153","6,333","6,875","6,579","7,242","7,432","7,483","7,520","8,542","8,999","9,579","8,875","9,623","10,509","11,080","10,364","11,109","10,840","7,816","10,976","7,182","8,143","8,639","9,182","8,043","8,667","8,751","8,270","9,732","9,017","9,896","10,060","10,128","10,315","10,698"
Deferred Revenue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,014",0,"11,997","12,208","12,889","12,879","12,591","12,543","13,720","13,739","13,430","13,368","14,598","14,870","15,162","15,248","17,183"
Current Debt,304,"2,235","2,141","1,917","4,184","2,954","3,239","1,105","1,363","2,407","2,475","2,204","3,684","2,743","3,197","2,496","2,194","1,063","1,668","4,345","4,182","7,341","6,822","5,551","3,087","1,540","1,535",797,"1,603","1,566",480,158,164,139,"2,388","1,220","1,769","2,630","2,559","1,472"
Other Current Liabilities,"15,678","14,798","14,721","15,308","14,616","13,622","14,117","14,638","12,581","12,534","12,634","12,219","12,522","12,634","13,053","12,316","13,678","14,382","14,327","15,943","16,857","16,972","17,905","24,213","17,439","14,572","13,676","13,523","12,695","12,594","12,441","12,820","12,884","14,487","13,600","13,400","13,429","13,840","16,880","17,408"
Total Current Liabilities,"22,931","24,330","23,908","23,475","25,729","23,729","23,689","22,618","20,523","22,183","22,541","21,906","23,726","23,919","25,249","24,391","24,747","25,068","26,504","31,368","31,403","35,422","35,567","46,594","31,502","35,291","35,562","35,848","36,359","34,794","34,131","35,449","35,057","37,788","38,373","39,114","40,128","41,760","45,002","46,761"
Long-Term Debt,"19,739","17,837","17,857","17,784","17,809","19,489","19,428","19,320","21,688","20,130","20,190","21,697","20,898","23,883","24,063","24,989","25,153","27,246","38,275","41,192","43,024","40,168","39,887","38,794","45,358","32,933","32,897","32,542","31,487","31,479","32,309","32,984","32,935","32,867","32,598","32,280","34,341","34,293","34,224","43,767"
Other Long-Term Liabilities,"14,727","14,636","14,479","17,243","17,487","17,483","16,835","16,580","16,330","16,205","16,252","16,638","16,170","16,430","14,920","15,988","16,252","15,779","15,785","20,932","20,898","20,314","20,629","9,901","20,682","24,366","23,830","19,879","19,420","19,814","19,363","18,272","17,352","16,334","15,486","13,256","12,782","12,021","11,971","9,896"
Total Long-Term Liabilities,"34,466","32,473","32,336","35,027","35,296","36,972","36,263","35,900","38,018","36,335","36,442","38,335","37,068","40,313","38,983","40,977","41,405","43,025","54,060","62,124","63,922","60,482","60,516","48,695","66,040","57,299","56,727","52,421","50,907","51,293","51,672","51,256","50,287","49,201","48,084","45,536","47,123","46,314","46,195","53,663"
Total Liabilities,"57,397","56,803","56,244","58,502","61,025","60,701","59,952","58,518","58,541","58,518","58,983","60,241","60,794","64,232","64,232","65,368","66,152","68,093","80,564","93,492","95,325","95,904","96,083","95,289","97,542","92,590","92,289","88,269","87,266","86,087","85,803","86,705","85,344","86,989","86,457","84,650","87,251","88,074","91,197","100,424"
Total Debt,"20,043","20,072","19,998","19,701","21,993","22,443","22,667","20,425","23,051","22,537","22,665","23,901","24,582","26,626","27,260","27,485","27,347","28,309","39,943","45,537","47,206","47,509","46,709","44,345","48,445","34,473","34,432","33,339","33,090","33,045","32,789","33,142","33,099","33,006","34,986","33,500","36,110","36,923","36,783","45,239"
Debt Growth,-12.18%,-7.31%,-5.62%,-2.67%,9.73%,11.81%,13.35%,3.67%,4.81%,0.42%,-0.01%,17.02%,6.64%,18.14%,20.27%,15.00%,11.25%,6.32%,46.53%,65.68%,72.62%,67.82%,16.94%,-2.62%,2.62%,-27.44%,-26.28%,-24.82%,-31.70%,-4.14%,-4.77%,-0.59%,0.03%,-0.12%,6.70%,1.08%,9.10%,11.87%,5.14%,35.04%
Common Stock,"-5,947","-6,155","-6,450","-6,737","-9,601","-9,489","-9,323","-14,979","-14,928","-14,877","-15,468","-16,960","-17,814","-18,234","-18,177","-18,107","-18,062","-17,979","-17,877","-10,044","-10,022","-9,902","-9,782","-9,671","-9,627","26,281","26,374","26,474","26,171","25,716","24,904","24,718","23,985","23,101","22,657","22,381","21,893","21,493","20,199","10,063"
Retained Earnings,"41,205","42,343","43,668","44,611","45,462","46,443","47,236","49,956","50,625","51,451","52,384","52,873","53,741","54,640","55,385","55,242","55,533","57,027","57,706","57,823","59,279","60,548","61,069","61,594","60,826","49,744","50,017","49,423","49,460","48,954","50,343","50,265","50,592","50,271","51,652","52,269","52,891","52,489","51,513","52,154"
Comprehensive Income,"-2,941","-2,403","-3,169","-6,661","-7,211","-6,577","-7,388","-7,619","-7,344","-7,484","-7,729","-8,334","-8,333","-7,964","-7,327","-7,525","-6,937","-7,684","-7,723","-9,333","-9,519","-9,892","-10,819","-10,149","-11,788","-8,800","-8,012","-3,734","-3,921","-3,555","-3,939","-1,915","-2,115","-2,931","-4,122","-2,018","-1,989","-1,502","-2,116","-2,419"
Shareholders' Equity,"32,317","33,785","34,049","31,213","28,650","30,377","30,525","27,358","28,353","29,090","29,187","27,579","27,594","28,442","29,881","29,610","30,534","31,364","32,106","38,446","39,738","40,754","40,468","41,774","39,411","67,225","68,379","72,163","71,710","71,115","71,308","73,068","72,462","70,441","70,187","72,632","72,795","72,480","69,596","59,798"
Net Cash / Debt,"-15,566","-15,110","-14,963","-14,472","-16,712","-16,510","-17,190","-13,350","-15,836","-15,752","-15,558","-16,744","-17,426","-17,281","-18,737","-18,500","-19,680","-17,241","-16,939","-39,385","-40,966","-40,690","-39,368","-39,408","-40,444","-27,498","-24,431","-24,537","-24,511","-24,994","-25,313","-25,310","-27,059","-28,239","-29,605","-27,280","-30,217","-31,532","-31,327","-38,652"
Working Capital,"6,889","5,311","5,503","8,008","4,229","6,940","8,670","4,088","7,004","5,787","6,007","6,644","5,579","8,910","7,714","8,467","7,994","11,488","13,700","4,135","3,999","1,636","2,249","14,983","7,373","6,983","7,949","7,528","6,193","6,085","7,861","6,601","5,683","3,674","3,448","3,329","5,376","4,155","1,516","1,656"
Book Value Per Share,35.31,36.85,37.22,34.75,31.58,34.12,34.27,31.35,33.90,34.76,34.87,33.71,34.24,35.50,37.41,37.48,38.18,39.20,40.13,48.03,46.11,47.26,46.90,48.87,45.55,44.29,44.76,53.15,47.19,46.94,47.29,48.66,48.56,47.36,47.54,49.23,49.69,49.60,47.81,41.93
