,2013-12-29,2014-03-30,2014-06-29,2014-09-28,2014-12-28,2015-03-29,2015-06-28,2015-10-04,2016-01-03,2016-04-03,2016-07-03,2016-10-02,2017-01-01,2017-04-02,2017-07-02,2017-10-01,2017-12-31,2018-04-01,2018-07-01,2018-09-30,2018-12-30,2019-03-31,2019-06-30,2019-09-29,2019-12-29,2020-04-05,2020-07-05,2020-10-04,2021-01-03,2021-04-04,2021-07-04,2021-10-03,2022-01-02,2022-04-03,2022-07-03,2022-10-02,2023-01-01,2023-04-02,2023-07-02,2023-10-01
Revenue,591.87,530.61,556.17,542.05,441.05,526.9,563.91,563.44,450.58,498.02,536.24,514.49,566.77,514.12,546.96,554.28,641.63,643.97,703.36,674.31,756.35,648.74,722.52,706.92,805.5,652.4,811.72,964.03,235.09,"1,308","1,228",861.32,"1,028",963.16,895.64,711.8,741.21,674.87,709.07,670.74
Revenue Growth (YoY),5.15%,4.99%,2.87%,3.82%,-25.48%,-0.70%,1.39%,3.95%,2.16%,-5.48%,-4.91%,-8.69%,25.79%,3.23%,2.00%,7.73%,13.21%,25.26%,28.59%,21.66%,17.88%,0.74%,2.72%,4.84%,6.50%,0.56%,12.35%,36.37%,-70.81%,100.44%,51.34%,-10.65%,337.24%,-26.35%,-27.09%,-17.36%,-27.89%,-29.93%,-20.83%,-5.77%
Cost of Revenue,315.1,294.9,308.19,298.74,233.46,291.53,311.39,308.83,228.84,262.93,282.69,265.94,289.6,274.36,289.36,285.31,334.2,351.75,363.22,341.99,380.1,340.93,374.72,364.65,407.32,344.37,364.37,436.58,-212.28,522.54,543.28,338.45,384.11,368.42,343.93,304.76,304.88,293.5,306.74,298.22
Gross Profit,276.77,235.71,247.98,243.31,207.59,235.37,252.51,254.6,221.74,235.09,253.55,248.55,277.17,239.76,257.6,268.97,307.43,292.22,340.14,332.33,376.25,307.81,347.79,342.28,398.18,308.02,447.34,527.45,447.37,785.15,685.19,522.86,643.8,594.74,551.72,407.04,436.33,381.37,402.33,372.52
"Selling, General & Admin",140.88,152.44,147.25,143,205.52,145.87,146.74,147.73,146.88,144.54,150.95,142.6,152.38,147.01,149.86,152.78,176.38,199.73,204.88,196.77,210.54,198.86,201.55,204.17,210.74,208.57,221.03,225.25,61.62,251.41,281.82,275.87,293.88,275.26,263.19,242.74,259.77,248.56,267.02,250.25
Research & Development,32.59,29.38,30.35,30.44,17.88,32.12,32.68,31.1,16.64,29.97,31.87,29.51,32.83,33.29,33.56,34.89,37.73,45.98,47.2,48.85,51.97,47.98,48.34,45.38,47.64,48.91,49.52,50.13,-2.13,60.22,65.82,49.42,60.58,57.52,56.04,53.52,54.54,56.69,57.25,53.04
Other Operating Expenses,10.37,2.14,0.74,11.09,-0.64,0,4.96,-0.12,8.71,0,4.47,0.66,0,9.65,0,3.27,-0.26,6.58,0,6.51,-1.94,7.64,6.16,14.07,1.56,5.86,1.16,4.06,-11.08,5.74,5.06,2.01,-10.52,0,0,0,-15.44,0,0,0
Operating Expenses,183.84,183.95,178.35,184.53,222.76,177.99,184.38,178.71,172.23,174.51,187.29,172.77,185.21,189.95,183.42,190.93,213.85,252.29,252.08,252.13,260.57,254.48,256.06,263.62,259.93,263.34,271.71,279.44,48.42,317.37,352.71,327.3,343.95,332.78,319.22,296.26,298.86,305.25,324.28,303.29
Operating Income,92.93,51.76,69.64,58.78,-15.17,57.38,68.13,75.9,49.52,60.58,66.27,75.78,91.96,49.81,74.18,78.04,93.58,39.94,88.06,80.2,115.68,53.33,91.74,78.66,138.25,44.68,175.64,248.01,398.95,467.78,332.49,195.56,299.85,261.96,232.49,110.78,137.47,76.12,78.06,69.23
Interest Expense / Income,26.87,11.29,8.96,10.97,9.92,9.42,10.84,11.94,9.91,11.09,5.39,11.26,22.77,9.83,3.39,-27.02,12.69,11.43,16.36,2.16,36.25,16.57,19.91,15.41,72.95,9.99,10.81,14.25,32.15,-12.71,6.43,60.55,0.14,37.05,26.15,28.64,-0.98,46.68,6.5,18.63
