,2013-12-29,2014-03-30,2014-06-29,2014-09-28,2014-12-28,2015-03-29,2015-06-28,2015-10-04,2016-01-03,2016-04-03,2016-07-03,2016-10-02,2017-01-01,2017-04-02,2017-07-02,2017-10-01,2017-12-31,2018-04-01,2018-07-01,2018-09-30,2018-12-30,2019-03-31,2019-06-30,2019-09-29,2019-12-29,2020-04-05,2020-07-05,2020-10-04,2021-01-03,2021-04-04,2021-07-04,2021-10-03,2022-01-02,2022-04-03,2022-07-03,2022-10-02,2023-01-01,2023-04-02,2023-07-02,2023-10-01,Current
Market Capitalization,"4,628","5,025","5,298","4,940","4,978","5,775","6,145","5,264","5,996","5,527","5,742","6,139","5,713","6,374","7,498","7,602","8,060","8,367","8,102","10,771","8,598","10,677","10,686","9,459","10,782","7,925","10,909","13,928","16,068","14,555","17,438","19,463","25,374","21,649","18,174","15,189","17,712","16,846","14,901","13,742","12,644"
Market Cap Growth,29.95%,31.34%,45.62%,15.72%,7.56%,14.91%,16.00%,6.56%,20.45%,-4.29%,-6.57%,16.61%,-4.73%,15.33%,30.59%,23.83%,41.08%,31.27%,8.05%,41.70%,6.68%,27.60%,31.90%,-12.18%,25.41%,-25.77%,2.09%,47.24%,49.02%,83.66%,59.85%,39.74%,57.91%,48.75%,4.22%,-21.96%,-30.20%,-22.19%,-18.01%,-9.53%,-
Enterprise Value,"5,390","5,731","5,988","5,596","5,850","6,621","6,942","6,098","6,771","6,437","6,552","6,960","6,400","7,141","7,973","8,003","9,864","10,264","9,940","12,524","10,326","12,572","12,813","11,477","12,811","9,930","12,840","15,698","17,845","16,337","19,408","24,264","29,902","26,027","22,485","19,332","21,822","18,894","17,337","16,326","15,229"
PE Ratio,27.68,29.70,27.62,25.48,31.55,35.24,37.85,30.09,28.23,25.17,24.49,25.82,24.38,28.28,20.51,19.07,27.54,29.88,57.85,85.81,36.14,43.17,42.35,40.36,47.38,35.10,37.12,33.80,22.08,13.56,14.75,17.17,26.90,29.22,26.96,24.04,31.12,17.52,18.22,18.52,17.45
PS Ratio,2.15,2.30,2.41,2.23,2.40,2.80,2.96,2.51,2.85,2.66,2.80,3.07,2.70,2.99,3.50,3.48,3.57,3.51,3.19,4.04,3.10,3.84,3.81,3.34,3.74,2.75,3.67,4.31,6.03,4.39,4.67,5.36,6.63,5.31,4.85,4.22,5.35,5.57,5.25,4.92,4.52
PB Ratio,2.32,2.48,2.58,2.40,2.44,2.80,2.90,2.56,2.84,2.70,2.75,2.88,2.65,2.89,3.08,3.00,3.22,3.28,3.22,4.19,3.33,4.05,3.95,3.50,3.83,2.87,3.68,4.31,4.30,3.64,4.11,2.80,3.55,3.01,2.54,2.15,2.40,2.10,1.89,1.79,1.64
P/FCF Ratio,26.94,21.44,20.10,21.75,19.37,25.27,25.57,22.10,23.16,22.10,20.49,21.00,17.91,18.62,25.26,27.20,32.32,50.90,45.57,53.18,39.48,46.46,52.37,42.65,37.55,22.52,24.59,25.57,19.39,11.66,12.51,13.05,19.15,19.30,19.49,19.23,29.81,44.28,97.27,-277.25,-277.25
P/OCF Ratio,29.18,23.33,21.90,19.24,17.68,22.96,23.58,20.37,20.89,19.64,18.27,18.76,16.29,17.12,23.13,24.59,27.94,38.01,33.06,38.51,27.64,33.34,36.33,30.74,29.67,18.48,20.96,22.27,18.01,11.15,11.99,12.50,17.99,17.74,17.64,17.33,26.05,36.62,65.57,406.36,373.90
Debt / Equity Ratio,0.47,0.46,0.44,0.42,0.51,0.49,0.47,0.50,0.48,0.55,0.51,0.53,0.49,0.48,0.45,0.44,0.80,0.81,0.80,0.74,0.73,0.77,0.84,0.89,0.79,0.80,0.72,0.63,0.58,0.69,0.60,0.76,0.72,0.70,0.65,0.64,0.62,0.56,0.57,0.52,0.52
Quick Ratio,1.06,1.10,1.12,1.11,1.08,1.06,1.08,1.10,1.16,1.17,1.22,1.38,1.30,1.16,1.79,1.92,0.79,0.82,1.02,1.02,1.03,1.02,1.14,0.87,1.20,1.12,0.80,0.85,0.94,1.29,1.39,1.25,1.08,1.28,1.24,0.63,0.69,1.95,1.97,1.43,1.43
Current Ratio,1.73,1.81,1.87,1.89,1.79,1.86,1.86,1.94,1.84,1.89,1.92,2.11,1.97,1.86,2.43,2.59,1.26,1.33,1.69,1.70,1.60,1.68,1.89,1.30,1.80,1.84,1.32,1.35,1.36,1.76,2.01,1.97,2.01,1.94,2.02,2.10,2.13,2.43,2.58,2.01,2.01
