,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Net Income,-19.16,1.41,-9.47,-16.62,0.39,-79.03,28.31,-155.95,31.02,53.64,32.71,-15.37,5.26,37.6,9.23,49.16,7.66,31.55,-57.39,16.14,57.15,25.99,31.97,21.68,67.35,-127.06,22.81,22.57,105.78,-11.75,152.67,47.8,48.9,188.62,69.52,100.01,103.28,101.22,203.65,87.42
Depreciation & Amortization,133.33,144.44,161.01,159.41,162.21,171.85,162.38,164.33,161.46,159.8,159.72,160.11,158.55,159.03,159.52,161.91,162.64,165.4,169.56,167.7,169.45,171.04,171.56,174.99,179.49,182.58,178.71,180.3,180.38,183.88,175.47,170.92,169.9,174.32,176.39,173.83,183.04,182.42,181.82,180.67
Share-Based Compensation,4.2,4.62,6.2,6.42,5.44,6.99,8.21,6.7,6.84,7.79,8.89,8.08,8.16,9.28,10.19,9.42,9.36,10.41,11.3,10.43,10.19,23.41,24.49,12.73,12.58,16.28,18.58,17.06,16.98,20.42,21.64,17.11,25.23,24.75,23.9,25.49,25.77,26.21,18.25,21.37
Other Operating Activities,36.18,9.75,17,1.14,21.01,78.6,-1.77,144.12,-11.03,-76.58,8.77,19.68,43.32,-33.6,52.95,-33.22,47.34,-28.78,123.02,4.81,-10.32,2.22,15.42,29.48,5.64,205.94,94.58,70.56,-60.02,92.94,3,17.23,54.54,-95.21,102.31,33.14,-23.45,1.33,83.22,24.21
Operating Cash Flow,154.54,160.22,174.73,150.34,189.05,178.41,197.12,159.21,188.29,144.64,210.09,172.5,215.29,172.31,231.89,187.27,227,178.58,246.48,199.09,226.48,222.67,243.44,238.88,265.06,277.74,314.68,290.49,243.13,285.5,352.78,253.05,298.57,292.48,372.12,332.47,288.63,311.17,486.93,313.68
Operating Cash Flow Growth,49.47%,70.03%,30.46%,30.86%,22.33%,11.36%,12.82%,5.89%,-0.40%,-18.93%,6.58%,8.35%,14.34%,19.12%,10.38%,8.57%,5.44%,3.64%,6.29%,6.31%,-0.23%,24.69%,-1.23%,19.99%,17.04%,24.74%,29.26%,21.61%,-8.28%,2.79%,12.11%,-12.89%,22.80%,2.45%,5.48%,31.39%,-3.33%,6.39%,30.86%,-5.65%
Capital Expenditures,-65.52,-32.24,-39.91,-59.2,-79.9,-68.1,-50.29,-43.92,-46.4,-36.06,-34.6,-33.66,-35.66,-35.75,-33.69,-36.88,-40.73,-31.1,-37.52,-36.35,-44.85,-36.37,-36.41,-38.6,-42.86,-39.29,-27.69,-28.39,-33.2,-24.54,-30.84,-35.03,-43.29,-38.01,-52.96,-57.38,-66.1,-49.14,-63.45,-61.39
Acquisitions,-330.32,-927.65,-39.82,-81.27,-536.47,-53.28,-269.8,-85.63,-200.82,-91.83,-56.87,-42.7,-85.43,-42.65,-39.53,-78.83,-280.54,-117.62,-167.74,-118.47,-47.99,-55.29,-95.9,-132.52,-490.26,-89.53,-29.5,-80.86,-71.52,"-1,052.68",-77.18,-57.9,-69.95,-215.18,-138.4,-65.14,-757.37,-19.93,-19.81,-53.11
Change in Investments,0,17.89,0,0,3,0,0,0,89.73,0,0,0,0.61,0,0,-0.38,0.22,-0.69,-4.11,0.86,-2.16,0.5,-30.55,16.68,0.2,-0.01,-225.01,171.76,3.77,-0.01,-0.1,-0.14,-0.38,-0.18,-38.82,15.26,20.1,-0.37,-20.14,20.37
Other Investing Activities,28.11,0.44,-5.36,3.13,13.24,-0.18,5.04,-0.57,-12.85,-4.45,-5.62,5.57,-7.54,-5.88,-11.15,-6.19,6.87,-2.19,-9.19,3.8,-3.03,6.18,-7.65,-5.16,0.82,-3.18,0.25,-1.91,7.96,0.64,-0.06,0,-31.82,-2.51,0.37,1.65,1.02,-77.33,-8.19,-9.39
Investing Cash Flow,-367.73,-941.56,-85.09,-137.34,-600.14,-121.55,-315.06,-130.12,-170.33,-132.34,-97.09,-70.79,-128.02,-84.28,-84.36,-122.27,-314.19,-151.6,-218.56,-150.16,-98.03,-84.98,-170.5,-159.59,-532.09,-132.01,-281.96,60.59,-92.99,"-1,076.58",-108.17,-93.07,-145.44,-255.88,-229.81,-105.62,-802.34,-146.76,-111.59,-103.53
Dividends Paid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-41.87,-41.51,-52.2,-51.97,-52.03,-51.49,-63.41,-63.48,-63.56,-63.12,-76.87,-76.57,-76.66,-76.66,-93.93,-92.14,-92.13
