,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Cash & Equivalents,"7,173","6,832","8,588","11,363","9,011","9,017","10,366","11,978","10,457","12,976","10,431","10,828","9,475","9,575","12,253","14,217","14,145","13,250","21,830","27,938","32,558","24,200","20,300","29,300","68,458","33,574","27,465","40,348","48,182","30,337","34,323","62,975","91,126","64,550","46,486","40,195","49,162","47,651","33,251",475
Short-Term Investments,"53,080","53,203","52,201","54,783","61,366","63,415","66,354","65,646","71,516","74,228","75,791","77,365","50,588","45,634","48,062","49,995","51,827","55,522","57,558","66,578","60,005","54,648","56,483","61,422","221,232","281,216","303,758","337,400","342,006","359,622","376,968","390,054","272,049","265,277","236,517","147,871","141,334","125,769","108,499",314
Cash & Cash Equivalents,"60,253","60,035","60,789","66,146","70,377","72,432","76,720","77,624","81,973","87,204","86,222","88,193","60,063","55,209","60,315","64,212","65,972","68,772","79,388","94,516","92,563","78,847","76,735","90,767","289,690","314,790","331,223","377,748","390,188","389,959","411,291","116,924","145,571","118,016","90,604","188,066","80,199","72,734",744,789
Cash Growth,8.10%,9.86%,2.64%,11.46%,16.80%,20.65%,26.21%,17.35%,16.48%,20.39%,12.39%,13.62%,-26.73%,-36.69%,-30.05%,-27.19%,9.84%,24.57%,31.62%,47.19%,40.31%,14.65%,-3.34%,-3.97%,212.97%,299.24%,331.65%,316.17%,34.69%,23.88%,24.17%,-69.05%,-62.69%,-69.74%,-77.97%,60.84%,-44.91%,-38.37%,-99.18%,-99.58%
Receivables,"15,053","15,192","15,874","16,677","16,470","17,535","17,672","18,524","17,066","17,830","17,327","18,659","17,450","18,903","19,126","22,099","22,047","23,376","23,209","23,200","21,145","21,891","22,386","23,146","19,001","21,421","25,441","67,947","74,711","82,245","86,553","95,292","84,070","76,130","73,859","71,241","63,187","65,162","69,062",0
Inventory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-4,727",0,0,0,0,0,0,0,0
Other Current Assets,"-15,053","-15,192","-15,874","-16,318","-16,470","-17,535","-17,672","-18,136","-17,066","-17,830","-17,327","-18,208","-17,450","-18,903","-19,126","-21,638","-22,047","-23,376","-23,209","-22,790","-21,145","-21,892","-22,434","-22,313","58,570","58,948","-246,408","-261,555","-349,765","-282,068","-291,912","-399,080","-308,730","-276,361","-238,885",0,"-110,297","-100,686","-210,068",0
Total Current Assets,"60,253","60,035","60,789","66,505","70,377","72,432","76,720","78,012","81,973","87,204","86,222","88,644","60,063","55,209","60,315","64,673","65,972","68,772","79,388","94,926","92,563","78,847","76,735","91,555","367,261","395,159","110,256","184,140","115,134","190,136","205,932","144,514","138,515","129,596","117,977","259,307","143,386","137,896",744,789
"Property, Plant & Equipment",820,883,991,"1,039","1,058","1,091","1,126","1,145","1,159","1,242","1,266","1,299","1,305","1,335","1,392","1,471","1,540","1,599","1,683","1,769","1,813","1,909","2,017","2,705","2,291","2,314","2,346","3,820","3,054","3,136","3,164","4,284","3,499","3,670","3,687","4,608","3,716","3,686","3,730",0
Long-Term Investments,"85,659","86,281","86,780","89,760","98,344","101,773","107,358","116,366","125,055","130,060","142,705","153,341","159,123","153,704","162,865","171,836","178,010","192,839","197,010","211,554","192,946","193,512","197,174","197,479","221,232","281,216","303,758","339,106","342,006","359,622","376,968","393,164","377,335","365,394","332,840","324,507","311,245","292,097","265,605",0
