,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"25,302","23,933","24,681","38,096","36,588","53,570","66,455","92,442","61,231","79,659","79,114"
Market Cap Growth,36.65%,-5.41%,3.12%,54.36%,-3.96%,46.41%,24.05%,39.10%,-33.76%,30.10%,-
Enterprise Value,"27,067","25,691","25,743","48,413","45,776","63,836","76,342","103,772","73,540",-,"90,647"
PE Ratio,29.22,22.71,21.79,21.50,33.00,34.76,32.73,49.58,30.31,33.35,33.41
PS Ratio,2.27,2.11,2.08,2.54,2.09,2.99,3.62,4.63,2.76,3.46,3.43
PB Ratio,25.39,27.58,13.14,10.32,9.81,12.99,18.40,37.93,19.74,0,3.45
P/FCF Ratio,27.59,27.17,20.34,35.62,22.02,31.65,33.35,29.77,32.70,62.46,38.86
P/OCF Ratio,23.35,22.13,17.05,29.11,19.42,27.56,28.63,27.12,27.28,41.49,30.37
EV/Sales Ratio,2.43,2.27,2.17,3.23,2.61,3.57,4.16,5.20,3.32,-,3.93
EV/EBITDA Ratio,20.47,15.95,14.63,24.20,20.99,23.37,24.07,35.87,22.31,-,24.59
EV/EBIT Ratio,23.85,18.20,16.49,26.85,27.10,29.90,29.40,44.90,27.00,-,28.17
EV/FCF Ratio,29.51,29.16,21.22,45.26,27.56,37.71,38.32,33.42,39.27,-,44.53
Debt / Equity Ratio,1.81,2.26,1.04,2.85,2.50,2.53,2.80,4.72,4.03,0,0.51
Debt / EBITDA Ratio,1.30,1.12,1.12,0.98,4.82,3.42,3.29,3.50,3.49,3.39,3.20
Debt / FCF Ratio,1.88,2.05,1.62,1.83,6.33,5.52,5.23,3.26,6.14,9.81,5.80
Quick Ratio,0.44,0.62,0.75,0.58,0.51,0.50,0.50,0.44,0.46,0,0.41
Current Ratio,0.96,1.24,1.28,1.12,1.01,1.02,1.00,0.88,0.99,0,0.83
Asset Turnover,1.95,1.96,1.76,0.75,0.92,0.87,0.90,0.97,0.98,0,1.00
Interest Coverage,17.50,22.85,10.14,6.81,5.08,6.92,8.49,7.72,7.62,8.84,7.32
Return on Equity (ROE),48.80%,105.76%,130.51%,94.35%,30.03%,41.31%,49.24%,51.63%,82.89%,77.01%,10.41%
Return on Assets (ROA),13.57%,18.47%,19.56%,26.25%,5.56%,8.06%,9.90%,9.14%,9.77%,10.57%,10.41%
Return on Capital (ROIC),22.11%,34.29%,39.19%,55.57%,10.69%,14.39%,15.83%,15.61%,16.79%,18.17%,7.81%
Earnings Yield,3.42%,4.40%,4.59%,4.65%,3.03%,2.88%,3.06%,2.02%,3.30%,3.00%,3.02%
FCF Yield,3.48%,5.07%,4.33%,4.36%,4.63%,3.72%,4.67%,2.03%,2.08%,-,2.57%
Dividend Yield,0.85%,1.04%,1.26%,0.84%,0.88%,0.79%,0.73%,0.64%,1.01%,-,0.93%
Payout Ratio,24.86%,23.69%,27.55%,18.00%,29.13%,27.30%,24.03%,31.49%,30.62%,-,30.92%
Buyback Yield / Dilution,4.83%,4.13%,-0.49%,-0.46%,-0.06%,1.62%,1.61%,3.16%,1.98%,1.34%,1.34%
Total Shareholder Return,5.68%,5.17%,0.77%,0.37%,0.82%,2.41%,2.34%,3.80%,2.99%,1.34%,2.27%
