,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Revenue,"1,467","1,954","2,225","2,485","3,360","3,500","3,339","3,557","5,196","7,123"
Revenue Growth (YoY),26.20%,33.20%,13.85%,11.68%,35.23%,4.16%,-4.60%,6.53%,46.06%,37.09%
Cost of Revenue,"1,242","1,648","1,895","2,135","2,930","3,005","2,813","3,023","4,396","5,840"
Gross Profit,225.55,306.58,330.5,349.96,429.99,495.52,526.21,534.54,800,"1,283"
"Selling, General & Admin",61.03,72.54,98.79,111.09,170.18,218.38,219.08,186.22,192.56,214.61
Research & Development,84.26,101.4,124.22,143.99,165.1,179.91,221.48,224.37,272.27,307.26
Operating Expenses,145.29,173.94,223.01,255.08,335.28,398.29,440.56,410.59,464.83,521.87
Operating Income,80.26,132.65,107.49,94.88,94.71,97.23,85.65,123.95,335.17,761.14
Interest Expense / Income,0.76,0.97,1.59,2.3,5.73,6.69,2.24,2.49,6.41,10.49
Other Expense / Income,-0.09,-0.96,-1.51,1.29,4.38,3.74,-3.81,2.66,-9.29,-0.01
Pretax Income,79.59,132.64,107.4,91.29,84.61,86.8,87.23,118.8,338.04,750.66
Income Tax,25.44,40.08,35.32,24.43,38.44,14.88,2.92,6.94,52.88,110.67
Net Income,54.16,92.56,72.08,66.85,46.17,71.92,84.31,111.87,285.16,640
Net Income Growth,154.51%,70.90%,-22.12%,-7.25%,-30.95%,55.78%,17.23%,32.69%,154.92%,124.43%
Shares Outstanding (Basic),44,46,48,48,49,50,51,51,51,53
Shares Outstanding (Diluted),47,50,52,52,52,52,53,54,54,56
Shares Change,5.93%,7.70%,3.48%,-0.30%,0.91%,-0.83%,2.17%,1.27%,0.20%,4.39%
EPS (Basic),1.24,1.99,1.50,1.38,0.94,1.44,1.65,2.19,5.54,12.09
EPS (Diluted),1.16,1.85,1.39,1.29,0.89,1.39,1.60,2.09,5.32,11.43
EPS Growth,141.67%,59.48%,-24.86%,-7.19%,-31.01%,56.18%,15.11%,30.62%,154.55%,114.85%
Free Cash Flow,-34.03,-81.23,73.88,-125.55,59.52,237.71,-74.67,64.94,-485.98,626.79
Free Cash Flow Per Share,-0.78,-1.75,1.54,-2.60,1.21,4.76,-1.47,1.27,-9.44,11.84
Gross Margin,15.37%,15.69%,14.85%,14.08%,12.80%,14.16%,15.76%,15.03%,15.40%,18.01%
Operating Margin,5.47%,6.79%,4.83%,3.82%,2.82%,2.78%,2.57%,3.48%,6.45%,10.68%
Profit Margin,3.69%,4.74%,3.24%,2.69%,1.37%,2.05%,2.52%,3.14%,5.49%,8.98%
Free Cash Flow Margin,-2.32%,-4.16%,3.32%,-5.05%,1.77%,6.79%,-2.24%,1.83%,-9.35%,8.80%
Effective Tax Rate,31.96%,30.22%,32.89%,26.77%,45.44%,17.15%,3.35%,5.84%,15.64%,14.74%
EBITDA,86.72,141.7,122.28,109.95,112.18,117.69,117.94,149.47,376.92,796.06
EBITDA Margin,5.91%,7.25%,5.50%,4.42%,3.34%,3.36%,3.53%,4.20%,7.25%,11.18%
Depreciation & Amortization,6.36,8.09,13.28,16.36,21.85,24.2,28.47,28.19,32.47,34.9
EBIT,80.35,133.6,109,93.59,90.33,93.49,89.47,121.29,344.45,761.16
EBIT Margin,5.48%,6.84%,4.90%,3.77%,2.69%,2.67%,2.68%,3.41%,6.63%,10.69%
