,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"1,135","1,398","1,203","1,200","1,152",965,"1,474","1,757","2,094","13,083","44,932"
Market Cap Growth,152.63%,23.14%,-13.98%,-0.19%,-4.06%,-16.18%,52.72%,19.17%,19.23%,524.64%,-
Enterprise Value,"1,085","1,397","1,117","1,251","1,152",741,"1,293","1,623","2,424","12,933","44,582"
PE Ratio,20.97,15.11,16.68,17.95,24.95,13.42,17.49,15.70,7.35,20.44,62.71
PS Ratio,0.77,0.72,0.54,0.48,0.34,0.28,0.44,0.49,0.40,1.84,4.86
PB Ratio,2.42,2.26,1.73,1.55,1.37,1.03,1.38,1.60,1.47,6.63,14.60
P/FCF Ratio,-33.37,-17.21,16.28,-9.56,19.35,4.06,-19.74,27.05,-4.31,20.87,-89.55
P/OCF Ratio,173.66,-30.31,11.14,-12.48,13.65,3.68,-48.60,14.29,-4.75,19.72,-111.67
EV/Sales Ratio,0.74,0.71,0.50,0.50,0.34,0.21,0.39,0.46,0.47,1.82,4.82
EV/EBITDA Ratio,12.51,9.86,9.14,11.38,10.27,6.29,10.96,10.86,6.43,16.25,49.12
EV/EBIT Ratio,13.50,10.46,10.25,13.37,12.76,7.92,14.45,13.38,7.04,16.99,51.18
EV/FCF Ratio,-31.88,-17.20,15.12,-9.96,19.36,3.12,-17.32,24.99,-4.99,20.63,-87.49
Debt / Equity Ratio,0.10,0.15,0.13,0.21,0.14,0.03,0.03,0.09,0.42,0.15,0.12
Debt / EBITDA Ratio,0.53,0.67,0.77,1.47,1.04,0.20,0.25,0.66,1.58,0.36,0.41
Debt / FCF Ratio,-1.36,-1.16,1.27,-1.29,1.95,0.10,-0.39,1.51,-1.23,0.46,-2.22
Quick Ratio,1.00,0.92,0.86,0.65,0.70,1.06,0.87,0.72,0.75,1.16,1.12
Current Ratio,2.10,2.01,2.33,1.88,1.89,2.35,2.25,1.93,1.91,2.31,2.43
Asset Turnover,2.03,2.05,1.92,1.76,2.05,2.07,1.81,1.79,1.83,2.15,2.26
Interest Coverage,106.14,138.45,68.38,40.69,15.78,13.97,40.01,48.81,53.71,72.55,58.89
Return on Equity (ROE),12.70%,16.50%,10.60%,9.00%,5.70%,7.90%,8.30%,10.40%,22.70%,35.60%,32.60%
Return on Assets (ROA),7.50%,9.70%,6.20%,4.70%,2.80%,4.30%,4.60%,5.60%,10.00%,19.30%,17.90%
Return on Capital (ROIC),10.60%,12.98%,9.13%,7.43%,5.39%,8.35%,7.56%,9.77%,13.98%,28.68%,21.55%
Earnings Yield,4.77%,6.62%,5.99%,5.57%,4.01%,7.45%,5.72%,6.37%,13.62%,4.89%,1.63%
FCF Yield,-3.00%,-5.81%,6.14%,-10.46%,5.17%,24.63%,-5.07%,3.70%,-23.20%,4.79%,-0.38%
Buyback Yield / Dilution,-5.93%,-7.70%,-3.48%,0.30%,-0.91%,0.83%,-2.17%,-1.27%,-0.20%,-4.39%,-3.44%
Total Shareholder Return,-5.93%,-7.70%,-3.48%,0.30%,-0.91%,0.83%,-2.17%,-1.27%,-0.20%,-4.39%,-3.44%
