,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,Current
Market Capitalization,759,"1,135","1,344","1,604","1,546","1,398","1,295","1,166","1,628","1,203","1,137","1,346","1,224","1,200","1,076","1,019",828,"1,152","1,004",672,"1,029",965,958,"1,203","1,091","1,474","1,384","1,639","1,975","1,757","1,850","2,245","1,963","2,094","2,883","4,345","5,715","13,083","14,508","15,155","44,932"
Market Cap Growth,59.85%,152.63%,132.41%,118.55%,103.52%,23.14%,-3.60%,-27.27%,5.30%,-13.98%,-12.22%,15.38%,-24.78%,-0.19%,-5.36%,-24.29%,-32.39%,-4.06%,-6.74%,-34.05%,24.29%,-16.18%,-4.57%,79.03%,6.02%,52.72%,44.54%,36.27%,81.10%,19.17%,33.65%,36.93%,-0.63%,19.23%,55.82%,93.56%,191.14%,524.64%,403.26%,248.79%,-
Enterprise Value,704,"1,085","1,264","1,556","1,483","1,397","1,279","1,091","1,545","1,117","1,091","1,346","1,265","1,251","1,076","1,019",828,"1,152",977,610,882,741,741,917,823,"1,293","1,120","1,369","1,883","1,623","1,859","2,313","2,263","2,424","2,894","4,211","5,539","12,933","14,111","14,805","44,582"
PE Ratio,16.50,20.97,19.96,18.82,16.85,15.11,14.55,12.82,19.38,16.68,16.22,22.52,20.72,17.95,18.70,30.06,24.97,24.95,16.89,8.57,13.81,13.42,12.14,14.25,12.18,17.49,16.37,18.52,21.67,15.70,16.71,17.96,10.70,7.35,6.49,7.51,9.73,20.44,23.68,20.69,62.71
PS Ratio,0.56,0.77,0.84,0.92,0.84,0.72,0.63,0.53,0.73,0.54,0.51,0.60,0.52,0.48,0.40,0.36,0.27,0.34,0.28,0.18,0.28,0.28,0.29,0.37,0.33,0.44,0.42,0.50,0.58,0.49,0.48,0.54,0.42,0.40,0.48,0.65,0.87,1.84,1.96,1.64,4.86
PB Ratio,1.72,2.42,2.70,2.94,2.64,2.26,2.03,1.72,2.30,1.73,1.62,1.84,1.62,1.55,-,-,-,1.37,1.15,0.75,1.13,1.03,0.99,1.20,1.05,1.38,1.29,1.54,1.88,1.60,1.63,1.89,1.54,1.47,1.77,2.39,3.23,6.63,6.70,4.93,14.60
P/FCF Ratio,-30.44,-33.37,-51.47,-42.00,-61.10,-17.21,-14.08,107.35,476.73,16.28,30.01,-18.94,-11.24,-9.56,-11.19,-20.85,-91.51,19.35,11.52,5.28,4.64,4.06,4.90,5.25,10.53,-19.74,33.12,79.91,-21.77,27.05,-9.78,-7.38,-4.91,-4.31,-76.33,24.28,9.40,20.87,24.52,-89.55,-89.55
P/OCF Ratio,60.81,173.66,87.96,-78.06,494.12,-30.31,-24.91,23.25,41.74,11.14,14.96,-38.65,-15.97,-12.48,-14.64,-41.13,60.49,13.65,9.11,4.50,4.19,3.68,4.16,4.48,7.39,-48.60,16.35,24.72,-53.89,14.29,-14.00,-9.03,-5.58,-4.75,391.84,19.61,8.82,19.72,23.38,-111.67,-111.67
Debt / Equity Ratio,0.11,0.10,0.08,0.07,0.08,0.15,0.15,0.14,0.13,0.13,0.14,0.17,0.19,0.21,-,-,-,0.14,0.09,0.05,0.02,0.03,0.02,0.02,0.03,0.03,0.03,0.04,0.08,0.09,0.25,0.27,0.43,0.42,0.15,0.09,0.11,0.15,0.07,0.12,0.12
Quick Ratio,0.97,1.00,0.99,0.92,0.92,0.92,0.97,1.01,1.06,0.86,0.75,0.65,0.62,0.65,-,-,-,0.70,0.75,0.76,0.88,1.06,1.01,1.00,0.81,0.87,1.06,0.95,0.75,0.72,0.66,0.62,0.62,0.75,0.72,1.17,0.95,1.16,0.87,1.12,1.12
