,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Revenue,0,0,0,0.37,0.3,1.53,2.45,2.75,3.17,3.44,5.51,5.8,6.95
Revenue Growth (YoY),-,-,-,-,-,-,-,638.98%,968.01%,124.85%,125.15%,110.80%,119.10%
Cost of Revenue,0,0,0,0.25,0.16,0.96,1.21,1.74,1.75,2.62,3.42,5.77,5.94
Gross Profit,0,0,0,0.13,0.14,0.57,1.24,1.01,1.42,0.81,2.09,0.03,1.01
"Selling, General & Admin",0.01,0.11,0.3,10.89,13.69,12.7,10.52,11.97,16.49,18.62,14.7,16.32,16.4
Research & Development,0,0,0,20.9,26.37,27.12,24.38,29.51,35.3,36.09,25.72,26.93,63.73
Other Operating Expenses,0,0,0,9.28,5.92,11.81,10.19,12.2,15.73,13.49,17.15,12.9,13.8
Operating Expenses,0.01,0.11,0.3,41.07,45.98,51.63,45.09,53.68,67.52,68.2,57.56,56.15,93.93
Operating Income,-0.01,-0.11,-0.3,-40.95,-45.84,-51.06,-43.85,-52.67,-66.1,-67.38,-55.47,-56.12,-92.92
Interest Expense / Income,0,0,0,0,0,1.72,0.1,0.01,-0.88,-3.94,-3.1,-2.85,-2.74
Other Expense / Income,-,12.86,-9.03,-16.27,-18.74,-24.73,-43.95,-50.08,-54.51,-50.83,-41.41,-43.75,-71.06
Pretax Income,-0.01,-12.96,8.73,-24.68,-27.1,-28.05,0,-2.59,-10.71,-12.61,-10.96,-9.52,-19.12
Net Income,-0.01,-12.96,8.73,-24.68,-27.1,-28.05,0,-2.59,-10.71,-12.61,-10.96,-9.52,-19.12
Shares Outstanding (Basic),6,13,29,29,29,29,221,42,46,51,70,72,75
Shares Outstanding (Diluted),6,13,29,29,29,29,-,42,46,51,70,72,75
Shares Change,-,-,-,-,400.00%,119.75%,668.32%,46.19%,61.45%,76.57%,-68.45%,71.61%,61.23%
EPS (Basic),-,-1.15,1.52,-,-,-,-,-0.06,-0.23,-0.21,-0.16,-0.13,-0.26
EPS (Diluted),-,-1.15,1.52,-,-,-,-,-0.06,-0.23,-0.21,-0.16,-0.13,-0.26
Free Cash Flow,0,-,-221.91,171.24,-23.85,-26.15,-34.34,-31.3,-40.84,-44.47,-43.49,-40.5,-27.73
Free Cash Flow Per Share,-,-,-7.72,5.96,-0.83,-0.91,-0.15,-0.74,-0.88,-0.88,-0.62,-0.56,-0.37
Gross Margin,-,-,-,34.14%,47.47%,37.02%,50.72%,36.74%,44.86%,23.68%,37.95%,0.52%,14.53%
Operating Margin,-,-,-,-11006.99%,-15433.00%,-3339.37%,-1793.37%,-1915.82%,-2083.80%,-1959.95%,-1007.67%,-968.44%,-1336.92%
Profit Margin,-,-,-,-6634.14%,-9124.92%,-1834.34%,-,-94.33%,-337.55%,-366.90%,-199.13%,-164.33%,-275.14%
Free Cash Flow Margin,-,-,-,46031.18%,-8029.29%,-1710.40%,-1404.42%,-1138.41%,-1287.48%,-1293.46%,-789.97%,-698.86%,-398.98%
EBITDA,-0.01,-,8.73,-23.58,-26.55,-25.79,0.72,-1.9,-10.88,-15.87,-13.4,-11.77,-21.18
EBITDA Margin,-,-,-,-6337.63%,-8940.74%,-1686.53%,29.57%,-69.26%,-342.91%,-461.55%,-243.42%,-203.14%,-304.68%
Depreciation & Amortization,0,-,0,1.1,0.55,0.55,0.62,0.68,0.71,0.68,0.66,0.6,0.69
EBIT,-0.01,-12.96,8.73,-24.68,-27.1,-26.33,0.1,-2.59,-11.59,-16.55,-14.06,-12.37,-21.86
EBIT Margin,-,-,-,-6634.14%,-9124.92%,-1722.17%,4.17%,-94.11%,-365.29%,-481.44%,-255.39%,-213.53%,-314.53%
