,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,Current
Market Capitalization,"47,923","51,670","51,097","56,597","60,864","53,723","56,846","60,163","64,263","67,976","65,050","55,732","53,813","50,401","50,050","53,386","47,939","52,649","54,634","51,958","56,521","48,974","47,827","45,782","16,815","20,916","19,786","26,999","37,375","42,875","42,711","52,503","43,231","31,176","29,374","38,411","36,609","43,238","35,343","46,666","48,923"
Market Cap Growth,3.15%,12.29%,18.08%,27.37%,27.00%,3.97%,11.25%,6.30%,5.58%,26.53%,14.43%,-7.36%,-16.26%,-25.85%,-23.06%,-4.21%,-10.92%,4.46%,9.16%,-2.68%,17.90%,-6.98%,-12.46%,-11.89%,-70.25%,-57.29%,-58.63%,-41.03%,122.27%,104.98%,115.86%,94.46%,15.67%,-27.29%,-31.23%,-26.84%,-15.32%,38.69%,20.32%,21.49%,-
Enterprise Value,"70,096","71,906","71,481","76,838","81,724","75,228","78,618","81,964","86,433","90,016","87,313","78,149","76,448","73,335","72,952","76,537","71,219","75,440","77,616","74,749","79,271","71,818","70,824","69,793","41,165","45,398","44,361","53,226","63,109","68,327","68,366","77,797","68,391","56,023","53,913","63,247","61,519","67,885","59,982","71,530","72,787"
PE Ratio,34.98,31.71,50.53,34.86,41.92,28.35,33.77,38.26,33.34,37.25,32.17,35.25,28.11,32.91,24.31,23.34,19.28,24.03,24.52,18.20,25.72,24.68,21.94,22.40,9.59,20.50,33.71,24.79,20.92,17.34,15.68,26.04,25.28,15.66,13.60,14.23,20.22,22.19,14.85,5094537.09,31.97
PS Ratio,9.09,9.91,9.93,11.25,12.35,10.54,10.97,11.42,11.93,12.70,12.07,10.25,9.88,9.18,9.04,9.64,8.57,9.37,9.71,9.18,9.90,8.56,8.35,7.95,2.97,3.93,3.99,5.86,8.32,9.15,8.68,10.26,8.36,6.00,5.63,7.26,6.85,7.95,6.39,8.25,8.65
PB Ratio,8.16,9.87,10.18,11.11,12.33,12.09,12.94,13.45,14.00,14.71,14.05,12.93,13.10,13.52,13.58,14.48,13.67,15.62,16.15,15.76,17.59,16.77,17.90,18.12,7.71,10.31,11.29,8.88,12.20,13.27,12.64,15.62,13.28,10.15,9.72,12.24,12.19,15.06,11.97,15.44,16.18
P/FCF Ratio,24.41,26.82,25.24,29.27,31.61,26.56,29.69,30.03,30.75,29.30,25.88,21.65,20.08,18.30,17.56,18.66,16.56,18.32,19.55,17.50,19.37,16.60,15.79,15.62,5.92,10.87,11.36,14.65,18.01,14.22,13.60,16.89,14.48,10.24,9.34,12.32,11.65,13.93,11.68,20.30,21.28
P/OCF Ratio,17.04,18.86,18.89,20.73,22.18,18.26,18.84,19.89,20.93,21.01,19.48,16.52,15.65,14.45,14.06,14.86,13.13,14.54,15.07,13.85,15.09,12.88,12.43,12.02,4.53,7.65,8.27,11.60,15.19,12.65,11.71,14.43,12.17,8.54,7.90,10.20,9.63,11.28,9.24,16.01,16.79
Debt / Equity Ratio,3.95,4.18,4.22,4.17,4.39,4.97,5.15,5.23,5.00,4.96,4.99,5.55,5.64,6.29,6.35,6.95,6.75,6.97,7.00,7.30,7.22,7.99,9.97,10.29,12.87,13.69,14.64,9.17,17.24,8.27,7.72,7.83,8.04,8.43,8.49,8.27,8.68,8.87,8.60,8.61,8.61
Quick Ratio,0.64,0.95,0.58,0.83,0.54,0.43,0.53,0.63,0.54,0.57,0.55,0.62,0.46,0.44,0.45,0.96,0.40,0.51,0.51,0.55,0.43,0.44,1.53,0.65,1.58,1.47,0.76,0.78,0.60,0.68,0.47,12.95,0.45,0.45,0.45,0.57,0.63,0.48,0.45,0,0
