,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Cash & Equivalents,418.98,361.51,375.95,177.85,380.68,180.22,438.97,493.41,746.6,996.55,"1,072","1,071",859.54,984.67,926.22,"1,119","1,029",985.82,720.45,884.32,828.22,791.44,972.56,"1,146","1,381","1,235","1,496","1,268","1,369","1,245","1,114","1,096","1,244","1,190","1,007","1,420","1,628","1,605","1,475","1,765"
Short-Term Investments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,90,115,228.78,173.72,114.15,69.53,262.17,219.19,69.55,0,0,0,0,0,0,0,351.01,583.21,628.22,714.77,611.7,500.84
Cash & Cash Equivalents,418.98,361.51,375.95,177.85,380.68,180.22,438.97,493.41,746.6,996.55,"1,072","1,071",859.54,984.67,926.22,"1,119","1,029","1,026",810.45,999.32,"1,057",965.17,"1,087","1,216","1,644","1,455","1,566","1,268","1,369","1,245","1,114","1,096","1,244","1,190","1,358","2,004","2,257","2,320","2,087","2,266"
Cash Growth,-3.72%,-27.88%,40.81%,-54.75%,-9.14%,-50.15%,16.76%,177.43%,96.12%,452.95%,144.26%,117.07%,15.13%,-1.19%,-13.62%,4.48%,19.67%,4.18%,-12.50%,-10.70%,2.76%,-5.91%,34.09%,21.64%,55.50%,50.72%,44.10%,4.28%,-16.73%,-14.40%,-28.88%,-13.56%,-9.12%,-4.47%,21.94%,82.87%,81.42%,95.01%,53.68%,13.11%
Receivables,720.6,811.1,910.8,"1,059",902.83,769.74,816.52,799.03,613.61,689.2,794,779.46,729.78,883.15,886.89,923.02,868.84,987.66,"1,180","1,228","1,044","1,143","1,073",986.95,844.34,998.41,844.06,918.84,971.92,"1,366","1,571","1,893","1,916","2,364","2,661","2,334","2,056","2,127","2,143","1,882"
Inventory,"1,315","1,332","1,321","1,664","1,618","1,453","1,292","1,321","1,149","1,067","1,176","1,276","1,275","1,362","1,419","1,488","1,519","1,600","1,787","1,854","1,859","1,868","1,803","1,767","1,689","1,645","1,567","1,609","1,844","2,218","2,482","2,895","3,531","3,517","3,647","3,377","3,130","2,989","3,044","2,942"
Other Current Assets,19.3,23.65,22.57,29.41,36.34,49.02,43.83,37.96,28.35,21.66,8.52,10.55,65.14,15.6,19.82,42.56,91.51,38.71,39.93,50.11,72.73,52.63,61.25,50.82,76.01,45.35,39.04,59.22,74.36,67.74,98.51,104.11,209.59,79.62,90.14,99.21,195.37,127.02,122.03,138.61
Total Current Assets,"2,474","2,528","2,630","2,930","2,938","2,452","2,591","2,652","2,538","2,774","3,050","3,137","2,930","3,245","3,252","3,572","3,508","3,652","3,818","4,131","4,033","4,029","4,024","4,020","4,253","4,143","4,016","3,855","4,258","4,897","5,265","5,988","6,901","7,150","7,756","7,813","7,638","7,563","7,396","7,229"
"Property, Plant & Equipment","2,226","2,198","2,177","3,421","3,124","3,086","3,047","3,014","2,951","2,914","2,886","2,928","2,787","2,761","2,730","2,709","2,676","2,658","2,909","2,902","2,946","2,937","2,947","3,032","3,136","3,328","3,587","3,862","4,106","4,340","4,527","4,654","4,751","4,828","4,887","5,147","5,374","5,491","5,784","6,313"
Goodwill and Intangibles,"1,118","1,110","1,102","1,133","1,116","1,108","1,100","1,094",676.43,668.4,659.75,691.68,677.33,668.29,659.26,651.88,643.8,636.03,751.43,739.46,699.97,794.03,782.76,790.51,780.82,772.78,764.74,781.09,781.8,773.52,765.23,757.21,749.18,741.27,733.36,728.18,769.57,762.7,751.48,743.32
Other Long-Term Assets,115.08,78.15,76.44,94.05,55.16,89.88,87.67,83.28,36.5,34.82,33.62,31.01,29.51,30.23,29.49,27.94,27.68,26.61,26.4,25.77,25.17,97.42,104.31,100.69,106.04,101.57,100.03,119.19,119.74,117.06,130.1,137.02,129.6,337.77,335.29,359.47,378.73,403.3,620.24,643.68
Total Long-Term Assets,"3,459","3,386","3,355","4,648","4,295","4,284","4,235","4,191","3,664","3,617","3,579","3,651","3,494","3,459","3,418","3,389","3,347","3,321","3,687","3,667","3,671","3,828","3,834","3,923","4,023","4,202","4,452","4,763","5,007","5,231","5,422","5,548","5,630","5,907","5,955","6,234","6,522","6,657","7,155","7,700"
Total Assets,"5,933","5,914","5,985","7,578","7,233","6,736","6,827","6,843","6,202","6,392","6,630","6,788","6,424","6,704","6,670","6,961","6,856","6,973","7,505","7,798","7,704","7,857","7,858","7,943","8,276","8,345","8,468","8,618","9,266","10,128","10,687","11,536","12,531","13,057","13,711","14,048","14,160","14,220","14,551","14,929"
