,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Current
Market Capitalization,"32,773","26,775","29,979","36,197","23,937","28,763","25,677","34,004","28,464","23,903","22,369"
Market Cap Growth,1.72%,-18.30%,11.97%,20.74%,-33.87%,20.16%,-10.73%,32.43%,-16.29%,-16.02%,-
Enterprise Value,"-39,236","-32,020","-24,855","-17,531","-37,048","-29,054","-73,545","-60,807","-58,829","-43,443","-44,977"
PE Ratio,16.74,14.49,15.23,18.36,9.96,14.32,11.38,13.22,10.70,13.13,12.99
PS Ratio,3.19,2.58,2.94,3.21,1.97,2.45,2.19,2.83,2.34,2.00,1.87
PB Ratio,1.54,1.27,1.41,1.62,0.97,1.18,0.98,1.24,1.13,1.00,0.94
P/FCF Ratio,-33.17,-12.71,17.88,5.74,2.50,5.80,8.64,-4.52,2.54,-189.71,-189.71
P/OCF Ratio,-58.42,-19.08,13.09,5.22,2.35,5.05,7.27,-5.07,2.38,34.64,32.42
EV/Sales Ratio,-3.82,-3.09,-2.44,-1.56,-3.05,-2.47,-6.28,-5.06,-4.84,-3.64,-3.64
EV/EBITDA Ratio,-13.77,-11.56,-9.32,-4.76,-9.53,-8.12,-18.33,-13.94,-14.24,-15.32,-15.32
EV/EBIT Ratio,-16.53,-14.78,-12.77,-6.24,-12.72,-11.72,-26.88,-19.94,-18.31,-19.81,-19.81
EV/FCF Ratio,39.71,15.20,-14.82,-2.78,-3.87,-5.86,-24.75,8.09,-5.24,344.79,344.79
Debt / Equity Ratio,1.10,0.84,0.82,0.70,0.62,0.59,0.81,0.55,0.73,1.02,1.02
Debt / EBITDA Ratio,8.20,6.41,6.53,4.24,3.93,4.04,5.29,3.48,4.42,8.59,8.59
Debt / FCF Ratio,-23.65,-8.43,10.38,2.48,1.60,2.91,7.13,-2.02,1.63,-193.38,-193.38
Asset Turnover,0.04,0.04,0.04,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04
Return on Equity (ROE),9.20%,8.70%,9.10%,8.90%,10.20%,8.00%,9.00%,9.80%,10.30%,7.60%,7.60%
Return on Assets (ROA),0.70%,0.70%,0.80%,0.80%,1.00%,0.80%,0.70%,0.80%,0.90%,0.60%,0.60%
Return on Capital (ROIC),4.52%,5.07%,5.58%,5.54%,6.43%,5.67%,5.20%,6.22%,6.38%,4.07%,4.07%
Earnings Yield,5.97%,6.90%,6.56%,5.45%,10.04%,6.98%,8.79%,7.56%,9.35%,7.62%,8.14%
FCF Yield,-3.01%,-7.87%,5.59%,17.41%,39.96%,17.24%,11.57%,-22.12%,39.42%,-0.53%,-0.56%
Dividend Yield,1.50%,2.00%,1.90%,1.60%,2.80%,2.50%,2.90%,2.30%,3.10%,3.40%,3.81%
Payout Ratio,25.10%,29.10%,28.60%,30.40%,27.60%,36.50%,32.50%,29.90%,33.00%,46.70%,49.46%
Buyback Yield / Dilution,5.09%,4.25%,4.24%,4.01%,0.98%,0.75%,4.43%,-0.24%,-3.39%,11.76%,11.76%
Total Shareholder Return,6.59%,6.25%,6.14%,5.61%,3.78%,3.25%,7.33%,2.06%,-0.29%,15.16%,15.57%
