,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,Current
Market Capitalization,"30,020","28,950","31,175","32,773","30,315","31,699","27,429","26,775","23,409","21,349","27,157","29,979","30,406","33,760","35,728","36,197","36,666","34,016","30,649","23,937","24,920","20,920","22,053","28,763","18,876","22,367","20,907","25,677","29,554","28,614","29,102","34,004","31,892","22,633","22,355","28,464","26,074","24,461","21,336","23,903","22,369"
Market Cap Growth,11.20%,-2.66%,6.32%,1.72%,0.98%,9.50%,-12.02%,-18.30%,-22.78%,-32.65%,-0.99%,11.97%,29.89%,58.13%,31.56%,20.74%,20.59%,0.76%,-14.21%,-33.87%,-32.04%,-38.50%,-28.05%,20.16%,-24.25%,6.92%,-5.20%,-10.73%,56.57%,27.93%,39.20%,32.43%,7.91%,-20.90%,-23.18%,-16.29%,-18.24%,8.08%,-4.56%,-16.02%,-
Enterprise Value,"-27,368","-53,142","-37,192","-39,236","-32,537","-63,279","-21,021","-32,020","-29,105","-40,507","-37,812","-24,855","-22,718","-15,955","-12,331","-17,531","-31,268","-31,658","-24,080","-37,048","-19,864","-27,214","-24,011","-29,054","-82,380","-40,244","-32,968","-73,545","-67,287","-75,027","-68,893","-60,807","-56,877","-57,688","-61,234","-58,829","-45,551","-43,992","-37,760","-43,443","-44,977"
PE Ratio,15.66,14.86,15.91,16.74,15.35,17.99,15.59,14.49,13.05,10.73,13.87,15.23,14.51,16.12,16.12,18.36,17.22,15.17,13.21,9.96,11.06,9.99,11.53,14.32,8.83,9.89,9.29,11.38,13.64,12.82,12.09,13.22,11.96,8.54,8.51,10.70,10.02,9.35,9.10,13.13,12.99
PS Ratio,3.03,2.91,3.08,3.19,2.92,3.05,2.63,2.58,2.29,2.09,2.66,2.94,2.93,3.18,3.29,3.21,3.15,2.86,2.54,1.97,2.08,1.77,1.88,2.45,1.59,1.87,1.77,2.19,2.55,2.45,2.45,2.83,2.62,1.87,1.86,2.34,2.14,1.99,1.77,2.00,1.87
PB Ratio,1.41,1.33,1.47,1.54,1.46,1.47,1.28,1.27,1.09,0.97,1.23,1.41,1.43,1.53,1.59,1.62,1.64,1.51,1.25,0.97,1.00,0.82,0.88,1.18,0.79,0.90,0.82,0.98,1.18,1.14,1.07,1.24,1.22,0.88,0.87,1.13,1.05,1.01,0.90,1.00,0.94
P/FCF Ratio,-34.15,-112.65,-10.98,-33.17,-12.21,-5.30,-5.43,-12.71,84.51,2.88,5.41,17.88,13.01,50.61,28.58,5.74,4.79,5.92,2.26,2.50,6.04,3.62,4.40,5.80,1.96,2.08,33.50,8.64,-6.10,-2.07,-3.53,-4.52,38.85,5.27,2.67,2.54,6.99,3.48,7.48,-189.71,-189.71
P/OCF Ratio,-60.04,211.31,-12.92,-58.42,-14.64,-5.78,-6.26,-19.08,22.25,2.62,4.80,13.09,10.32,26.44,19.10,5.22,4.44,5.36,2.17,2.35,5.24,3.25,3.83,5.05,1.83,1.96,17.29,7.27,-6.97,-2.17,-3.85,-5.07,19.83,4.47,2.44,2.38,5.79,3.14,6.02,34.64,32.42
Debt / Equity Ratio,1.05,1.04,1.07,1.10,1.14,1.16,1.10,0.84,0.76,0.81,0.80,0.82,0.78,0.77,0.75,0.70,0.63,0.65,0.53,0.62,0.54,0.71,0.79,0.59,2.15,1.26,1.05,0.81,0.61,0.57,0.52,0.55,0.69,0.56,0.72,0.73,0.81,0.89,0.92,1.02,1.02
Return on Capital (ROIC),Upgrade,4.47%,4.50%,4.58%,4.52%,4.62%,4.00%,4.16%,5.07%,5.12%,5.32%,5.31%,5.60%,6.05%,5.85%,6.13%,5.57%,6.23%,6.41%,6.55%,6.43%,6.28%,5.21%,4.63%,5.68%,3.14%,4.48%,4.75%,5.20%,5.76%,5.90%,6.00%,6.22%,6.17%,6.82%,6.20%,6.38%,6.15%,5.99%,5.46%,4.09%
