,2014-02-28,2014-05-31,2014-08-31,2014-11-30,2015-02-28,2015-05-31,2015-08-31,2015-11-30,2016-02-29,2016-05-31,2016-08-31,2016-11-30,2017-02-28,2017-05-31,2017-08-31,2017-11-30,2018-02-28,2018-05-31,2018-08-31,2018-11-30,2019-02-28,2019-05-31,2019-08-31,2019-11-30,2020-02-29,2020-05-31,2020-08-31,2020-11-30,2021-02-28,2021-05-31,2021-08-31,2021-11-30,2022-02-28,2022-05-31,2022-08-31,2022-11-30,2023-02-28,2023-05-31,2023-08-31,2023-11-30
Revenue,"1,291","1,526","1,604","1,542","1,356","1,631","1,733","1,641","1,543","1,872","2,021","1,811","1,618","1,929","2,088","1,802","1,762","2,047","2,299","1,973","1,797","2,097","2,344","1,999","1,903","1,963","2,260","2,438","1,953","2,027","2,371","2,321","2,103","2,363","2,655","2,437","1,998","2,515","2,837","2,471"
Revenue Growth (YoY),85.54%,126.61%,9.88%,6.82%,5.03%,6.90%,8.06%,6.41%,13.79%,14.74%,16.60%,10.36%,4.82%,3.03%,3.30%,-0.48%,8.93%,6.15%,10.12%,9.47%,2.00%,2.45%,1.95%,1.36%,5.88%,-6.38%,-3.57%,21.94%,2.63%,3.21%,4.90%,-4.82%,7.65%,16.61%,11.98%,4.99%,-4.98%,6.42%,6.84%,1.41%
Cost of Revenue,742.3,855.9,932.1,902.8,758.6,894.2,957.8,907,847.1,990.5,"1,052",919.1,840.3,940.2,"1,019",891.6,916.8,998.5,"1,131","1,003",903.7,"1,069","1,158","1,012",953.1,975.1,"1,045","1,170",959.3,907.2,"1,141","1,095",969.9,"1,108","1,329","1,210","1,037","1,257","1,387","1,200"
Gross Profit,548.9,670.1,672,638.9,597.6,737.1,775.6,733.5,696.1,881.3,969,891.4,777.3,988.3,"1,069",910.3,845.2,"1,049","1,168",970,893.5,"1,029","1,186",987.5,949.8,988.3,"1,216","1,268",993.7,"1,119","1,230","1,226","1,133","1,255","1,326","1,227",961.2,"1,258","1,450","1,271"
"Selling, General & Admin",219.5,277.9,293.3,263.3,243.9,309.8,296.2,286.2,285,328.6,358.1,357.4,348.3,427.2,351.4,420.7,333.4,423.2,403.2,413.5,428.2,406,439.4,406.3,370.1,353.3,399.1,464.1,458.4,378.3,490.5,385.8,455.1,438.6,512.8,480.2,494.5,493.1,471.2,473.7
Other Operating Expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,390,32.7,25,-22,21,-24,665.9,0,0,0,0,0,0,0,0,0,0
Operating Expenses,219.5,277.9,293.3,263.3,243.9,309.8,296.2,286.2,285,328.6,358.1,357.4,348.3,427.2,351.4,420.7,333.4,423.2,403.2,413.5,428.2,406,466.4,796.3,402.8,378.3,377.1,485.1,434.4,"1,044",490.5,385.8,455.1,438.6,512.8,480.2,494.5,493.1,471.2,473.7
Operating Income,329.4,392.2,378.7,375.6,353.7,427.3,479.4,447.3,411.1,552.7,610.9,534,429,561.1,717.3,489.6,511.8,625.4,765,556.5,465.3,622.7,719.5,191.2,547,610,838.7,783.1,559.3,75.1,739.2,839.9,677.5,816.4,813.1,746.7,466.7,764.7,978.7,796.9
Interest Expense / Income,88.5,86.4,85,86,80.3,77.5,77.3,75.6,83.5,84.6,94.1,77.6,77,82.4,81.3,81.4,86.9,87.8,88,72.8,118.5,114.6,111.6,103.1,99.4,100,100.2,95.7,89.8,86.7,95.8,88,85.9,88.5,94.3,98.7,117.2,118.2,110.6,104.2
Other Expense / Income,0.5,-0.5,5,-21.2,-3.5,0.6,2.6,-26.8,-20.7,0.1,-5.7,-28.4,-251.6,8.8,4.4,-235.2,-156.3,-361.9,-686.6,145.3,"-1,173.5",938.9,"1,335",386.6,-30.7,583.5,91,-770.1,-8.1,910,510.6,181.8,103.9,213,"1,738",49.2,93.3,419.4,30.9,53.6
Pretax Income,240.4,306.3,288.7,310.8,276.9,349.2,399.5,398.5,348.3,468,522.5,484.8,603.6,469.9,631.6,643.4,581.2,899.5,"1,364",338.4,"1,520",-430.8,-727.4,-298.5,478.3,-73.5,647.5,"1,458",477.6,-921.6,132.8,570.1,487.7,514.9,"-1,018.8",598.8,256.2,227.1,837.2,639.1
Income Tax,83.2,99.6,92.9,88.6,62.3,110.6,97.1,128,104.9,149.7,163.6,78.9,158.1,71.4,130,150.6,-329.3,155.7,214.1,35.3,280.8,-185.4,-202.2,-658.9,79.9,104.4,135.4,176.6,94.7,-13.5,131.3,99.3,92.3,125.4,132.4,131.1,33.2,91.2,147.2,130
Net Income,157.2,206.7,195.8,222.2,214.6,238.6,302.4,270.5,243.4,318.3,358.9,405.9,445.5,398.5,501.6,492.8,910.5,743.8,"1,150",303.1,"1,240",-245.4,-525.2,360.4,398.4,-177.9,512.1,"1,281",382.9,-908.1,1.5,470.8,395.4,389.5,"-1,151.2",467.7,223,135.9,690,509.1
Net Income Growth,92.41%,290.74%,-87.14%,5.31%,36.51%,15.43%,54.44%,21.74%,13.42%,33.40%,18.68%,50.06%,83.03%,25.20%,39.76%,21.41%,104.38%,86.65%,129.17%,-38.49%,36.13%,-,-,18.90%,-67.86%,-,-,255.41%,-3.89%,-,-99.71%,-63.24%,3.26%,-,-,-0.66%,-43.60%,-65.11%,-,8.85%
Shares Outstanding (Basic),190,192,193,193,194,195,196,197,199,200,201,201,196,195,195,195,194,191,190,190,191,191,192,192,192,193,193,194,194,194,191,188,190,189,185,190,207,183,183,184
Shares Outstanding (Diluted),223,224,224,225,226,226,226,227,229,229,229,229,223,224,225,225,223,220,219,218,218,191,192,218,192,193,218,219,219,194,216,213,190,213,185,208,207,184,184,184
Shares Change,1.94%,2.47%,1.80%,1.41%,1.21%,1.10%,1.01%,1.24%,1.25%,1.10%,1.12%,0.60%,-2.31%,-1.90%,-1.89%,-1.88%,-0.24%,-1.78%,-2.43%,-2.84%,-2.28%,-13.14%,-12.59%,0.01%,-11.87%,0.76%,13.99%,0.25%,14.11%,0.49%,-1.22%,-2.54%,-13.27%,9.64%,-14.28%,-2.19%,8.94%,-13.49%,-0.36%,-11.67%
EPS (Basic),0.82,1.09,1.03,1.16,1.12,1.24,1.56,1.39,1.23,1.61,1.81,2.04,2.30,2.07,2.59,2.55,4.74,3.93,6.11,1.62,6.58,-1.30,-2.77,1.90,2.10,-0.94,2.68,6.68,2.00,-4.74,0.01,2.53,2.09,2.09,-6.30,2.58,1.37,0.74,3.76,2.77
EPS (Diluted),0.76,1.03,0.98,1.10,1.06,1.18,1.49,1.33,1.19,1.55,1.75,1.98,2.22,1.98,2.49,2.45,4.55,3.77,5.87,1.56,6.36,-1.30,-2.77,1.85,2.10,-0.94,2.62,6.55,1.95,-4.74,0.01,2.48,2.09,2.06,-6.30,2.52,1.37,0.74,3.74,2.76
EPS Growth,80.95%,281.48%,-87.34%,2.80%,39.47%,14.56%,52.04%,20.91%,12.26%,31.36%,17.45%,48.87%,86.55%,27.74%,42.29%,23.74%,104.95%,90.40%,135.74%,-36.33%,39.78%,-,-,18.59%,-66.98%,-,-,254.05%,-7.14%,-,-99.62%,-62.14%,7.18%,-,-,1.61%,-34.45%,-64.08%,-,9.52%
Free Cash Flow,59.5,100.9,259,-151.1,152.8,76,432.3,69.5,-55.4,176.5,499.8,147.8,-33.4,164.5,434.1,165.4,115.7,335.8,676.8,387.3,32.4,437.7,626.5,474.5,294.2,560,625.2,729,46.6,602.9,570.9,675.6,-166.7,568.1,657.8,377.5,124.8,388.4,666.4,401.9
Free Cash Flow Per Share,0.31,0.53,1.34,-0.78,0.79,0.39,2.21,0.35,-0.28,0.88,2.49,0.74,-0.17,0.84,2.22,0.85,0.60,1.75,3.55,2.04,0.17,2.29,3.27,2.48,1.53,2.90,3.23,3.76,0.24,3.11,2.99,3.59,-0.88,3.01,3.56,1.99,0.60,2.12,3.63,2.19
Dividend Per Share,-,-,-,-,-,0.310,0.310,0.310,0.310,0.400,0.400,0.400,0.400,0.520,0.520,0.520,0.520,0.740,0.740,0.740,0.740,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.750,0.760,0.760,0.760,0.760,0.800,0.800,0.800,0.800,0.890,0.890,0.890
Dividend Growth,-,-,-,-,-,-,-,-,-,29.03%,29.03%,29.03%,29.03%,30.00%,30.00%,30.00%,30.00%,42.31%,42.31%,42.31%,42.31%,1.35%,1.35%,1.35%,1.35%,0%,0%,0%,0%,1.33%,1.33%,1.33%,1.33%,5.26%,5.26%,5.26%,5.26%,11.25%,11.25%,11.25%
Gross Margin,42.51%,43.91%,41.89%,41.44%,44.06%,45.18%,44.74%,44.71%,45.11%,47.08%,47.94%,49.24%,48.05%,51.25%,51.19%,50.52%,47.97%,51.22%,50.81%,49.17%,49.72%,49.05%,50.59%,49.39%,49.91%,50.34%,53.79%,52.02%,50.88%,55.23%,51.86%,52.82%,53.87%,53.11%,49.94%,50.36%,48.11%,50.01%,51.11%,51.42%
Operating Margin,25.51%,25.70%,23.61%,24.36%,26.08%,26.19%,27.66%,27.27%,26.64%,29.53%,30.22%,29.49%,26.52%,29.10%,34.36%,27.17%,29.05%,30.55%,33.27%,28.21%,25.89%,29.69%,30.70%,9.56%,28.75%,31.07%,37.10%,32.12%,28.64%,3.71%,31.18%,36.19%,32.22%,34.55%,30.62%,30.65%,23.36%,30.41%,34.50%,32.25%
Profit Margin,12.17%,13.55%,12.21%,14.41%,15.82%,14.63%,17.45%,16.49%,15.77%,17.01%,17.76%,22.42%,27.54%,20.66%,24.02%,27.35%,51.67%,36.33%,50.00%,15.37%,68.97%,-11.70%,-22.41%,18.03%,20.94%,-9.06%,22.66%,52.54%,19.61%,-44.81%,0.06%,20.29%,18.81%,16.48%,-43.36%,19.20%,11.16%,5.40%,24.32%,20.60%
Free Cash Flow Margin,4.61%,6.61%,16.15%,-9.80%,11.27%,4.66%,24.94%,4.24%,-3.59%,9.43%,24.73%,8.16%,-2.06%,8.53%,20.79%,9.18%,6.57%,16.40%,29.44%,19.63%,1.80%,20.87%,26.73%,23.73%,15.46%,28.52%,27.66%,29.90%,2.39%,29.75%,24.08%,29.11%,-7.93%,24.04%,24.77%,15.49%,6.25%,15.44%,23.49%,16.27%
Effective Tax Rate,34.61%,32.52%,32.18%,28.51%,22.50%,31.67%,24.31%,32.12%,30.12%,31.99%,31.31%,16.27%,26.19%,15.19%,20.58%,23.41%,-56.66%,17.31%,15.70%,10.43%,18.47%,-,-,-,16.70%,-,20.91%,12.12%,19.83%,-,98.87%,17.42%,18.93%,24.35%,-,21.89%,12.96%,40.16%,17.58%,20.34%
EBITDA,370.9,442.2,427.2,448.4,404.6,481.4,533.5,525.4,449.4,608.4,674.7,623.8,742.8,622.4,783.7,889.5,656.3,"1,072","1,536",492.5,"1,722",-206.8,-511.3,-93.8,677,118.4,839.8,"1,651",662.3,-739.2,335.3,765.2,683.3,717.7,-810.9,814.7,501.4,472.6,"1,078",871
EBITDA Margin,28.73%,28.98%,26.63%,29.08%,29.83%,29.51%,30.78%,32.03%,29.12%,32.50%,33.38%,34.45%,45.92%,32.27%,37.54%,49.36%,37.25%,52.34%,66.82%,24.97%,95.80%,-9.86%,-21.81%,-4.69%,35.58%,6.03%,37.15%,67.73%,33.91%,-36.48%,14.14%,32.97%,32.50%,30.37%,-30.54%,33.44%,25.10%,18.79%,37.98%,35.25%
