,2014-03-29,2014-06-28,2014-09-27,2014-12-27,2015-03-28,2015-06-27,2015-09-26,2015-12-26,2016-03-26,2016-07-02,2016-10-01,2016-12-31,2017-04-01,2017-07-01,2017-09-30,2017-12-30,2018-03-31,2018-06-30,2018-09-29,2018-12-29,2019-03-30,2019-06-29,2019-09-28,2019-12-28,2020-03-28,2020-06-27,2020-09-26,2020-12-26,2021-03-27,2021-07-03,2021-10-02,2022-01-01,2022-04-02,2022-07-02,2022-10-01,2022-12-31,2023-04-01,2023-07-01,2023-09-30,2023-12-30
Cash & Equivalents,498.96,558.46,550.34,"5,073","5,251","5,298",388.26,595.6,610.84,"3,919",759.9,847.29,855.13,869.5,909.2,961.07,901.55,552.33,790.3,744.81,521.62,513.46,455.48,524.58,"2,241","6,059","5,986","5,767","4,896","3,007","2,068","1,374",876.14,867.09,437.67,500.34,757.87,745.2,569.1,962.17
Cash & Cash Equivalents,498.96,558.46,550.34,"5,073","5,251","5,298",388.26,595.6,610.84,"3,919",759.9,847.29,855.13,869.5,909.2,961.07,901.55,552.33,790.3,744.81,521.62,513.46,455.48,524.58,"2,241","6,059","5,986","5,767","4,896","3,007","2,068","1,374",876.14,867.09,437.67,500.34,757.87,745.2,569.1,962.17
Cash Growth,4.65%,0.15%,6.37%,734.80%,952.37%,848.74%,-29.45%,-88.26%,-88.37%,-26.03%,95.72%,42.26%,39.99%,-77.81%,19.65%,13.43%,5.43%,-36.48%,-13.08%,-22.50%,-42.14%,-7.04%,-42.37%,-29.57%,329.59%,1080.12%,1214.11%,999.37%,118.48%,-50.37%,-65.45%,-76.17%,-82.10%,-71.17%,-78.83%,-63.59%,-13.50%,-14.06%,30.03%,92.30%
Receivables,"3,511","3,399","3,647","3,530","3,496","3,353","3,531","3,353","3,509","3,381","4,191","3,963","4,282","4,012","4,334","3,954","4,228","4,074","4,242","4,147","4,329","4,182","4,397","4,376","3,656","2,894","3,106","2,855","3,221","3,782","4,310","4,220","4,778","4,839","5,337","4,908","5,227","5,092","5,339","5,292"
Inventory,"2,528","2,602","2,846","2,792","2,650","2,692","2,841","2,736","2,704","2,639","3,026","3,032","2,944","2,996","3,181","3,174","3,260","3,125","3,354","3,310","3,345","3,216","3,387","3,508","3,698","3,095","3,135","3,100","3,219","3,695","4,055","4,116","4,409","4,437","4,683","4,662","4,621","4,481","4,649","4,722"
Other Current Assets,120.48,122.78,65.61,61.95,124.39,150.78,267.24,93.59,136.12,114.45,158.3,168.91,244.06,155.95,173.46,183.45,326.81,251.99,255.08,235.3,260.29,230.32,244.87,253.19,263.23,300.17,206.37,268.49,251.56,249.72,255.59,353.32,350.39,339.72,310.13,326.31,292.73,290.38,339.3,333.38
Total Current Assets,"6,658","6,682","7,108","11,457","11,521","11,494","7,028","6,779","6,960","10,054","8,135","8,011","8,326","8,033","8,597","8,272","8,716","8,003","8,642","8,438","8,456","8,142","8,484","8,662","9,858","12,348","12,433","11,991","11,587","10,734","10,688","10,063","10,413","10,483","10,767","10,396","10,899","10,608","10,896","11,310"
"Property, Plant & Equipment","3,956","3,986","3,969","4,003","3,970","3,982","3,961","3,937","3,900","3,880","4,419","4,331","4,272","4,377","4,388","4,366","4,392","4,522","4,467","4,376","4,377","4,502","5,120","5,225","5,225","5,062","5,026","5,018","4,959","5,035","5,094","5,032","5,132","5,180","5,167","5,271","5,358","5,647","5,795","5,982"
Goodwill and Intangibles,"2,118","2,128","2,161","2,135","2,088","2,115","2,150","2,141","2,273","2,329","5,020","4,809","4,854","4,954","5,023","5,057","5,122","4,935","4,881","4,776","4,812","4,754","4,697","4,879","4,665","4,513","4,571","4,728","4,702","4,690","5,330","5,323","5,747","5,495","5,341","5,488","5,500","5,505","5,594","6,429"
Other Long-Term Assets,424.47,345.62,356.07,334.98,364.92,398.21,232.36,232.82,217.39,458.34,451.25,478.45,469.78,392.28,409.97,523.56,398.86,609.99,551.44,604.93,555.7,569.79,655.81,606.37,684.07,705.21,711.81,751.74,795.11,954.53,990.42,"1,008","1,031",927.75,935.54,932.16,944.89,"1,061",987.35,"1,020"
Total Long-Term Assets,"6,499","6,459","6,486","6,473","6,423","6,495","6,344","6,310","6,391","6,668","9,889","9,619","9,595","9,723","9,822","9,947","9,913","10,067","9,900","9,756","9,745","9,825","10,472","10,710","10,575","10,280","10,308","10,498","10,457","10,680","11,415","11,364","11,910","11,602","11,444","11,691","11,803","12,213","12,377","13,431"
Total Assets,"13,157","13,141","13,594","17,930","17,944","17,989","13,372","13,089","13,351","16,722","18,025","17,630","17,921","17,757","18,419","18,219","18,629","18,070","18,542","18,194","18,201","17,967","18,957","19,372","20,432","22,628","22,742","22,490","22,043","21,414","22,103","21,427","22,324","22,086","22,211","22,087","22,702","22,821","23,273","24,741"
Accounts Payable,"2,726","2,831","2,924","2,798","2,836","2,882","2,888","2,710","2,907","2,936","3,717","3,550","3,850","3,971","3,951","3,746","4,236","4,136","4,218","4,230","4,293","4,315","4,247","4,160","3,969","3,447","4,035","3,555","4,221","4,885","5,238","5,019","5,722","5,753","6,018","5,420","5,902","6,026","5,796","5,738"
Current Debt,75.96,375.75,385.57,387.77,393.54,"5,050",83.62,90.11,87.01,98.47,16.05,31.54,551.37,534.01,538.15,541.35,294.66,786.51,787.42,792.14,542.97,41.28,160.34,897.62,934.91,"1,652","1,435","1,482","1,077",597.58,607.07,590.58,619.84,686.3,649.86,806.14,818.27,161.6,298.65,203.91
