,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-10-28,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Net Income,"3,652","3,547","3,002","-3,977","3,200","3,044","2,994","4,006","3,803","3,408","3,328","2,437","3,469","3,915","3,029","19,037","4,662","5,132","4,718","4,858","4,096","3,713","3,700","2,394","4,610","1,281","2,816","-13,883","7,550","1,570","5,918","5,043","4,810","4,157","6,026","-23,120","4,176","4,437","3,444","2,135"
Depreciation & Amortization,"4,617","4,550","4,539","4,567","4,578","4,696","6,265","6,477","6,563","6,576","6,579","6,129","6,127","6,147","6,042","6,071","5,994","6,378","8,166","7,892","7,206","7,101","6,949","6,961","7,222","7,285","7,030","6,979","5,809","5,761","5,619","5,673","5,539","3,373","4,514","4,595","4,631","4,675","4,705","4,766"
Share-Based Compensation,136,"-1,115",252,"10,189",252,210,351,"-1,507",317,281,328,"1,727",636,79,299,"4,692",-492,"-1,220",37,-347,961,"1,557","1,155","2,606",-575,"2,080",-142,"19,962","-3,663","4,046","-1,563","-1,407",0,0,0,0,"-1,149","-2,029","-1,158",0
Other Operating Activities,394,"1,088",931,"-5,034","-1,292","1,210","1,187",209,"-2,783",42,760,-151,"-1,014","-1,199","1,744","-21,064","-1,217",-61,-575,-323,"-1,211","1,913",-415,-18,"-2,391","1,413","2,419","-2,976",231,-467,-108,"1,945","-4,617","-1,623",-469,"28,838",-980,"2,839","3,345","4,477"
Operating Cash Flow,"8,799","8,070","8,724","5,745","6,738","9,160","10,797","9,185","7,900","10,307","10,995","10,142","9,218","8,942","11,114","8,736","8,947","10,229","12,346","12,080","11,052","14,284","11,389","11,943","8,866","12,059","12,123","10,082","9,927","10,910","9,866","11,254","5,732","5,907","10,071","10,313","6,678","9,922","10,336","11,378"
Operating Cash Flow Growth,7.32%,-15.16%,-4.84%,-27.43%,-23.42%,13.51%,23.76%,59.88%,17.25%,12.52%,1.83%,10.42%,16.68%,-13.24%,1.08%,-13.86%,-2.94%,14.39%,11.09%,38.28%,23.53%,39.64%,-7.75%,-1.13%,-19.78%,-15.58%,6.44%,-15.58%,11.97%,-9.53%,-18.62%,11.62%,-42.26%,-45.86%,2.08%,-8.36%,16.50%,67.97%,2.63%,10.33%
Capital Expenditures,"-5,716","-5,933","-5,180","-4,370","-3,848","-4,480","-5,028","-5,862","-4,451","-5,251","-5,581","-6,233","-5,784","-4,966","-5,006","-4,891","-5,957","-5,002","-5,736","-4,063","-5,121","-5,421","-5,141","-3,752","-4,938","-4,434","-3,911","-2,392","-4,033","-3,959","-4,704","-3,831","-4,748","-4,728","-5,921","-4,229","-4,335","-4,270","-4,647","-4,601"
Acquisitions,-311,"4,377",-42,962,"-19,506","-1,376","-9,733",-60,-84,-294,"-2,360",425,-156,"1,431",-65,-28,"-1,185","-40,506","-1,463",943,-218,"3,177",-641,192,-50,-843,6,"2,517","-22,833",299,"8,087","-2,266","-9,233",-315,-362,-91,-276,-223,-358,0
Change in Investments,-162,-,-,-,"-2,021",-,-,"7,752",234,-,-,-,-359,-,-,-,45,-,-,-,70,-,-,-,140,-,-,-,"-4,037",-,-,-,-,-,-,-,-,-,-,-
Other Investing Activities,107,-63,"-2,057",51,"3,788",-217,-626,"-7,927",-7,-164,-231,-218,128,-242,-247,"1,242",-55,25,-153,-38,-132,346,79,-128,-174,21,457,53,"4,051",-119,-85,"1,341","1,330","1,255",740,497,793,-930,460,"-1,273"
Investing Cash Flow,"-6,082","-1,619","-7,279","-3,357","-21,587","-6,073","-15,387","-6,097","-4,308","-5,709","-8,172","-6,026","-6,171","-3,777","-5,318","-3,677","-7,152","-45,483","-7,352","-3,158","-5,401","-1,898","-5,703","-3,688","-5,022","-5,256","-3,448",178,"-26,852","-3,779","3,298","-4,756","-12,651","-3,788","-5,543","-3,823","-3,818","-5,423","-4,545","-5,874"
Dividends Paid,"-2,398","-2,386","-2,386","-2,382","-2,434","-2,439","-2,438","-2,889","-2,947","-2,952","-2,951","-2,947","-3,009","-3,012","-3,009","-3,008","-3,070","-3,074","-3,631","-3,635","-3,714","-3,722","-3,726","-3,726","-3,737","-3,737","-3,741","-3,741","-3,741","-3,830","-3,748","-3,749","-3,749","-2,086","-2,010","-2,014","-2,014","-2,083","-2,019","-2,020"
Common Stock Issued,13,14,7,5,8,12,113,10,89,30,18,9,21,3,2,7,11,1,347,386,167,288,121,55,58,26,4,17,63,22,4,7,26,2,89,-117,3,"3,308","5,261","1,165"
