,2010-06-30,2010-09-30,2011-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
reportedCurrency,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
operatingCashflow,71432000,42041000,62148000,67003000,13892000,117343000,68094000,96868000,92861000,156062000,98115000,99174000,69746000,203170000,115707000,124394000,47514000,390445000,382186000,137785000,135874000,302365000,310898000,141683000,160622000,442552000,396284000,155691000,169832000,-213527000,565583000,201840000,217391000,-292954000,330000000,123000000,315000000,247000000,433000000,161000000,397000000,222000000,274000000,98000000,252000000,289000000,279000000,87000000,309000000,273000000,377000000,130000000,406000000,462000000
paymentsForOperatingActivities,None,69303000,34651000,51242000,139732000,18591000,89331000,62333000,143833000,56783000,95355000,90203000,131930000,67774000,81067000,141231000,136597000,110189000,24515000,261586000,124841000,177325000,78733000,136279000,80362000,336525000,143702000,145609000,144984000,153423000,153929000,157020000,158718000,165313000,153806000,210705000,168489000,344531000,162000000,276001000,221000000,294999000,260000000,321000000,220000000,242000000,282000000,308000000,220000000,279000000,280000000,None,None,360000000
proceedsFromOperatingActivities,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,16000000,1000000,None,None,None,None,None,None,None,None,None,None,None,None
changeInOperatingLiabilities,None,-8633000,-30133000,39315000,-31967000,40286000,-65757000,67559000,-45576000,34363000,-21798000,22871000,-44588000,88763000,-40816000,39606000,-9895000,20881000,27339000,-55685000,47602000,-45212000,-39006000,-1600000,-1795000,12968000,-54745000,2005000,7708000,1525000,-19585000,21098000,-17143000,19961000,-8702000,2209000,-20046000,-35846000,-8000000,-80000000,-33000000,41000000,-14000000,-36000000,8000000,-1000000,-39000000,12000000,28000000,82000000,-75000000,None,None,36000000
changeInOperatingAssets,None,11791000,-25364000,28771000,-1813000,34985000,-17555000,28782000,-5435000,-17655000,-10103000,26415000,14504000,10938000,2181000,18951000,12873000,13815000,-2217000,26248000,6973000,32120000,-1778000,28281000,20267000,34528000,-62858000,56659000,31553000,35670000,99939000,85929000,6268000,18936000,-10781000,124503000,70991000,-39617000,25000000,39000000,-274000000,-88000000,-95000000,33000000,89000000,-29000000,-83000000,170000000,136000000,179000000,-30000000,None,None,119000000
depreciationDepletionAndAmortization,3814000,9539000,10698000,19224000,12445000,10370000,20398000,9339000,11341000,8578000,17452000,16321000,16062000,23680000,23839000,25881000,24821000,21844000,21785000,19061000,26921000,25896000,29832000,18522000,18629000,25426000,42404000,22032000,23259000,17114000,35804000,17457000,19224000,17773000,41209000,23063000,41889000,59064000,78000000,47000000,43000000,45000000,67000000,36000000,36000000,39000000,73000000,33000000,33000000,40000000,72000000,66000000,37000000,40000000
capitalExpenditures,2941000,3016000,2987000,5399000,3835000,5805000,4703000,4406000,7100000,9037000,8677000,7639000,7317000,11902000,8097000,9612000,7741000,8696000,8138000,14861000,17300000,14572000,10172000,12142000,7693000,13975000,21807000,16629000,17235000,15342000,15290000,15594000,19213000,23244000,23805000,19599000,37017000,21170000,27000000,23000000,12000000,43000000,31000000,29000000,20000000,25000000,25000000,32000000,29000000,33000000,31000000,35000000,36000000,37000000
changeInReceivables,None,8895000,-19294000,13883000,5251000,15310000,-20150000,29181000,-2103000,-4971000,-17321000,23665000,16347000,2315000,3034000,10343000,11556000,-624000,-17096000,26752000,-2612000,18374000,-14368000,32852000,18864000,42766000,-59812000,56704000,24303000,33474000,-81175000,75311000,6725000,42950000,-45413000,52639000,58120000,16922000,-51000000,-23000000,-273000000,-5000000,-86000000,47000000,16000000,101000000,-117000000,125000000,83000000,99000000,-121000000,-154000000,-101000000,78000000
changeInInventory,-150000,2461000,-3793000,2526000,8363000,2565000,937000,-165000,2926000,-3282000,11521000,6705000,-1464000,-1473000,2216000,2664000,3530000,-18000,12646000,6728000,8623000,-2023000,14108000,1426000,155000,-13616000,-8365000,1469000,7221000,-5452000,12508000,3829000,8820000,-7157000,29000000,16000000,55000000,-64000000,69000000,28000000,29000000,-64000000,-1000000,-31000000,-8000000,-39000000,32000000,30000000,46000000,26000000,89000000,87000000,68000000,17000000
