,2013-12-29,2014-03-30,2014-06-29,2014-09-28,2014-12-28,2015-03-29,2015-06-28,2015-09-27,2016-01-03,2016-04-03,2016-07-03,2016-10-02,2017-01-01,2017-04-02,2017-07-02,2017-10-01,2017-12-31,2018-04-01,2018-07-01,2018-09-30,2018-12-30,2019-03-31,2019-06-30,2019-09-29,2019-12-29,2020-03-29,2020-06-28,2020-09-27,2021-01-03,2021-04-04,2021-07-04,2021-10-03,2022-01-02,2022-04-03,2022-07-03,2022-10-02,2023-01-01,2023-04-02,2023-07-02,2023-10-01
Cash & Equivalents,66,73.7,103.4,125.8,141.4,110.2,61.3,71.5,85.1,83.2,91.2,119,98.6,69.7,81.7,82.5,70.9,79.9,101.4,126.1,142.5,106.2,108.1,128.5,199.5,231.4,382.8,454.5,673.1,"3,234",695.1,551.8,474.7,284.3,278.8,479.3,638.1,665.2,364.2,508.6
Cash & Cash Equivalents,66,73.7,103.4,125.8,141.4,110.2,61.3,71.5,85.1,83.2,91.2,119,98.6,69.7,81.7,82.5,70.9,79.9,101.4,126.1,142.5,106.2,108.1,128.5,199.5,231.4,382.8,454.5,673.1,"3,234",695.1,551.8,474.7,284.3,278.8,479.3,638.1,665.2,364.2,508.6
Cash Growth,44.10%,50.41%,47.50%,41.83%,114.24%,49.53%,-40.72%,-43.16%,-39.82%,-24.50%,48.78%,66.43%,15.86%,-16.23%,-10.42%,-30.67%,-28.09%,14.63%,24.11%,52.85%,100.99%,32.92%,6.61%,1.90%,40.00%,117.89%,254.12%,253.70%,237.39%,1297.67%,81.58%,21.41%,-29.48%,-91.21%,-59.89%,-13.14%,34.42%,133.98%,30.63%,6.11%
Receivables,378,376.9,376.3,374.4,400.7,389.1,395.6,382,373,371.8,367.6,371.5,383.7,444.8,467.1,466,478.1,534.8,539.1,551.8,561.8,564.4,608.8,643.7,660.9,668.1,653,650.2,624.1,639.2,963.3,"1,031","1,084","1,132","1,129","1,080","1,158","1,120","1,165","1,195"
Inventory,294.3,307.6,318.1,310.9,311.8,323.4,330.2,331.5,309.2,322,319,325,314.2,415.6,435.7,431.9,400.2,381.8,380,377.6,364.3,393,390.4,404.4,393.4,401.1,392.3,365.4,347.3,328,867.2,833.2,752.9,801.3,821.5,834.1,890.7,951.7,970.6,962
Other Current Assets,60.8,63,60.7,66.6,87.8,78.6,86.9,81.5,59.5,56.4,52.7,35.7,49.7,55,54.2,60.6,62.7,63.7,57,54.1,45.8,53.9,53.7,61.5,59.9,63.2,55.7,65,78.1,79.2,125.3,118.6,118,119.4,107.8,126.1,130.7,145.4,141.1,155
Total Current Assets,799.1,821.2,858.5,877.7,941.7,901.3,874,866.5,826.8,833.4,830.5,851.2,846.2,985.1,"1,039","1,041","1,012","1,060","1,078","1,110","1,114","1,118","1,161","1,238","1,314","1,364","1,484","1,535","1,723","4,281","2,651","2,535","2,429","2,337","2,337","2,519","2,818","2,882","2,641","2,821"
"Property, Plant & Equipment",357.7,351.1,346.5,335.1,336.5,329.1,331.3,321.5,321.3,322.8,321.9,319.4,340.8,443,446.9,452.1,442.8,441.9,446.1,446.1,442.6,585,580.5,598.4,487.9,598.7,595.8,601.9,489.3,604.1,"1,016",995.8,827.5,954.4,921.3,886.8,769.8,765.3,766,754.1
Goodwill and Intangibles,"1,309","1,294","1,301","1,273","1,428","1,399","1,432","1,403","1,384","1,392","1,433","1,421","1,428","2,074","2,109","2,157","2,176","2,193","2,128","2,113","2,080","2,274","2,268","2,448","2,481","2,466","2,471","2,500","2,560","2,537","10,282","10,605","10,728","10,660","10,513","10,140","10,314","10,331","10,294","10,187"
Other Long-Term Assets,285.6,294,300,307.6,155.8,164.2,169.6,180.1,185.5,189.8,195.5,201.9,159.3,171.2,185.3,197.3,216.1,224.7,231.8,244.2,172.8,185.1,190.8,195.4,296.9,157,188.1,199.9,313.2,196.5,274.2,312.1,445.1,299.5,275.4,280.2,452.7,450.7,456.1,454
Total Long-Term Assets,"1,952","1,939","1,948","1,915","1,921","1,892","1,933","1,905","1,890","1,905","1,950","1,943","1,928","2,688","2,741","2,807","2,835","2,860","2,805","2,804","2,695","3,044","3,039","3,242","3,266","3,221","3,254","3,302","3,362","3,338","11,572","11,913","12,001","11,914","11,710","11,307","11,536","11,547","11,516","11,395"
Total Assets,"2,751","2,760","2,806","2,793","2,862","2,793","2,807","2,771","2,717","2,738","2,781","2,794","2,774","3,673","3,780","3,848","3,846","3,920","3,883","3,913","3,809","4,162","4,200","4,480","4,580","4,585","4,738","4,837","5,085","7,618","14,223","14,448","14,430","14,251","14,048","13,826","14,354","14,429","14,156","14,216"
Accounts Payable,147.5,152.3,149.7,147.9,162.5,152.1,145.5,151.7,136.5,134.2,134,142.3,138.8,182.1,197.4,186,191.7,198,213,205.4,227.8,227.3,221.7,244.9,271.1,263.4,245,216.6,229.1,249.9,399.6,427.6,469.5,496.1,483,499.5,505.7,495,459.4,454.9
