,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Revenue,"9,060","8,979","9,183","10,221","10,770","10,992","11,953","20,370","23,109","22,258"
Revenue Growth (YoY),5.10%,-0.89%,2.27%,11.30%,5.37%,2.06%,8.74%,70.42%,13.45%,-3.68%
Gross Profit,"9,060","8,979","9,183","10,221","10,770","10,992","11,953","20,370","23,109","22,258"
"Selling, General & Admin","4,174","4,001","4,307","4,917","5,473","5,538","6,190","11,059","11,645","11,452"
Other Operating Expenses,"1,603","1,729","1,787","1,805","1,579","1,394","1,744","3,838","3,471","3,137"
Operating Expenses,"5,777","5,730","6,094","6,722","7,052","6,932","7,934","14,897","15,116","14,589"
Operating Income,"3,283","3,249","3,089","3,499","3,718","4,060","4,019","5,473","7,993","7,669"
Other Expense / Income,50,197,211,15,413,20,13,10,-3,7
Pretax Income,"3,233","3,052","2,878","3,484","3,305","4,040","4,006","5,463","7,996","7,662"
Income Tax,"1,553",921,794,"1,058",911,803,782,981,"1,556","1,402"
Net Income,"1,680","2,131","2,084","2,426","2,394","3,237","3,224","4,482","6,440","6,260"
Preferred Dividends,117,148,148,167,174,174,196,298,407,333
Net Income Common,"1,563","1,983","1,936","2,259","2,220","3,063","3,028","4,184","6,033","5,927"
Net Income Growth,-18.42%,26.87%,-2.37%,16.68%,-1.73%,37.97%,-1.14%,38.18%,44.19%,-1.76%
Shares Outstanding (Basic),703,718,748,805,799,773,805,"1,347","1,337","1,328"
Shares Outstanding (Diluted),714,728,758,815,811,783,815,"1,358","1,349","1,338"
Shares Change,0.77%,1.96%,4.04%,7.54%,-0.48%,-3.39%,4.05%,66.62%,-0.66%,-0.81%
EPS (Basic),2.22,2.76,2.59,2.81,2.78,3.96,3.76,3.11,4.51,4.46
EPS (Diluted),2.19,2.72,2.56,2.77,2.74,3.91,3.71,3.08,4.47,4.43
EPS Growth,-18.89%,24.20%,-5.88%,8.20%,-1.08%,42.70%,-5.12%,-16.98%,45.13%,-0.89%
Free Cash Flow,"5,308","3,210","3,131","3,115","4,635","3,986","1,296","6,622","7,450","10,517"
Free Cash Flow Per Share,7.55,4.47,4.19,3.87,5.80,5.16,1.61,4.92,5.57,7.92
Dividend Per Share,1.120,0.950,1.050,1.150,1.260,1.560,1.710,1.800,1.860,2.000
Dividend Growth,47.37%,-15.18%,10.53%,9.52%,9.57%,23.81%,9.62%,5.26%,3.33%,7.53%
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,36.24%,36.18%,33.64%,34.23%,34.52%,36.94%,33.62%,26.87%,34.59%,34.46%
Profit Margin,17.25%,22.08%,21.08%,22.10%,20.61%,27.87%,25.33%,20.54%,26.11%,26.63%
Free Cash Flow Margin,58.59%,35.75%,34.10%,30.48%,43.04%,36.26%,10.84%,32.51%,32.24%,47.25%
Effective Tax Rate,48.04%,30.18%,27.59%,30.37%,27.56%,19.88%,19.52%,17.96%,19.46%,18.30%
EBITDA,"3,654","3,476","3,339","4,039","3,855","4,595","4,636","7,071","9,380","9,028"
EBITDA Margin,40.33%,38.71%,36.36%,39.52%,35.79%,41.80%,38.79%,34.71%,40.59%,40.56%
Depreciation & Amortization,421,424,461,555,550,555,630,"1,608","1,384","1,366"
EBIT,"3,233","3,052","2,878","3,484","3,305","4,040","4,006","5,463","7,996","7,662"
EBIT Margin,35.68%,33.99%,31.34%,34.09%,30.69%,36.75%,33.51%,26.82%,34.60%,34.42%
