,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"26,308","28,012","29,497","38,153","39,225","33,383","43,158","64,615","78,158","57,091","48,145"
Market Cap Growth,29.17%,6.48%,5.30%,29.34%,2.81%,-14.89%,29.28%,49.72%,20.96%,-26.95%,-
Enterprise Value,"49,500","52,499","52,845","57,100","64,728","58,426","83,650","91,436","99,068","102,295","83,030"
PE Ratio,16.83,14.13,15.24,16.89,17.67,10.90,14.25,15.44,12.96,9.63,9.07
PS Ratio,2.90,3.12,3.21,3.73,3.64,3.04,3.61,3.17,3.38,2.57,2.20
PB Ratio,1.15,1.15,1.08,1.27,1.32,1.11,0.65,0.91,1.13,0.94,0.78
P/FCF Ratio,4.96,8.73,9.42,12.25,8.46,8.38,33.30,9.76,10.49,5.43,5.22
P/OCF Ratio,4.96,8.73,9.42,12.25,8.46,7.68,28.39,8.69,9.90,5.15,4.92
EV/Sales Ratio,5.46,5.85,5.75,5.59,6.01,5.32,7.00,4.49,4.29,4.60,3.79
EV/EBITDA Ratio,13.55,15.10,15.83,14.14,16.79,12.72,18.04,12.93,10.56,11.33,10.09
EV/EBIT Ratio,15.31,17.20,18.36,16.39,19.58,14.46,20.88,16.74,12.39,13.35,11.96
EV/FCF Ratio,9.33,16.35,16.88,18.33,13.97,14.66,64.54,13.81,13.30,9.73,9.00
Debt / Equity Ratio,1.12,1.11,1.00,0.78,0.96,0.96,0.89,0.64,0.59,1.10,1.04
Debt / EBITDA Ratio,7.01,7.78,8.19,5.79,7.42,6.29,12.85,6.46,4.39,7.38,7.87
Debt / FCF Ratio,4.83,8.42,8.74,7.50,6.17,7.25,45.95,6.90,5.53,6.33,7.02
Asset Turnover,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04
Return on Equity (ROE),7.10%,8.20%,7.40%,7.70%,7.40%,10.20%,7.50%,6.10%,8.80%,9.50%,8.60%
Return on Assets (ROA),0.90%,1.10%,1.00%,1.00%,1.00%,1.40%,1.00%,0.80%,1.10%,1.10%,1.00%
Return on Capital (ROIC),3.52%,4.41%,4.09%,4.57%,4.62%,5.51%,2.56%,3.85%,5.83%,4.93%,4.54%
Earnings Yield,5.94%,7.08%,6.56%,5.92%,5.66%,9.18%,7.02%,6.48%,7.72%,10.38%,11.06%
FCF Yield,20.18%,11.46%,10.61%,8.16%,11.82%,11.94%,3.00%,10.25%,9.53%,18.42%,19.16%
Dividend Yield,3.00%,2.40%,2.80%,2.40%,2.50%,3.60%,3.00%,3.80%,3.20%,4.60%,5.76%
Payout Ratio,50.50%,34.40%,40.50%,40.90%,45.30%,39.40%,45.50%,57.90%,41.20%,44.80%,52.26%
Buyback Yield / Dilution,-0.77%,-1.96%,-4.04%,-7.54%,0.48%,3.39%,-4.05%,-66.62%,0.66%,0.81%,-0.29%
Total Shareholder Return,2.23%,0.44%,-1.24%,-5.14%,2.98%,6.99%,-1.05%,-62.82%,3.86%,5.41%,5.47%
