,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Current
Market Capitalization,"40,794","45,426","47,697","48,410","49,617","60,301","71,036","76,888","85,148","94,624","111,734"
Market Cap Growth,23.49%,11.35%,5.00%,1.49%,2.49%,21.53%,17.80%,8.24%,10.74%,11.13%,-
Enterprise Value,"39,624","44,274","46,864","47,165","48,583","59,504","79,284","81,922","91,429","101,891","119,963"
PE Ratio,19.09,20.51,20.94,21.06,19.02,19.71,21.71,854.32,25.94,27.05,27.77
PS Ratio,1.49,1.56,1.54,1.46,1.38,1.55,1.70,2.39,1.75,1.90,2.14
PB Ratio,9.64,10.65,11.07,10.73,9.64,11.94,11.94,13.18,14.18,14.87,16.35
P/FCF Ratio,24.67,21.66,23.07,18.60,25.21,20.35,24.98,19.25,42.32,36.02,24.06
P/OCF Ratio,15.69,15.10,16.13,13.35,16.40,14.75,17.47,16.85,27.85,23.17,17.79
EV/Sales Ratio,1.44,1.52,1.51,1.42,1.35,1.53,1.90,2.55,1.88,2.04,2.29
EV/EBITDA Ratio,10.16,10.60,10.84,10.66,10.53,11.90,15.01,71.80,16.99,18.43,19.14
EV/EBIT Ratio,11.83,12.33,12.65,12.52,12.49,14.23,17.95,303.42,20.26,21.95,22.53
EV/FCF Ratio,23.96,21.11,22.67,18.13,24.69,20.08,27.88,20.51,45.44,38.79,25.83
Debt / Equity Ratio,0.30,0.38,0.37,0.49,0.43,0.44,1.93,2.66,2.08,2.00,1.83
Debt / EBITDA Ratio,0.33,0.39,0.37,0.50,0.48,0.45,2.17,13.59,2.32,2.30,2.00
Debt / FCF Ratio,0.77,0.77,0.78,0.86,1.13,0.75,4.03,3.88,6.22,4.85,2.70
Quick Ratio,0.75,0.76,0.61,0.78,0.70,0.61,0.50,1.01,0.64,0.59,0.42
Current Ratio,1.73,1.67,1.54,1.63,1.66,1.53,1.24,1.46,1.27,1.21,1.19
Asset Turnover,2.70,2.65,2.71,2.70,2.68,2.71,1.78,1.12,1.65,1.79,1.80
Interest Coverage,107.80,90.22,79.84,86.52,123.09,472.02,440.48,1.49,39.24,773.67,-
Return on Equity (ROE),53.50%,51.50%,52.90%,51.60%,55.20%,58.90%,59.70%,1.70%,52.50%,60.80%,62.70%
Return on Assets (ROA),21.00%,20.20%,19.90%,18.70%,19.40%,21.30%,14.00%,0.30%,11.20%,12.50%,14.10%
Return on Capital (ROIC),39.20%,38.22%,38.95%,34.98%,35.63%,42.11%,18.83%,2.76%,19.18%,19.19%,20.69%
Earnings Yield,5.24%,4.88%,4.78%,4.75%,5.26%,5.07%,4.61%,0.12%,3.86%,3.70%,3.68%
FCF Yield,4.05%,4.62%,4.33%,5.38%,3.97%,4.91%,4.00%,5.19%,2.36%,2.78%,4.16%
Dividend Yield,1.00%,1.00%,1.10%,1.30%,1.50%,1.50%,1.50%,0.40%,1.50%,1.40%,1.36%
Payout Ratio,18.30%,20.90%,23.80%,28.30%,29.20%,30.00%,32.70%,287.50%,38.00%,38.20%,37.68%
Buyback Yield / Dilution,2.83%,3.14%,2.88%,2.75%,2.76%,2.55%,2.60%,0.94%,-0.08%,3.13%,1.19%
Total Shareholder Return,3.83%,4.14%,3.98%,4.05%,4.26%,4.05%,4.10%,1.34%,1.42%,4.52%,2.55%
