,2014-02-01,2014-05-03,2014-08-02,2014-11-01,2015-01-31,2015-05-02,2015-08-01,2015-10-31,2016-01-30,2016-04-30,2016-07-30,2016-10-29,2017-01-28,2017-04-29,2017-07-29,2017-10-28,2018-02-03,2018-05-05,2018-08-04,2018-11-03,2019-02-02,2019-05-04,2019-08-03,2019-11-02,2020-02-01,2020-05-02,2020-08-01,2020-10-31,2021-01-30,2021-05-01,2021-07-31,2021-10-30,2022-01-29,2022-04-30,2022-07-30,2022-10-29,2023-01-28,2023-04-29,2023-07-29,2023-10-28
Cash & Equivalents,"2,150","2,059","2,183","2,154","2,494","2,260","1,911","1,723","2,095","1,944","1,804","2,376","2,930","2,669","2,449","2,364","2,758","2,681","2,873","2,712","3,030","2,235","2,186","2,060","3,217","4,288","6,620","10,582","10,470","8,775","7,106","6,792","6,227","4,295","3,531","3,365","5,477","5,025","4,550","4,290"
Short-Term Investments,294.7,259.89,285,277.23,282.62,328.83,327.51,399.71,352.31,403.7,421.15,450.8,543.24,457.09,502.76,511.62,506.17,435.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash & Cash Equivalents,"2,444","2,319","2,468","2,431","2,776","2,589","2,238","2,123","2,448","2,348","2,225","2,826","3,473","3,127","2,952","2,876","3,265","3,117","2,873","2,712","3,030","2,235","2,186","2,060","3,217","4,288","6,620","10,582","10,470","8,775","7,106","6,792","6,227","4,295","3,531","3,365","5,477","5,025","4,550","4,290"
Cash Growth,19.37%,4.10%,18.10%,7.46%,13.58%,11.63%,-9.32%,-12.66%,-11.84%,-9.31%,-0.60%,33.13%,41.89%,33.17%,32.69%,1.75%,-6.00%,-0.31%,-2.69%,-5.71%,-7.18%,-28.29%,-23.89%,-24.03%,6.16%,91.84%,202.80%,413.65%,225.47%,104.66%,7.33%,-35.82%,-40.52%,-51.06%,-50.31%,-50.45%,-12.04%,17.00%,28.86%,27.49%
Receivables,210.09,255.78,242.55,260.94,213.82,263.47,260.95,273.86,238.07,281.63,288.78,306.43,258.83,317.22,305.4,345.87,327.17,368.31,356.18,419.79,346.3,393.28,377.06,442.88,386.26,172.46,444.23,463.73,461.14,621.18,615.63,615.12,518,576,556,571,563,587,548,560
Inventory,"2,966","3,208","3,388","3,959","3,218","3,532","3,750","4,442","3,695","3,905","3,871","4,384","3,645","3,736","3,864","4,726","4,187","4,370","4,499","5,543","4,579","5,057","5,087","6,275","4,873","4,946","3,744","4,998","4,337","5,115","5,087","6,633","5,962","6,990","7,083","8,329","5,819","6,441","6,585","8,285"
Other Current Assets,446.97,452.13,494.7,504.18,369.3,340.66,419.78,388.39,391.59,343.22,426.49,425.4,373.89,368.58,445.86,442.46,706.68,567.06,712.55,642.04,513.66,381.68,618.12,596.78,415.02,890.23,709.25,610.68,471.24,504.74,580.75,536.07,552,619,665,724,597,542,655,671
Total Current Assets,"6,068","6,236","6,594","7,155","6,577","6,725","6,669","7,227","6,773","6,878","6,811","7,942","7,751","7,549","7,568","8,390","8,486","8,422","8,440","9,317","8,469","8,067","8,269","9,375","8,891","10,296","11,518","16,654","15,739","15,016","13,389","14,576","13,259","12,480","11,835","12,989","12,456","12,595","12,338","13,806"
"Property, Plant & Equipment","3,595","3,646","3,776","3,850","3,868","3,937","3,996","4,067","4,138","4,230","4,263","4,319","4,533","4,601","4,745","4,858","5,006","5,026","5,100","5,166","5,255","13,829","13,986","14,320","14,385","14,276","14,164","14,033","14,026","14,189","14,291","14,309","14,125","14,356","14,377","14,559","14,869","15,076","15,572","15,551"
Goodwill and Intangibles,312.69,312.07,311.44,310.74,309.87,309.31,308.54,342.06,193.91,196.51,196.05,196.01,195.87,195.59,197.52,196.37,100.07,98.61,98.11,97.35,97.55,96.69,95.94,96.31,95.55,94.47,97.13,96.73,99,99.32,97.97,98.6,97,97,97,95,97,95,95,94
Other Long-Term Assets,225.84,236.74,240.75,276.88,233.07,235.28,227.39,223.17,386.39,400.81,400.55,409.66,404.27,418.35,425.62,433.01,466.17,460.14,472.89,445.01,504.05,496.2,504.26,497.66,773.46,748.93,789.06,781.39,949.13,996.61,"1,006","1,087",980,777,782,785,927,915,917,900
Total Long-Term Assets,"4,133","4,194","4,328","4,437","4,411","4,481","4,532","4,632","4,718","4,827","4,860","4,925","5,133","5,215","5,368","5,488","5,572","5,585","5,671","5,708","5,857","14,422","14,586","14,914","15,254","15,119","15,050","14,912","15,074","15,285","15,394","15,495","15,202","15,230","15,256","15,439","15,893","16,086","16,584","16,545"
Total Assets,"10,201","10,430","10,922","11,592","10,989","11,206","11,201","11,859","11,490","11,705","11,671","12,867","12,884","12,763","12,936","13,878","14,058","14,007","14,111","15,025","14,326","22,489","22,855","24,289","24,145","25,415","26,568","31,566","30,814","30,301","28,783","30,071","28,461","27,710","27,091","28,428","28,349","28,681","28,922","30,351"
Accounts Payable,"1,771","1,956","2,148","2,554","2,008","2,153","2,259","2,697","2,203","2,137","2,258","2,687","2,231","2,175","2,347","2,986","2,488","2,509","2,683","3,341","2,644","2,578","2,608","3,447","2,673","1,071","2,422","6,143","4,823","4,433","4,413","5,443","4,465","4,371","4,085","4,993","3,794","4,304","4,438","5,425"
Current Debt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,343","1,354","1,412","1,411","1,399","2,340","2,400","2,427","1,651","1,613","1,606","1,577","1,576","2,072","2,074","2,110","2,109","1,618","1,682"
Other Current Liabilities,"1,747","1,749","1,676","1,835","1,922","1,983","1,902","2,033","2,199","2,160","2,056","2,208","2,527","2,431","2,310","2,482","2,637","2,468","2,455","2,673","2,887","2,659","2,639","2,827","3,066","2,199","2,885","3,275","3,553","3,823","4,016","4,279","4,426","4,072","3,990","4,167","4,401","4,121","4,261","4,533"
