,2014-02-01,2014-05-03,2014-08-02,2014-11-01,2015-01-31,2015-05-02,2015-08-01,2015-10-31,2016-01-30,2016-04-30,2016-07-30,2016-10-29,2017-01-28,2017-04-29,2017-07-29,2017-10-28,2018-02-03,2018-05-05,2018-08-04,2018-11-03,2019-02-02,2019-05-04,2019-08-03,2019-11-02,2020-02-01,2020-05-02,2020-08-01,2020-10-31,2021-01-30,2021-05-01,2021-07-31,2021-10-30,2022-01-29,2022-04-30,2022-07-30,2022-10-29,2023-01-28,2023-04-29,2023-07-29,2023-10-28
Net Income,582.29,454.32,517.62,594.96,648.23,474.6,549.34,587.26,666.47,508.35,562.17,549.79,677.93,536.28,552.96,641.44,877.28,716.38,739.63,762.25,841.54,700.18,758.96,828.26,984.79,-887.49,-214.22,866.66,325.05,533.93,785.68,"1,023",940.39,587,810,"1,063","1,038",891,989,"1,191"
Depreciation & Amortization,141.54,144.16,147.5,146.51,150.81,148.54,149.92,155.25,162.99,157.01,167.75,167.63,166.4,172.49,175.65,184.29,193.53,192.3,204.02,204.91,218.43,212.2,215.63,219.56,219.91,219.46,220.07,218.97,212.5,215.38,215.18,217.05,220.39,220,218,218,230.92,232,235,245
Share-Based Compensation,-2.03,6.95,14.02,-13.3,-14.72,-7.28,17.07,6.98,12.66,-12.93,12.98,17,14.2,24.05,25.46,27.64,24.21,24.03,25.91,27.41,26.2,25.73,29.67,31.19,38.37,-11.53,39.18,31.26,0.09,50.54,63.59,42.45,32.43,27,31,37,27.44,34,36,44
Other Operating Activities,245.29,-122.47,-73.72,9,398.51,-168.32,-235.28,-21.5,458.24,-207.19,-4.56,194.26,656.07,-284.38,-99.45,-26.99,1.18,-207.82,-133.78,-77.49,524.53,-788.87,-254.26,-104.72,949.94,"-2,480.92","3,312","2,963",-252.41,"-1,232.57",315.16,-282.45,-83.14,"-1,468",-419,-265,"1,728",-412,81,-309
Operating Cash Flow,967.09,482.95,605.42,737.17,"1,183",447.54,481.04,727.98,"1,300",445.23,738.35,928.68,"1,515",448.43,654.61,826.38,"1,096",724.89,835.78,917.09,"1,611",149.24,750.01,974.28,"2,193","-3,160.48","3,357","4,080",285.24,-432.73,"1,380","1,000","1,110",-634,640,"1,053","3,025",745,"1,341","1,171"
Operating Cash Flow Growth,-0.89%,72.02%,14.12%,-10.33%,22.31%,-7.33%,-20.54%,-1.25%,9.94%,-0.52%,53.49%,27.57%,16.48%,0.72%,-11.34%,-11.02%,-27.62%,61.65%,27.68%,10.98%,46.93%,-79.41%,-10.26%,6.24%,36.15%,-,347.63%,318.77%,-86.99%,-,-58.91%,-75.49%,289.17%,-,-53.61%,5.29%,172.48%,-,109.53%,11.21%
Capital Expenditures,-187.4,-193.36,-231.75,-280.78,-205.62,-201.23,-203.64,-245.79,-238.71,-266.24,-242.2,-258.76,-257.55,-258.52,-248.35,-320.67,-230.09,-264.94,-308.96,-299.06,-252.18,-316.91,-261.11,-414.69,-230.4,-210.53,-99.39,-123.69,-134.4,-225.29,-219.65,-270.6,-329.46,-314,-379,-407,-357.25,-361,-459,-460
Acquisitions,2.65,0,0,0,0,0,0,-57.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-230.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Change in Investments,-73.58,29.1,-27.35,-2.88,-41.99,-41.24,-24.72,-75.11,24.44,-20.58,-36.24,-44.94,-86.05,56.76,-2.71,-25.9,16.74,44.45,431.74,0.9,-2.16,-9.8,0.18,-2.84,-3.66,-10.58,1.67,-1.67,-0.43,0.39,1.8,-2.27,-0.92,-10,0,0,-2.51,-1,2,-2
Other Investing Activities,-2.65,-,-,-,-,-,-,-,-,-2.32,-,-,-,-,-,-,-,-,26.65,0,-0,-,7.42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
