,2014-03-29,2014-06-28,2014-09-27,2014-12-27,2015-03-28,2015-06-27,2015-09-26,2015-12-26,2016-03-26,2016-07-02,2016-10-01,2016-12-31,2017-04-01,2017-07-01,2017-09-30,2017-12-30,2018-03-31,2018-06-30,2018-09-29,2018-12-29,2019-03-30,2019-06-29,2019-09-28,2019-12-28,2020-03-28,2020-06-27,2020-09-26,2020-12-26,2021-03-27,2021-07-03,2021-10-02,2022-01-01,2022-04-02,2022-07-02,2022-10-01,2022-12-31,2023-04-01,2023-07-01,2023-09-30,2023-12-30,Current
Market Capitalization,"13,787","9,451","9,977","10,230","11,395","9,979","7,878","9,061","10,741","11,324","10,198","9,818","11,598","13,309","11,383","12,578","14,988","13,444","14,480","9,798","9,421","9,206","7,455","7,417","3,840","3,465","4,519","8,558","11,614","11,896","10,629","11,171","9,533","7,761","6,858","9,176","10,177","9,921","6,539","8,436","10,530"
Market Cap Growth,-1.77%,-41.09%,-34.75%,-35.18%,-17.36%,5.60%,-21.04%,-11.43%,-5.73%,13.47%,29.45%,8.36%,7.97%,17.52%,11.61%,28.11%,29.23%,1.02%,27.21%,-22.10%,-37.14%,-31.52%,-48.51%,-24.30%,-59.25%,-62.36%,-39.38%,15.38%,202.47%,243.32%,135.20%,30.53%,-17.92%,-34.76%,-35.48%,-17.86%,6.76%,27.84%,-4.65%,-8.06%,-
Enterprise Value,"13,223","8,723","9,240","9,185","10,270","9,344","7,493","8,611","10,342","10,881","9,256","8,574","10,298","11,805","12,400","13,174","15,550","13,795","15,018","9,905","9,686","9,575","10,558","10,079","6,791","6,527","7,378","10,715","13,475","13,316","12,350","12,835","11,712","10,069","9,535","11,633","12,819","12,471","9,147","10,314","12,408"
PE Ratio,14.87,12.10,14.62,18.00,24.46,24.80,20.75,24.74,27.49,24.59,21.18,19.21,22.27,22.52,24.97,39.38,44.41,33.82,26.94,13.44,13.34,14.31,13.78,12.68,-18.34,-5.31,-10.26,-19.99,34.10,14.26,12.82,13.36,10.99,9.06,8.32,10.97,11.30,10.60,6.99,9.09,11.59
PS Ratio,2.82,1.97,2.13,2.28,2.64,2.38,1.88,2.14,2.47,2.52,2.27,2.16,2.57,2.97,2.40,2.42,2.71,2.29,2.42,1.64,1.57,1.53,1.24,1.23,0.67,0.70,0.95,1.84,2.40,2.07,1.76,1.72,1.43,1.16,1.02,1.39,1.53,1.49,0.98,1.25,1.57
PB Ratio,5.77,3.90,4.09,4.06,4.49,4.01,3.19,3.53,4.09,4.22,3.74,3.49,4.01,4.43,3.87,4.26,4.78,4.14,4.38,2.81,2.67,2.62,2.42,2.23,1.50,1.52,1.79,2.96,3.85,3.65,3.37,3.82,3.76,3.40,3.04,3.97,4.50,4.36,2.71,3.17,3.96
P/FCF Ratio,17.13,12.34,13.37,12.60,12.94,13.52,13.63,24.58,31.17,31.26,32.07,17.53,19.55,19.10,17.52,18.81,23.69,18.41,17.91,10.78,12.58,17.77,14.17,15.62,10.30,17.19,12.71,17.73,14.03,9.66,9.39,10.09,10.92,10.22,11.96,17.77,15.82,12.54,6.27,6.51,8.13
P/OCF Ratio,13.21,9.59,10.39,10.18,10.68,10.65,9.77,13.65,15.44,14.93,14.31,12.64,14.88,15.59,14.44,13.15,16.46,13.48,13.38,8.40,9.29,11.62,9.12,9.83,6.04,8.51,9.20,14.47,12.83,8.99,8.47,8.97,9.58,9.10,10.37,14.17,12.54,10.17,5.36,5.96,7.44
Debt / Equity Ratio,0.09,0.06,0.07,0.01,0.35,0.36,0.36,0.35,0.34,0.33,0.22,0.21,0.20,0.53,0.91,0.91,0.51,0.49,0.48,0.46,0.45,0.46,1.26,1.15,1.51,1.97,1.73,1.32,1.17,1.05,1.07,1.13,1.28,1.43,1.43,1.43,1.46,1.45,1.34,3.51,3.51
Quick Ratio,1.23,1.31,1.37,1.81,3.21,2.09,2.03,2.33,2.11,1.89,2.55,2.94,3.29,4.45,1.14,1.41,1.55,1.67,1.50,1.72,1.63,1.67,0.91,1.22,0.96,0.93,0.97,1.29,1.47,1.55,1.15,1.05,0.76,0.82,0.63,0.82,0.78,0.74,0.76,5.32,5.32
Current Ratio,2.27,2.28,2.37,2.72,4.19,3.00,3.13,3.27,3.10,2.63,3.59,3.87,4.35,5.24,1.74,1.90,2.66,2.59,2.74,2.62,2.67,2.79,1.82,2.01,1.87,1.47,1.56,1.88,2.24,2.37,1.87,1.66,1.48,1.75,1.83,1.87,1.94,1.84,2.02,6.25,6.25
Interest Coverage,131.35,-,-,-,103.33,6.16,21.10,41.43,20.66,15.78,29.11,54.39,37.78,14.19,-1.06,15.60,9.41,13.00,12.04,28.84,9.98,15.45,3.16,26.36,-51.22,-13.82,10.56,21.02,6.64,15.77,18.19,25.53,11.25,20.20,32.92,53.77,37.59,44.03,18.93,9.19,16.13
