,2014-01-03,2014-04-04,2014-07-04,2014-10-03,2015-01-02,2015-04-03,2015-07-03,2015-10-02,2016-01-01,2016-04-01,2016-07-01,2016-09-30,2016-12-30,2017-03-31,2017-06-30,2017-09-29,2017-12-29,2018-03-30,2018-06-29,2018-09-28,2018-12-28,2019-03-29,2019-06-28,2019-09-27,2020-01-03,2020-04-03,2020-07-03,2020-10-02,2021-01-01,2021-04-02,2021-07-02,2021-10-01,2021-12-31,2022-04-01,2022-07-01,2022-09-30,2022-12-30,2023-03-31,2023-06-30,2023-09-29,Current
Market Capitalization,"8,914","9,973","9,102","7,640","6,970","6,396","6,128","4,213","5,373","6,285","6,166","7,116","7,555","8,076","9,021","9,936","10,232","8,908","8,184","10,863","8,022","10,161","11,351","9,623","10,342","7,120","10,620","12,343","16,704","20,262","20,722","21,171","21,885","18,283","14,506","13,440","12,469","12,945","13,116","13,375","14,998"
Market Cap Growth,20.54%,30.29%,36.91%,-0.57%,-21.81%,-35.86%,-32.67%,-44.86%,-22.91%,-1.74%,0.62%,68.92%,40.62%,28.49%,46.29%,39.62%,35.43%,10.31%,-9.27%,9.33%,-21.60%,14.07%,38.69%,-11.41%,28.92%,-29.93%,-6.44%,28.26%,61.53%,184.60%,95.13%,71.52%,31.02%,-9.77%,-30.00%,-36.52%,-43.02%,-29.20%,-9.58%,-0.49%,-
Enterprise Value,"9,525","10,563","9,693","8,231","7,557","7,010","6,742","4,827","5,987","6,578","6,459","7,409","7,848","8,452","9,397","10,313","10,608","10,704","9,980","12,659","9,818","11,929","13,119","11,392","12,110","8,538","12,039","13,762","18,123","21,351","21,811","22,260","22,974","19,638","15,860","14,794","13,823","14,094","16,179","16,316","17,939"
PE Ratio,40.72,41.96,34.87,34.99,32.55,35.62,48.03,27.55,44.37,58.85,52.89,59.95,57.06,49.73,51.84,51.75,86.42,70.08,56.88,67.72,28.37,35.45,35.80,29.93,20.11,13.85,22.02,25.25,42.84,45.79,39.97,37.96,44.42,37.43,28.03,28.04,27.73,27.65,38.04,40.06,44.66
PS Ratio,3.90,4.27,3.79,3.14,2.91,2.70,2.65,1.84,2.35,2.74,2.66,3.05,3.20,3.38,3.70,3.92,3.87,3.21,2.82,3.59,2.58,3.21,3.51,2.98,3.17,2.19,3.39,3.93,5.31,6.25,6.00,5.94,5.98,4.85,3.86,3.59,3.39,3.60,3.59,3.59,4.03
PB Ratio,4.01,4.23,3.86,3.26,2.98,2.88,2.76,1.90,2.42,2.73,2.67,3.09,3.28,3.35,3.74,4.12,4.24,3.33,3.06,4.06,3.00,3.26,3.64,3.09,3.32,1.98,2.95,3.43,4.64,5.14,5.25,5.37,5.55,4.51,3.58,3.32,3.08,3.05,3.03,3.08,3.45
P/FCF Ratio,25.95,25.52,22.92,19.52,19.79,16.88,17.84,12.99,17.16,19.28,19.33,20.96,18.65,20.50,19.63,22.88,26.51,25.28,21.54,25.77,19.14,20.84,23.93,19.42,20.03,13.63,21.10,22.56,27.15,29.21,26.93,27.83,31.07,29.24,32.26,36.48,35.84,31.44,25.88,23.66,26.53
P/OCF Ratio,21.50,21.65,19.91,17.10,17.12,14.84,15.46,11.29,15.05,17.26,17.69,19.36,17.53,19.20,18.45,21.29,23.81,21.80,18.43,22.08,16.48,18.43,20.85,17.04,17.68,12.00,18.87,20.37,24.86,27.22,25.98,27.02,29.16,27.07,27.71,30.52,31.87,28.97,24.27,22.13,24.82
Debt / Equity Ratio,0.34,0.31,0.31,0.32,0.31,0.33,0.33,0.33,0.33,0.27,0.27,0.27,0.27,0.38,0.38,0.38,0.38,0.74,0.74,0.74,0.74,0.63,0.63,0.63,0.63,0.46,0.46,0.46,0.46,0.36,0.36,0.36,0.36,0.40,0.40,0.40,0.40,0.52,0.76,0.73,0.73
Quick Ratio,0.88,0.92,0.92,0.92,0.92,0.75,0.75,0.75,0.75,1.04,1.04,1.04,1.04,1.30,1.30,1.30,1.30,0.68,0.68,0.68,0.65,0.67,0.67,0.67,0.67,0.65,0.65,0.65,0.65,0.80,0.80,0.80,0.80,0.63,0.63,0.63,0.63,1.09,0.69,0.64,0.64
