,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
reportedCurrency,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
totalAssets,29740000000,28912524000,31872597000,32795000000,34309000000,37250000000,38135000000,45691000000,52148000000,52972000000,55146000000,57834000000,62131000000,66038000000,68513000000,74426000000,82338000000,86833000000,90591000000,93941000000
totalCurrentAssets,8307000000,7677822000,10181952000,10940000000,12103000000,14893000000,15336000000,21744000000,26717000000,24705000000,24693000000,25002000000,27100000000,29050000000,31222000000,35990000000,40917000000,42997000000,43875000000,45026000000
cashAndCashEquivalentsAtCarryingValue,3686000000,2198000000,4955000000,5338000000,6268000000,8080000000,8615000000,14531000000,19384000000,17141000000,16229000000,16065000000,17576000000,17505000000,18324000000,19532000000,16253000000,16048000000,15296000000,15932000000
cashAndShortTermInvestments,3685618000,2198169000,4954740000,5338000000,6268000000,8080000000,8615000000,14531000000,19384000000,17141000000,16229000000,16095000000,17707000000,18013000000,18915000000,21107000000,22185000000,22402000000,23075000000,26077000000
inventory,3113000000,3836850000,3382358000,3581000000,3552000000,4494000000,4018000000,4218000000,4101000000,4132000000,4733000000,5199000000,5757000000,6691000000,8108000000,10327000000,12839000000,14375000000,14356000000,13721000000
currentNetReceivables,949022000,1046945000,1147100000,1128000000,1324000000,1283000000,1495000000,1766000000,1895000000,1900000000,2140000000,1973000000,1924000000,2321000000,2089000000,2198000000,2959000000,2999000000,3447000000,2526000000
totalNonCurrentAssets,13072152000,11767536000,12172124000,15035000000,15251000000,14356000000,14845000000,15478000000,18134000000,17884000000,19781000000,21886000000,25281000000,25534000000,26936000000,28067000000,32209000000,32988000000,35431000000,37524000000
propertyPlantEquipment,11330000000,9850929000,10082458000,10190000000,10396000000,10638000000,11009000000,11848000000,12747000000,13868000000,15665000000,17298000000,18884000000,20027000000,21093000000,21926000000,23548000000,24969000000,26389000000,27744000000
accumulatedDepreciationAmortizationPPE,2699000000,2918587000,3248310000,3528000000,3734000000,4072000000,4430000000,4814000000,5117000000,5389000000,5824000000,6232000000,6731000000,7266000000,7787000000,8321000000,9041000000,9754000000,10482000000,11240000000
