,1997-12-31,1998-03-31,1998-12-31,1999-03-31,1999-06-30,1999-09-30,1999-12-31,2000-03-31,2000-06-30,2000-09-30,2000-12-31,2001-03-31,2001-06-30,2001-09-30,2001-12-31,2002-03-31,2002-06-30,2002-09-30,2002-12-31,2003-03-31,2003-06-30,2003-09-30,2003-12-31,2004-03-31,2004-06-30,2004-09-30,2004-12-31,2005-03-31,2005-06-30,2005-09-30,2005-12-31,2006-03-31,2006-06-30,2006-09-30,2006-12-31,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
reportedDate,1998-03-11,1998-04-27,1999-01-11,1999-04-21,1999-09-10,1999-10-25,2000-01-27,2000-04-27,2000-07-31,2000-10-19,2001-03-30,2001-03-31,2001-06-30,2001-10-26,2002-01-28,2002-05-09,2002-07-25,2002-10-22,2003-01-28,2003-04-29,2003-07-24,2003-10-28,2004-01-29,2004-04-21,2004-07-29,2004-10-26,2005-01-27,2005-04-26,2005-07-26,2005-10-27,2006-01-26,2006-04-27,2006-07-27,2006-10-26,2007-01-25,2007-04-26,2007-07-26,2007-10-25,2008-01-31,2008-04-29,2008-07-31,2008-10-30,2009-01-22,2009-04-30,2009-07-30,2009-10-29,2010-01-28,2010-04-28,2010-07-30,2010-10-28,2011-02-03,2011-04-29,2011-07-28,2011-10-27,2012-01-18,2012-04-26,2012-07-19,2012-10-25,2013-01-17,2013-04-18,2013-07-18,2013-10-17,2014-01-16,2014-04-17,2014-07-16,2014-10-16,2015-01-15,2015-04-16,2015-08-11,2015-10-16,2016-01-14,2016-04-19,2016-07-14,2016-10-13,2017-01-12,2017-04-13,2017-08-14,2017-10-19,2018-01-17,2018-04-19,2018-07-20,2018-10-18,2019-01-21,2019-04-19,2019-07-25,2019-11-08,2020-01-16,2020-04-16,2020-07-16,2020-10-14,2021-01-14,2021-04-15,2021-07-15,2021-10-13,2022-01-28,2022-04-14,2022-07-14,2022-10-13,2023-01-12,2023-04-20,2023-07-20,2023-10-19
reportedEPS,0.04,0.04,0.01,0.04,0.05,0.05,0.06,0.08,0.1,0.13,0.14,0.0532,0.0019,0.01,0.03,0.04,0.05,0.01,0.01,0.02,0.06,0.09,0.1,0.11,0.14,0.16,0.14,0.1,0.11,0.14,0.2,0.19,0.2,0.19,0.16,0.11,0.15,0.17,0.2,0.17,0.18,0.19,0.07,0.01,0.14,0.18,0.19,0.2,0.24,0.28,0.26,0.24,0.24,0.2,0.2,0.22,0.27,0.32,0.28,0.26,0.33,0.34,0.29,0.31,0.38,0.49,0.5,0.48,0.5,0.46,0.43,0.38,0.43,0.59,0.61,0.54,0.43,0.57,0.64,0.59,0.47,0.56,0.63,0.39,0.41,0.62,0.73,0.75,0.78,0.9,0.97,0.96,0.93,1.08,1.15,1.39,1.55,1.79,1.91,1.31,1.14,1.29
estimatedEPS,0.03,0.04,0.02,0.02,0.04,0.05,0.06,0.07,0.08,0.12,0.13,None,None,0.01,0.03,0.04,0.06,0.04,0.02,0.01,0.05,0.08,0.09,0.1,0.12,0.14,0.12,0.1,0.11,0.14,0.19,0.17,0.19,0.19,0.15,0.11,0.14,0.18,0.19,0.16,0.18,0.2,0.07,None,0.13,0.18,0.19,0.19,0.23,0.24,0.26,0.24,0.25,0.2,0.2,0.19,0.27,0.31,0.28,0.25,0.32,0.33,0.27,0.3,0.37,0.48,0.49,0.48,0.47,0.45,0.4,0.38,0.41,0.57,0.59,0.54,0.42,0.57,0.62,0.6,0.47,0.56,0.63,0.38,0.41,0.63,0.73,0.73,0.77,0.77,0.95,0.94,0.93,1.04,1.14,1.33,1.51,1.69,1.76,1.2,1.08,1.17
surprise,0.01,0,-0.01,0.02,0.01,0,0,0.01,0.02,0.01,0.01,None,None,0,0,0,-0.01,-0.03,-0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0,0,0,0.01,0.02,0.01,0,0.01,0,0.01,-0.01,0.01,0.01,0,-0.01,0,None,0.01,0,0,0.01,0.01,0.04,0,0,-0.01,0,0,0.03,0,0.01,0,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0,0.03,0.01,0.03,0,0.02,0.02,0.02,0,0.01,0,0.02,-0.01,0,0,0,0.01,0,-0.01,0,0.02,0.01,0.13,0.02,0.02,0,0.04,0.01,0.06,0.04,0.1,0.15,0.11,0.06,0.12
surprisePercentage,33.3333,0,-50,100,25,0,0,14.2857,25,8.3333,7.6923,None,None,0,0,0,-16.6667,-75,-50,100,20,12.5,11.1111,10,16.6667,14.2857,16.6667,0,0,0,5.2632,11.7647,5.2632,0,6.6667,0,7.1429,-5.5556,5.2632,6.25,0,-5,0,None,7.6923,0,0,5.2632,4.3478,16.6667,0,0,-4,0,0,15.7895,0,3.2258,0,4,3.125,3.0303,7.4074,3.3333,2.7027,2.0833,2.0408,0,6.383,2.2222,7.5,0,4.878,3.5088,3.3898,0,2.381,0,3.2258,-1.6667,0,0,0,2.6316,0,-1.5873,0,2.7397,1.2987,16.8831,2.1053,2.1277,0,3.8462,0.8772,4.5113,2.649,5.9172,8.5227,9.1667,5.5556,10.2564
startPeriod,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31,1998-3-31
endPeriod,1997-12-31,1998-03-31,1998-12-31,1999-03-31,1999-06-30,1999-09-30,1999-12-31,2000-03-31,2000-06-30,2000-09-30,2000-12-31,2001-03-31,2001-06-30,2001-09-30,2001-12-31,2002-03-31,2002-06-30,2002-09-30,2002-12-31,2003-03-31,2003-06-30,2003-09-30,2003-12-31,2004-03-31,2004-06-30,2004-09-30,2004-12-31,2005-03-31,2005-06-30,2005-09-30,2005-12-31,2006-03-31,2006-06-30,2006-09-30,2006-12-31,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
