,2014-03-29,2014-06-28,2014-09-27,2014-12-27,2015-03-28,2015-06-27,2015-10-03,2016-01-02,2016-04-02,2016-07-02,2016-10-01,2016-12-31,2017-04-01,2017-07-01,2017-09-30,2017-12-30,2018-03-31,2018-06-30,2018-09-29,2018-12-29,2019-03-30,2019-06-29,2019-09-28,2019-12-28,2020-03-28,2020-06-27,2020-10-03,2021-01-02,2021-04-03,2021-07-03,2021-10-02,2022-01-01,2022-04-02,2022-07-02,2022-10-01,2022-12-31,2023-04-01,2023-07-01,2023-09-30,2023-12-30
Cash & Equivalents,438,587,438,381,223,471,688,"1,187",254,197,349,307,243,231,318,293,198,170,270,400,360,406,484,497,437,"1,365","1,420","2,406",877,"1,613","2,507","2,956","1,151","1,056","1,031",654,543,699,573,"1,484"
Cash & Cash Equivalents,438,587,438,381,223,471,688,"1,187",254,197,349,307,243,231,318,293,198,170,270,400,360,406,484,497,437,"1,365","1,420","2,406",877,"1,613","2,507","2,956","1,151","1,056","1,031",654,543,699,573,"1,484"
Cash Growth,-42.52%,-37.75%,-61.75%,-53.82%,-49.09%,-19.76%,57.08%,211.55%,13.90%,-58.17%,-49.27%,-74.14%,-4.33%,17.26%,-8.88%,-4.56%,-18.52%,-26.41%,-15.09%,36.52%,81.82%,138.82%,79.26%,24.25%,21.39%,236.21%,193.39%,384.10%,100.69%,18.17%,76.55%,22.86%,31.24%,-34.53%,-58.88%,-77.88%,-52.82%,-33.81%,-44.42%,126.91%
Receivables,"1,548","1,624","1,684","1,777","1,632","1,633","1,620","1,514","1,493","1,599","1,542","1,512","1,589","1,710","1,675","1,600","1,594","1,684","1,723","1,892","1,837","2,452","2,173","2,063","2,248","2,064","1,952","1,900","2,113","2,324","2,400","2,091","2,408","2,518","2,577","2,295","2,433","2,451","2,476","2,263"
Inventory,"2,968","3,061","3,274","3,192","3,262","3,082","2,878","2,818","2,993","2,918","2,732","2,767","2,970","3,248","3,239","3,213","3,328","3,378","3,513","3,777","3,899","4,149","3,929","4,304","4,025","3,915","3,859","3,915","4,128","4,262","4,382","4,454","4,990","5,332","5,514","5,596","5,504","5,391","5,328","5,087"
Other Current Assets,230,241,825,588,551,403,195,158,187,167,265,156,215,"1,099","1,026",887,870,845,182,232,280,426,404,329,389,355,367,323,896,"1,009",533,635,448,397,508,408,412,342,345,382
Total Current Assets,"5,184","5,513","6,221","5,938","5,668","5,589","5,381","5,677","4,927","4,881","4,888","4,742","5,017","6,288","6,258","5,993","5,990","6,077","5,688","6,301","6,376","7,433","6,990","7,193","7,099","7,699","7,598","8,544","8,014","9,208","9,822","10,136","8,997","9,303","9,630","8,953","8,892","8,883","8,722","9,216"
"Property, Plant & Equipment","4,105","3,941","5,130","5,211","5,278","5,312","5,176","5,184","5,166","5,157","5,170","5,206","5,283","5,545","5,568","5,673","5,755","5,925","6,169","7,018","7,085","7,271","7,282","7,384","7,464","7,515","7,596","7,664","7,661","7,725","7,837","8,012","8,193","8,393","8,685","9,120","9,351","9,612","9,634","9,672"
Goodwill and Intangibles,"2,081","2,076","11,982","11,946","11,912","11,892","11,835","11,814","11,795","11,773","11,753","11,733","11,705","15,636","15,567","15,686","15,635","15,903","16,498","18,255","18,241","18,150","17,881","17,837","17,745","17,732","17,673","17,632","17,204","17,141","17,068","17,009","16,945","16,856","16,765","16,763","16,707","16,366","15,976","15,931"
Other Long-Term Assets,516,525,623,663,668,650,577,615,623,599,562,576,591,594,673,694,711,733,754,761,796,811,765,"1,397","1,582","1,612","1,589","1,618","1,595","1,589","1,582","1,667","1,763","1,693","1,741","1,842","1,846","1,900","1,919","1,927"
Total Long-Term Assets,"6,702","6,542","17,735","17,820","17,858","17,854","17,588","17,613","17,584","17,529","17,485","17,515","17,579","21,775","21,808","22,053","22,101","22,561","23,421","26,034","26,122","26,232","25,928","26,618","26,791","26,859","26,858","26,914","26,460","26,455","26,487","26,688","26,901","26,942","27,191","27,725","27,904","27,878","27,529","27,530"
Total Assets,"11,886","12,055","23,956","23,758","23,526","23,443","22,969","23,290","22,511","22,410","22,373","22,257","22,596","28,063","28,066","28,046","28,091","28,638","29,109","32,335","32,498","33,665","32,918","33,811","33,890","34,558","34,456","35,458","34,474","35,663","36,309","36,824","35,898","36,245","36,821","36,678","36,796","36,761","36,251","36,746"
Accounts Payable,"1,429","1,496","1,806","2,147","1,694","1,621","1,662","1,781","1,456","1,466","1,511","1,591","1,466","1,608","1,698","1,748","1,485","1,546","1,694","1,962","1,710","1,958","1,926","1,916","1,742","1,743","1,876","1,997","1,900","1,950","2,225","2,115","2,269","2,306","2,483","2,530","2,387","2,421","2,594","2,623"
Current Debt,52,41,643,596,"1,236","1,205",715,717,79,79,79,66,543,"1,017",906,811,"1,128","1,308","1,911","3,917","1,564","2,125","2,102","1,947","1,142",750,548,566,580,"1,566","1,067","1,090",79,67,459,490,"1,065",457,"1,895","1,308"
Other Current Liabilities,"1,024","1,075","1,348","1,211","1,121","1,202","1,158","1,170","1,075","1,168","1,172","1,315","1,097","1,240","1,428","1,419","1,225","1,258","1,426","1,551","1,340","1,514","1,485","1,673","1,522","1,780","1,810","2,286","2,132","2,668","3,033","2,829","2,309","2,309","2,371","2,094","1,894","2,070","2,010","2,241"
Total Current Liabilities,"2,505","2,612","3,797","3,954","4,051","4,028","3,535","3,668","2,610","2,713","2,762","2,972","3,106","3,865","4,032","3,978","3,838","4,112","5,031","7,430","4,614","5,597","5,513","5,536","4,406","4,273","4,234","4,849","4,612","6,184","6,325","6,034","4,657","4,682","5,313","5,114","5,346","4,948","6,499","6,172"
Long-Term Debt,"1,888","1,784","7,535","6,931","6,438","6,029","5,975","5,988","6,270","6,099","6,200","5,901","5,905","9,807","9,297","8,875","8,872","8,852","7,962","8,075","10,810","10,461","9,830","9,772","10,978","11,279","10,791","10,791","9,784","8,786","8,281","8,274","8,270","8,261","7,862","7,859","7,865","8,863","7,611","8,370"
Other Long-Term Liabilities,"1,029",949,"3,720","3,736","3,667","3,703","3,753","3,857","3,824","3,792","3,787","3,817","3,796","4,254","4,178","3,219","3,225","3,237","3,305","3,571","3,516","3,466","3,481","3,937","3,912","4,002","4,045","4,037","4,008","4,000","3,849","3,974","3,815","3,813","3,835","3,918","4,027","4,040","3,886","3,916"
Total Long-Term Liabilities,"2,917","2,733","11,255","10,667","10,105","9,732","9,728","9,845","10,094","9,891","9,987","9,718","9,701","14,061","13,475","12,094","12,097","12,089","11,267","11,646","14,326","13,927","13,311","13,709","14,890","15,281","14,836","14,828","13,792","12,786","12,130","12,248","12,085","12,074","11,697","11,777","11,892","12,903","11,497","12,286"
Total Liabilities,"5,422","5,345","15,052","14,621","14,156","13,760","13,263","13,513","12,704","12,604","12,749","12,690","12,807","17,926","17,507","16,072","15,935","16,201","16,298","19,076","18,940","19,524","18,824","19,245","19,296","19,554","19,070","19,677","18,404","18,970","18,455","18,282","16,742","16,756","17,010","16,891","17,238","17,851","17,996","18,458"
Total Debt,"1,940","1,825","8,178","7,527","7,674","7,234","6,690","6,705","6,349","6,178","6,279","5,967","6,448","10,824","10,203","9,686","10,000","10,160","9,873","11,992","12,374","12,586","11,932","11,719","12,120","12,029","11,339","11,357","10,364","10,352","9,348","9,364","8,349","8,328","8,321","8,349","8,930","9,320","9,506","9,678"
Debt Growth,-19.70%,-24.18%,239.62%,287.59%,295.57%,296.38%,-18.20%,-10.92%,-17.27%,-14.60%,-6.14%,-11.01%,1.56%,75.20%,62.49%,62.33%,55.09%,-6.13%,-3.23%,23.81%,23.74%,23.88%,20.85%,-2.28%,-2.05%,-4.43%,-4.97%,-3.09%,-14.49%,-13.94%,-17.56%,-17.55%,-19.44%,-19.55%,-10.99%,-10.84%,6.96%,11.91%,14.24%,15.92%
Common Stock,"1,132","1,150","3,289","3,236","3,218","3,233","2,968","2,657","2,299","1,871","1,305",773,724,705,749,665,637,531,489,426,407,381,412,320,287,306,333,341,365,381,393,122,39,-98,-85,-375,-369,-370,-367,-338
Retained Earnings,"5,407","5,640","5,748","6,011","6,285","6,591","6,813","7,203","7,580","8,010","8,348","8,837","9,098","9,464","9,776","11,272","11,479","11,913","12,329","12,719","13,012","13,553","13,655","14,178","14,392","14,769","15,100","15,399","15,716","16,305","17,502","18,453","19,119","19,708","20,084","20,225","19,962","19,378","18,760","18,693"
Comprehensive Income,-103,-96,-147,-124,-148,-157,-90,-98,-88,-90,-45,-60,-51,-52,16,18,20,-18,-15,-18,4,-6,-117,-79,-230,-217,-179,-102,-150,-125,-172,-172,-144,-255,-297,-215,-194,-229,-260,-205
Shareholders' Equity,"6,436","6,694","8,890","9,123","9,355","9,667","9,691","9,762","9,791","9,791","9,608","9,550","9,771","10,117","10,541","11,955","12,136","12,426","12,803","13,127","13,423","13,928","13,950","14,419","14,449","14,858","15,254","15,638","15,931","16,561","17,723","18,403","19,014","19,355","19,702","19,635","19,399","18,779","18,133","18,150"
Net Cash / Debt,"-1,502","-1,238","-7,740","-7,146","-7,451","-6,763","-6,002","-5,518","-6,095","-5,981","-5,930","-5,660","-6,205","-10,593","-9,885","-9,393","-9,802","-9,990","-9,603","-11,592","-12,014","-12,180","-11,448","-11,222","-11,683","-10,664","-9,919","-8,951","-9,487","-8,739","-6,841","-6,408","-7,198","-7,272","-7,290","-7,695","-8,387","-8,621","-8,933","-8,194"
Net Cash Per Share,-4.22,-3.48,-19.80,-17.18,-17.95,-16.34,-14.64,-13.79,-15.51,-15.41,-15.69,-15.17,-16.77,-28.63,-26.93,-25.32,-26.49,-27.07,-26.24,-31.67,-32.83,-33.19,-31.28,-30.58,-32.01,-29.30,-27.40,-24.52,-25.99,-23.88,-18.74,-17.56,-19.77,-20.09,-20.25,-21.49,-23.69,-24.35,-31.45,-23.08
Working Capital,"2,679","2,901","2,424","1,984","1,617","1,561","1,846","2,009","2,317","2,168","2,126","1,770","1,911","2,423","2,226","2,015","2,152","1,965",657,"-1,129","1,762","1,836","1,477","1,657","2,693","3,426","3,364","3,695","3,402","3,024","3,497","4,102","4,340","4,621","4,317","3,839","3,546","3,935","2,223","3,044"
Book Value Per Share,18.76,19.13,23.33,22.47,23.16,23.87,23.93,24.71,25.23,25.63,25.55,26.02,26.77,27.64,28.80,32.66,33.16,34.04,35.37,36.06,36.88,38.37,38.43,39.72,39.80,41.04,42.02,43.08,43.89,45.62,48.82,50.84,52.67,53.91,55.19,55.15,54.80,53.05,51.66,51.27
