,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Cash & Equivalents,897.9,929.8,936.7,"1,705",733.9,779.6,651.5,736.8,612.9,928.8,"1,505","1,715","1,323","1,310","1,259","1,549","1,175",969.5,"1,023",903.4,"1,907",875.6,830.9,"1,279","2,648","2,367","3,190","3,290","2,838","2,912","2,739","2,159","1,348","1,090","1,080","1,221",692.9,663.6,960,"1,095"
Cash & Cash Equivalents,897.9,929.8,936.7,"1,705",733.9,779.6,651.5,736.8,612.9,928.8,"1,505","1,715","1,323","1,310","1,259","1,549","1,175",969.5,"1,023",903.4,"1,907",875.6,830.9,"1,279","2,648","2,367","3,190","3,290","2,838","2,912","2,739","2,159","1,348","1,090","1,080","1,221",692.9,663.6,960,"1,095"
Cash Growth,7.80%,-57.75%,-13.58%,-11.98%,-18.26%,-16.15%,-30.45%,-56.79%,-16.49%,19.14%,130.94%,132.72%,115.78%,41.05%,-16.32%,-9.64%,-11.15%,-26.00%,-18.78%,-41.69%,62.32%,-9.69%,-18.74%,41.53%,38.81%,170.31%,283.93%,157.30%,7.19%,23.05%,-14.15%,-34.37%,-52.49%,-62.57%,-60.56%,-43.47%,-48.61%,-39.13%,-11.13%,-10.26%
Receivables,"2,086","2,449","2,303","2,119","2,190","2,463","2,342","2,151","2,155","2,498","2,361","2,223","2,199","2,597","2,468","2,477","2,516","2,947","2,752","2,679","2,710","3,108","2,969","2,185","2,092","2,316","2,313","2,202","2,159","2,532","2,432","2,429","2,430","2,758","2,867","2,780","2,606","3,200","3,143","2,957"
Inventory,"1,348","1,389","1,419","1,359","1,613","1,635","1,578","1,411","1,613","1,601","1,556","1,386","1,600","1,605","1,661","1,555","1,779","1,733","1,821","1,678","1,984","1,951","1,891","1,279","1,464","1,353","1,229","1,189","1,373","1,386","1,483","1,531","1,872","1,887","1,949","1,994","2,344","2,356","2,192","2,152"
Other Current Assets,554,558.4,511.8,524.8,567.7,651.4,963,311.3,432.2,364.9,293.1,255.8,292.4,343.9,425.6,536.9,601.6,512,486.6,471.6,483.3,417.1,412.7,"4,552",356.6,308.5,241.6,224.4,251.6,294.3,337.5,351.5,380,389.9,402.3,384.8,432.2,455.8,432.6,665.7
Total Current Assets,"4,886","5,327","5,170","5,708","5,105","5,529","5,535","4,609","4,813","5,393","5,715","5,579","5,414","5,855","5,814","6,119","6,072","6,162","6,083","5,732","7,085","6,352","6,103","9,294","6,560","6,345","6,974","6,906","6,622","7,125","6,991","6,471","6,031","6,125","6,299","6,379","6,075","6,675","6,727","6,870"
"Property, Plant & Equipment","1,468","1,473","1,466","1,477","1,564","1,586","1,580","1,575","1,582","1,561","1,549","1,511","1,498","1,510","1,529","1,551","1,611","1,647","1,673","1,731","1,738","1,794","1,779","1,352","1,326","1,315","1,314","1,350","1,328","1,325","1,337","1,399","1,422","1,426","1,432","1,536","1,582","1,655","1,684","1,772"
Goodwill and Intangibles,"9,422","9,384","9,266","9,174","9,766","9,781","9,732","9,656","9,688","9,630","9,604","9,444","9,452","9,530","9,592","9,679","9,875","9,706","9,669","9,594","9,577","11,090","10,887","8,449","8,371","8,348","8,377","8,629","8,568","8,562","8,509","8,810","8,768","8,739","8,611","8,768","8,754","9,136","9,057","9,535"
Other Long-Term Assets,997.3,976.3,963.4,939.9,973.9,991.1,977.9,876.8,869.9,846.8,852.2,863.6,895.7,878.9,787.8,824.3,807.1,863.4,879.8,857.9,"1,381","1,432","1,538","1,397","1,378","1,216","1,275","1,272","1,307","1,358","1,366","1,380","1,417","1,391","1,397","1,399","1,486","1,440","1,436","1,215"
Total Long-Term Assets,"11,888","11,833","11,696","11,591","12,304","12,358","12,289","12,108","12,140","12,038","12,005","11,818","11,846","11,919","11,909","12,054","12,294","12,216","12,222","12,183","12,696","14,316","14,204","11,199","11,076","10,879","10,966","11,251","11,203","11,244","11,211","11,589","11,606","11,556","11,441","11,702","11,823","12,232","12,176","12,522"
Total Assets,"16,774","17,159","16,866","17,299","17,409","17,887","17,824","16,718","16,953","17,431","17,720","17,397","17,260","17,774","17,723","18,173","18,365","18,378","18,305","17,915","19,781","20,668","20,307","20,492","17,636","17,224","17,939","18,157","17,825","18,369","18,202","18,060","17,637","17,681","17,740","18,082","17,897","18,907","18,903","19,392"
Accounts Payable,"1,240","1,479","1,381","1,290","1,356","1,471","1,341","1,249","1,346","1,500","1,392","1,334","1,379","1,599","1,488","1,556","1,666","1,832","1,749","1,705","1,800","1,890","1,759","1,381","1,447","1,368","1,459","1,520","1,609","1,833","1,758","1,787","1,932","2,000","2,061","2,092","1,963","2,177","2,093","2,025"
Current Debt,373.9,915.7,881,482.7,802.3,659.7,837,504.2,758,361.2,361,360.8,361.3,361.3,"1,107","1,107",605.2,599.6,350.6,350.6,374.4,829.2,650.5,650.3,949.7,649.9,775.1,775.6,475.4,475.4,350.4,350.4,350.4,"1,050","1,050","1,048",348.3,550.2,348.3,801.9
Other Current Liabilities,"1,789","1,860","1,869","1,893","1,819","2,327","2,358","1,895","1,826","1,906","1,950","1,896","1,794","1,943","2,094","2,165","2,049","2,321","2,225","2,260","2,314","2,461","2,367","3,207","1,844","1,811","1,936","2,043","2,090","2,204","2,205","2,615","2,312","2,580","2,434","2,547","2,521","2,866","2,773","3,226"
Total Current Liabilities,"3,403","4,254","4,130","3,666","3,978","4,458","4,536","3,648","3,930","3,767","3,703","3,590","3,534","3,904","4,689","4,828","4,321","4,753","4,324","4,316","4,489","5,180","4,776","5,239","4,241","3,829","4,170","4,339","4,175","4,513","4,314","4,752","4,594","5,630","5,546","5,687","4,831","5,593","5,214","6,054"
Long-Term Debt,"3,152","2,647","2,647","3,742","3,742","3,735","3,735","3,714","3,715","3,725","3,709","3,709","3,711","3,705","2,956","2,957","3,746","3,739","3,740","3,741","5,227","4,921","4,922","4,923","4,625","4,618","4,494","4,497","4,496","4,490","4,491","4,492","4,493","3,787","3,788","3,788","4,482","4,477","4,476","3,978"
Other Long-Term Liabilities,"3,869","3,819","3,755","3,845","3,903","3,807","3,757","3,476","3,455","3,461","3,477","3,379","3,360","3,372","3,234","3,181","3,159","3,063","2,898","2,794","3,143","3,394","3,330","3,018","2,980","2,817","2,894","2,894","2,841","2,894","2,910","2,543","2,533","2,525","2,538","2,501","2,530","2,560","2,512","2,344"
Total Long-Term Liabilities,"7,022","6,465","6,402","7,587","7,645","7,542","7,491","7,190","7,170","7,185","7,185","7,089","7,072","7,076","6,190","6,138","6,904","6,802","6,637","6,534","8,370","8,315","8,252","7,941","7,605","7,435","7,388","7,391","7,337","7,384","7,401","7,034","7,026","6,311","6,326","6,290","7,012","7,036","6,989","6,321"
Total Liabilities,"10,424","10,719","10,532","11,253","11,623","11,999","12,027","10,838","11,100","10,953","10,889","10,679","10,606","10,980","10,878","10,966","11,225","11,554","10,961","10,850","12,858","13,495","13,028","13,180","11,846","11,264","11,558","11,730","11,512","11,897","11,715","11,787","11,620","11,942","11,871","11,976","11,843","12,629","12,203","12,375"
Total Debt,"3,526","3,562","3,528","4,224","4,544","4,394","4,572","4,218","4,473","4,086","4,070","4,070","4,072","4,066","4,063","4,064","4,351","4,339","4,090","4,091","5,601","5,750","5,572","5,573","5,575","5,268","5,269","5,272","4,972","4,965","4,841","4,842","4,843","4,837","4,837","4,836","4,830","5,027","4,825","4,780"
Debt Growth,8.96%,-25.51%,0.01%,19.97%,28.86%,23.36%,29.60%,-0.16%,-1.57%,-7.02%,-10.97%,-3.50%,-8.95%,-0.49%,-0.18%,-0.15%,6.83%,6.71%,0.68%,0.67%,28.74%,32.53%,36.23%,36.22%,-0.47%,-8.38%,-5.44%,-5.40%,-10.81%,-5.75%,-8.13%,-8.16%,-2.59%,-2.59%,-0.08%,-0.12%,-0.27%,3.93%,-0.26%,-1.17%
Common Stock,271.2,312.8,336.6,160.9,203.2,243.1,32.1,39.7,-195.6,-163.5,-128.7,-84.5,-293.8,-587.9,-903.2,-984.1,"-1,197","-1,418.2","-1,396.9","-1,453","-1,453.9","-1,427.5","-1,455.3","-1,456.6","-1,429.3","-1,409.1","-1,361.6","-1,456.1","-1,455.8","-1,456.7","-1,442.2","-1,459.7","-1,461.1","-1,451.1","-1,464.6","-1,466.1","-1,466.9","-1,443.2","-1,467.1","-1,467.7"
Retained Earnings,"6,217","6,267","6,351","6,541","6,516","6,518","6,742","6,898","6,967","7,632","7,926","8,019","8,048","8,303","8,556","8,903","8,904","9,110","9,625","9,440","9,298","9,497","9,763","9,731","8,128","8,222","8,489","8,495","8,452","8,566","8,627","8,353","8,099","8,004","8,320","8,321","8,202","8,445","8,971","9,134"
Comprehensive Income,-202.5,-197.4,-413.7,-714.3,-994.6,-933.1,"-1,035.4","-1,120.9",-978.9,"-1,053.9","-1,033.4","-1,290.5","-1,169.9",-993.7,-876.9,-778.8,-626.7,-904.6,-919.8,-964.1,-958.6,-939.2,"-1,069.8","-1,006.6",-926,-876.1,-761,-631.5,-699.8,-652.2,-709.2,-637.6,-639,-829.1,-997.5,-766.2,-699.3,-743.4,-822,-670.8
Shareholders' Equity,"6,285","6,382","6,274","5,987","5,724","5,828","5,738","5,817","5,793","6,414","6,764","6,644","6,584","6,722","6,776","7,140","7,081","6,787","7,308","7,023","6,886","7,131","7,238","7,268","5,773","5,937","6,367","6,408","6,297","6,457","6,475","6,256","5,999","5,724","5,858","6,089","6,036","6,259","6,682","6,995"
Net Cash / Debt,"-2,628.3","-2,632.4","-2,590.9","-2,519.2","-3,810.1","-3,614.7","-3,920.1","-3,481","-3,859.7","-3,157.2","-2,565.3","-2,355.5","-2,749.9","-2,755.7","-2,803.6","-2,514.6","-3,175.6","-3,369","-3,067.9","-3,187.9","-3,693.5","-4,874.2","-4,741.5","-4,294.6","-2,926.8","-2,901.3","-2,079.2","-1,982.2","-2,133.7","-2,052.8","-2,102.3","-2,682.9","-3,494.6","-3,746.3","-3,757.2","-3,615.8","-4,137.2","-4,363.2","-3,864.6","-3,684.5"
Net Cash Per Share,-9.31,-9.60,-9.54,-,-14.19,-13.42,-14.61,-,-14.77,-12.07,-9.80,-,-10.47,-10.61,-10.92,-,-12.55,-13.47,-12.30,-,-15.06,-19.90,-19.38,-,-12.08,-11.97,-8.53,-,-8.78,-8.43,-8.70,-,-14.74,-15.89,-16.06,-,-17.87,-18.95,-16.76,-
Working Capital,"1,484","1,072","1,040","2,042","1,127","1,071",998.8,961,882.8,"1,626","2,011","1,989","1,880","1,952","1,125","1,291","1,751","1,409","1,759","1,416","2,596","1,171","1,327","4,055","2,319","2,516","2,803","2,567","2,448","2,612","2,678","1,719","1,436",494.9,753.6,692.4,"1,243","1,082","1,513",816.4
Book Value Per Share,22.58,23.60,23.42,22.55,21.57,21.87,21.61,22.28,22.33,24.75,26.10,25.72,25.38,26.21,26.75,28.58,28.28,27.42,29.66,28.59,28.39,29.45,29.95,30.33,24.10,24.74,26.48,26.68,26.30,26.92,27.18,26.34,25.57,24.48,25.26,26.44,26.32,27.39,29.23,30.74
