,2014-03-29,2014-06-28,2014-09-27,2015-01-03,2015-04-04,2015-07-04,2015-10-03,2016-01-02,2016-04-02,2016-07-02,2016-10-01,2016-12-31,2017-04-01,2017-07-01,2017-09-30,2017-12-30,2018-03-31,2018-06-30,2018-09-29,2018-12-29,2019-03-30,2019-06-29,2019-09-28,2020-01-04,2020-04-04,2020-07-04,2020-10-03,2021-01-02,2021-04-03,2021-07-03,2021-10-02,2022-01-01,2022-04-02,2022-07-02,2022-10-01,2022-12-31,2023-04-01,2023-07-01,2023-09-30,2023-12-30
Revenue,"2,847","3,505","3,430","4,096","3,073","3,247","3,180","3,923","3,201","3,511","3,251","3,825","3,093","3,604","3,484","4,017","3,296","3,726","3,200","3,750","3,109","3,227","3,259","4,035","2,777","2,472","2,735","3,667","2,879","3,191","2,990","3,322","3,001","3,154","3,078","3,636","3,024","3,424","3,343","3,892"
Revenue Growth (YoY),-0.28%,23.46%,18.11%,16.83%,7.94%,-7.36%,-7.29%,-4.22%,4.17%,8.13%,2.23%,-2.50%,-3.37%,2.65%,7.17%,5.02%,6.56%,3.39%,-8.15%,-6.65%,-5.67%,-13.39%,1.84%,7.60%,-10.68%,-23.40%,-16.08%,-9.12%,3.67%,29.09%,9.32%,-9.41%,4.24%,-1.16%,2.94%,9.45%,0.77%,8.56%,8.61%,7.04%
Cost of Revenue,"2,357","2,875","2,845","3,344","2,509","2,635","2,584","3,251","2,635","2,889","2,661","3,152","2,592","2,996","2,884","3,355","2,729","3,073","2,687","3,105","2,577","2,641","2,747","3,441","2,387","2,251","2,332","3,124","2,400","2,660","2,486","2,751","2,492","2,641","2,584","3,083","2,531","2,846","2,779","3,249"
Gross Profit,490,630,585,752,564,612,596,672,566,622,590,673,501,608,600,662,567,653,513,645,532,586,512,594,390,221,403,543,479,531,504,571,509,513,494,553,493,578,564,643
"Selling, General & Admin",302,353,304,402,337,329,303,335,308,318,323,368,309,343,335,347,327,370,307,271,307,292,255,298,263,239,258,285,298,314,283,326,305,279,266,336,305,289,303,328
Other Operating Expenses,16,20,3,13,0,0,0,0,0,0,115,-31,29,7,18,47,-19,-19,-19,54,-29,-28,-28,44,18,58,-14,2,-34,-35,-30,-35,-60,-60,-60,-60,-59,-59,-59,66
Operating Expenses,318,373,307,415,337,329,303,335,308,318,438,337,338,350,353,394,308,351,288,325,278,264,227,342,281,297,244,287,264,279,253,291,245,219,206,276,246,230,244,394
Operating Income,172,257,278,337,227,283,293,337,258,304,152,336,163,258,247,268,259,302,225,320,254,322,285,252,109,-76,159,256,215,252,251,280,264,294,288,277,247,348,320,249
Interest Expense / Income,47,47,47,50,43,42,41,43,43,44,45,42,42,43,44,45,41,42,41,42,42,43,44,42,40,42,43,41,40,36,33,33,32,31,24,20,20,19,19,19
Other Expense / Income,2,1,1,1,-,2,-,-1,1,1,-122,1,-1,-,-,-,-,-,-444,-,-,-,-,-,-,-,-,-,-15,-1,-,-,-,1,-,-,-,-,-,1
Pretax Income,123,209,230,286,184,239,252,295,214,259,229,293,122,215,203,223,218,260,628,278,212,279,241,210,69,-118,116,215,190,217,218,247,232,262,264,257,227,329,301,229
Income Tax,38,65,71,74,56,72,76,69,64,82,-192,79,21,62,44,329,29,36,65,32,33,62,21,11,19,-26,1,-21,19,34,33,40,39,45,39,31,36,66,32,31
Net Income,85,144,159,212,128,167,176,226,150,177,421,214,101,153,159,-106,189,224,563,246,179,217,220,199,50,-92,115,236,171,183,185,207,193,217,225,226,191,263,269,198
Net Income Growth,-28.57%,27.43%,60.61%,26.95%,50.59%,15.97%,10.69%,6.60%,17.19%,5.99%,139.20%,-5.31%,-32.67%,-13.56%,-62.23%,-,87.13%,46.41%,254.09%,-,-5.29%,-3.13%,-60.92%,-19.11%,-72.07%,-,-47.73%,18.59%,242.00%,-,60.87%,-12.29%,12.87%,18.58%,21.62%,9.18%,-1.04%,21.20%,19.56%,-12.39%
Shares Outstanding (Basic),283,279,279,276,277,278,276,274,271,269,269,270,270,268,265,263,262,256,248,243,235,233,230,228,228,227,228,229,226,226,224,220,217,215,212,209,205,202,198,196
Shares Change,4.03%,0.46%,-0.46%,-1.81%,-2.01%,-0.53%,-1.00%,-0.86%,-2.05%,-3.17%,-2.52%,-1.27%,-0.40%,-0.42%,-1.76%,-2.51%,-3.08%,-4.35%,-6.16%,-7.77%,-10.35%,-9.09%,-7.36%,-6.05%,-2.82%,-2.27%,-0.91%,0.27%,-0.77%,-0.78%,-1.71%,-3.69%,-4.24%,-4.71%,-5.62%,-5.29%,-5.29%,-6.23%,-6.36%,-6.11%
EPS (Basic),0.30,0.52,0.57,0.77,0.46,0.60,0.64,0.82,0.55,0.66,1.56,0.79,0.37,0.57,0.60,-0.39,0.73,0.88,2.29,1.03,0.76,0.94,0.96,0.87,0.22,-0.40,0.50,1.03,0.75,0.81,0.83,0.94,0.89,1.01,1.06,1.09,0.93,1.31,1.36,1.02
EPS (Diluted),0.30,0.51,0.57,0.76,0.46,0.60,0.63,0.82,0.55,0.65,1.55,0.78,0.37,0.57,0.60,-0.39,0.72,0.87,2.26,1.03,0.76,0.93,0.95,0.86,0.22,-0.40,0.50,1.03,0.75,0.80,0.82,0.93,0.88,1.00,1.06,1.07,0.92,1.30,1.35,1.00
EPS Growth,-26.83%,27.50%,62.86%,28.81%,53.33%,17.65%,10.53%,7.89%,19.57%,8.33%,146.03%,-4.88%,-32.73%,-12.31%,-61.29%,-,94.59%,52.63%,276.67%,-,5.56%,6.90%,-57.96%,-16.50%,-71.05%,-,-47.37%,19.77%,240.91%,-,64.00%,-9.71%,17.33%,25.00%,29.27%,15.05%,4.55%,30.00%,27.36%,-6.54%
