,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Revenue,112.63,124.37,128.66,127.44,134.97,146.3,150.85,158.92,179.29,188.97,194.5,193.28,199.54,209.12,214.15,217.85,221.17,236.06,236.07,241.98,247.07,275.12,275.4,288.84,276.54,271.09,285.75,283.29,294.8,404.08,459.87,433.54,456.11,468.69,473.19,452.22,471.85,504.28,494.68,480.94
Revenue Growth (YoY),17.56%,20.65%,20.22%,15.09%,19.84%,17.63%,17.24%,24.70%,32.84%,29.17%,28.94%,21.62%,11.29%,10.66%,10.10%,12.71%,10.84%,12.88%,10.24%,11.08%,11.71%,16.55%,16.66%,19.36%,11.93%,-1.47%,3.76%,-1.92%,6.60%,49.06%,60.94%,53.04%,54.72%,15.99%,2.90%,4.31%,3.45%,7.59%,4.54%,6.35%
Cost of Revenue,60.1,65.81,66.87,66.95,71.09,78.04,79.01,85.69,97.18,102.04,101.02,100.46,105.19,113.26,110.72,112.35,118.37,126.78,124.44,126.11,131.02,147.26,144.68,146.56,147.41,139.89,142.24,144.62,150.6,222.01,263.66,246.38,263.69,275.24,268.53,258.89,272.02,281.1,269.52,268.01
Gross Profit,52.53,58.56,61.79,60.49,63.88,68.25,71.83,73.22,82.12,86.94,93.48,92.82,94.35,95.86,103.43,105.5,102.81,109.28,111.63,115.87,116.05,127.86,130.72,142.28,129.13,131.2,143.51,138.67,144.21,182.06,196.22,187.16,192.42,193.45,204.66,193.33,199.84,223.18,225.16,212.93
Selling & Marketing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.97,37.1,37.1,35.9,39.67
General & Administrative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.88,72.36,77.68,78.52,80.02
Research & Development,6.17,6.39,6.57,6.62,7,7.11,7.19,8.62,9.96,10.34,11.07,11.79,11.6,11.87,11.83,12.02,13.05,15.83,17.05,17.34,18.94,20.1,21.13,21.17,22.36,21.95,21.64,22.41,21.81,23.43,24,24.24,23.94,23.39,25.19,32.67,26.99,28.15,28.28,26.16
Other Operating Expenses,-0.26,-0.22,-0.05,0.17,0.18,0.19,0.26,-0.24,-0.47,-0.72,-0.53,-0.29,-0.19,-0.1,0.08,0.91,0.6,0.56,1.04,1.18,0.59,-0.25,0.5,2.63,0.99,0.47,0.28,0.38,0.09,-12.2,0.45,0.3,14.71,13.6,14.94,18.1,18.41,0.64,0.79,0
Operating Expenses,32.67,34.94,35.05,35.9,36.7,38.66,40.34,53.44,54.08,56.02,56.54,57.41,58.2,58.79,59.98,61.24,63.97,72.13,74.04,76.94,81.56,91.19,90.66,97.12,95.24,89.86,93.85,90.63,106,143.77,140.03,139.11,136.55,136.69,143.75,152.62,154.86,142.94,142.7,145.84
Operating Income,19.86,23.62,26.75,24.59,27.18,29.6,31.49,19.78,28.04,30.92,36.95,35.4,36.15,37.08,43.45,44.26,38.84,37.14,37.59,38.93,34.49,36.67,40.05,45.16,33.89,41.34,49.66,48.04,38.21,38.29,56.18,48.05,55.87,56.76,60.91,40.71,44.98,61.87,63.94,47.75
Interest Income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0.49,0,0,0,0,0,0,0,0,0,0
Interest Expense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,12.44,5.4,4.99,4.8,6.21,9.26,8.1,7.68,-6.39,-5.81,-3.75
Other Expense / Income,0.26,0.22,0.05,-0.17,-0.18,-0.19,-0.26,0.24,0.47,0.72,0.53,0.29,0.19,0.1,-0.08,-0.91,-0.6,-0.56,-1.04,-1.18,-0.59,0.25,-0.5,-2.63,-0.99,-0.47,-0.28,-0.38,-0.09,0.25,-0.45,-0.3,-0.36,-0.22,-0.13,-1.01,-1.25,12.13,10.83,6.85
Pretax Income,19.6,23.41,26.7,24.76,27.36,29.78,31.74,19.54,27.57,30.2,36.42,35.12,35.96,36.97,43.52,45.17,39.44,37.7,38.63,40.11,35.08,36.42,40.55,47.79,34.88,41.81,49.94,48.41,38.3,26.09,51.23,43.36,51.43,50.76,51.79,33.62,38.54,56.13,58.91,44.65
Income Tax,7.72,8.67,9.7,9.44,10.09,10.95,11.6,10.92,10.5,11.32,14.16,3.92,3.65,5.4,5.26,-16.63,1.61,-1.46,-0.3,8.56,7.73,4.42,0.16,1,-12.67,-12.08,10.65,-5.68,1.32,0.56,7.06,-11.42,11.44,10.81,-1.45,2.54,7.67,7,11.9,5.75
Net Income,11.88,14.74,17,15.32,17.27,18.84,20.14,8.62,17.08,18.87,22.26,31.2,32.31,31.58,38.26,61.8,37.83,39.16,38.92,31.55,27.35,32,40.39,46.79,47.55,53.89,39.28,54.09,36.98,25.53,44.17,54.78,39.98,39.95,53.23,31.08,30.88,49.13,47.01,38.9
Net Income Growth,39.92%,62.93%,53.86%,45.71%,45.36%,27.79%,18.48%,-43.74%,-1.12%,0.19%,10.54%,261.99%,89.16%,67.33%,71.86%,98.10%,17.08%,24.01%,1.73%,-48.94%,-27.70%,-18.29%,3.77%,48.29%,73.87%,68.42%,-2.74%,15.61%,-22.24%,-52.63%,12.44%,1.27%,8.14%,56.47%,20.52%,-43.27%,-22.78%,22.99%,-11.69%,25.18%
Shares Outstanding (Basic),33,33,33,33,34,34,34,35,37,36,36,37,37,37,37,38,38,38,39,39,38,38,39,39,40,40,40,40,41,41,41,41,41,42,42,42,42,42,42,42
Shares Outstanding (Diluted),36,35,35,36,36,36,36,38,39,39,39,39,39,39,39,39,40,40,41,40,40,40,40,41,41,41,42,42,42,42,42,43,42,42,42,42,43,43,43,43
Shares Change,4.57%,2.54%,1.50%,0.89%,1.11%,2.66%,3.02%,6.18%,8.85%,7.32%,7.46%,2.93%,-0.36%,1.19%,0.72%,1.34%,2.32%,2.61%,3.01%,0.99%,-0.63%,-1.02%,-0.61%,2.12%,3.94%,4.03%,3.29%,2.92%,2.22%,1.64%,1.63%,1.46%,0.92%,0.54%,0.29%,-0.28%,0.15%,1.02%,1.02%,1.30%
EPS (Basic),0.36,0.45,0.52,0.46,0.51,0.56,0.59,0.24,0.50,0.69,0.97,0.85,0.89,0.86,1.04,1.64,1.00,1.02,1.00,0.82,0.71,0.83,1.04,1.20,1.20,1.35,0.98,1.34,0.91,0.63,1.08,1.33,0.97,0.96,1.28,0.75,0.74,1.17,1.12,0.92
EPS (Diluted),0.33,0.42,0.48,0.43,0.48,0.52,0.55,0.23,0.47,0.65,0.91,0.80,0.84,0.81,0.99,1.56,0.95,0.97,0.96,0.79,0.69,0.80,1.00,1.15,1.16,1.30,0.94,1.29,0.88,0.61,1.04,1.29,0.94,0.94,1.26,0.73,0.73,1.15,1.10,0.91
EPS Growth,32.00%,61.54%,50.00%,43.33%,45.45%,23.81%,14.58%,-46.51%,-2.08%,25.00%,65.45%,247.83%,78.72%,24.62%,8.79%,95.00%,13.10%,19.75%,-3.03%,-49.36%,-27.37%,-17.53%,4.17%,45.57%,68.12%,62.50%,-6.00%,12.17%,-24.14%,-53.08%,10.64%,0%,6.82%,54.10%,21.15%,-43.41%,-22.34%,22.34%,-12.70%,24.66%
Free Cash Flow,12.93,9.42,64.74,27,-4,12.69,52.7,15.12,23.55,8.64,59.52,43.61,28.36,-8.91,85.2,48.05,35.74,16.54,103.62,66.89,10.95,11.22,123.98,66.53,46.04,31.52,165.39,83.68,61.66,-33.48,192.82,95.13,41.02,59.99,115.6,114.7,63.61,-33.21,162.67,139.41
Free Cash Flow Per Share,0.36,0.27,1.83,0.76,-0.11,0.35,1.45,0.40,0.60,0.22,1.52,1.12,0.73,-0.23,2.17,1.22,0.90,0.41,2.56,1.68,0.28,0.28,3.08,1.63,1.12,0.76,3.98,2.00,1.47,-0.80,4.56,2.24,0.97,1.42,2.73,2.70,1.50,-0.78,3.80,3.24
Gross Margin,46.64%,47.08%,48.03%,47.47%,47.33%,46.65%,47.62%,46.08%,45.80%,46.00%,48.06%,48.02%,47.28%,45.84%,48.30%,48.43%,46.48%,46.29%,47.29%,47.88%,46.97%,46.47%,47.46%,49.26%,46.70%,48.40%,50.22%,48.95%,48.92%,45.06%,42.67%,43.17%,42.19%,41.27%,43.25%,42.75%,42.35%,44.26%,45.52%,44.27%
Operating Margin,17.64%,18.99%,20.79%,19.30%,20.14%,20.23%,20.88%,12.45%,15.64%,16.36%,19.00%,18.32%,18.12%,17.73%,20.29%,20.32%,17.56%,15.73%,15.92%,16.09%,13.96%,13.33%,14.54%,15.63%,12.26%,15.25%,17.38%,16.96%,12.96%,9.48%,12.22%,11.08%,12.25%,12.11%,12.87%,9.00%,9.53%,12.27%,12.92%,9.93%
Profit Margin,10.55%,11.85%,13.21%,12.02%,12.80%,12.88%,13.35%,5.42%,9.53%,9.99%,11.45%,16.14%,16.19%,15.10%,17.87%,28.37%,17.10%,16.59%,16.49%,13.04%,11.07%,11.63%,14.67%,16.20%,17.19%,19.88%,13.75%,19.10%,12.54%,6.32%,9.60%,12.64%,8.77%,8.52%,11.25%,6.87%,6.54%,9.74%,9.50%,8.09%
Free Cash Flow Margin,11.48%,7.57%,50.32%,21.19%,-2.97%,8.67%,34.94%,9.52%,13.13%,4.57%,30.60%,22.56%,14.21%,-4.26%,39.78%,22.06%,16.16%,7.01%,43.89%,27.64%,4.43%,4.08%,45.02%,23.03%,16.65%,11.63%,57.88%,29.54%,20.92%,-8.28%,41.93%,21.94%,8.99%,12.80%,24.43%,25.36%,13.48%,-6.59%,32.88%,28.99%
Effective Tax Rate,39.38%,37.02%,36.32%,38.14%,36.87%,36.75%,36.55%,55.90%,38.06%,37.50%,38.87%,11.17%,10.16%,14.59%,12.08%,-36.80%,4.09%,-3.88%,-0.77%,21.33%,22.03%,12.14%,0.40%,2.09%,-36.31%,-28.89%,21.33%,-11.74%,3.45%,2.15%,13.79%,-26.34%,22.25%,21.30%,-2.79%,7.56%,19.89%,12.47%,20.20%,12.87%
EBITDA,23.52,24.75,30.4,28.26,30.89,33.37,35.59,27.77,40.22,43.59,49.62,48.18,49.25,50.34,57.18,58.09,52.95,52.68,53.56,55.06,51.8,56.1,59.86,65.28,53.88,61.63,70.13,68.95,59.31,78.17,93.52,86.11,94.38,94.69,102.13,83.85,84.34,61.87,63.94,47.75
EBITDA Margin,20.88%,19.90%,23.63%,22.18%,22.89%,22.81%,23.59%,17.47%,22.43%,23.07%,25.51%,24.93%,24.68%,24.07%,26.70%,26.66%,23.94%,22.32%,22.69%,22.75%,20.97%,20.39%,21.73%,22.60%,19.48%,22.73%,24.54%,24.34%,20.12%,19.34%,20.34%,19.86%,20.69%,20.20%,21.58%,18.54%,17.87%,12.27%,12.92%,9.93%
Depreciation & Amortization,3.66,3.63,3.66,3.67,3.71,3.77,4.1,7.99,12.18,12.67,12.67,12.78,13.1,13.27,13.73,13.83,14.11,15.54,15.98,16.13,17.31,19.44,19.8,20.13,19.99,20.29,20.48,20.91,21.1,39.88,36.89,37.76,38.15,37.72,41.08,42.12,38.11,37.64,44.14,39.88
EBIT,19.86,21.13,26.75,24.59,27.18,29.6,31.49,19.78,28.04,30.92,36.95,35.4,36.15,37.08,43.45,44.26,38.84,37.14,37.59,38.93,34.49,36.67,40.05,45.16,33.89,41.34,49.66,48.04,38.21,38.29,56.63,48.35,56.23,56.97,61.04,41.72,46.23,24.24,19.8,7.87
EBIT Margin,17.64%,16.99%,20.79%,19.30%,20.14%,20.23%,20.88%,12.45%,15.64%,16.36%,19.00%,18.32%,18.12%,17.73%,20.29%,20.32%,17.56%,15.73%,15.92%,16.09%,13.96%,13.33%,14.54%,15.63%,12.26%,15.25%,17.38%,16.96%,12.96%,9.48%,12.31%,11.15%,12.33%,12.16%,12.90%,9.23%,9.80%,4.81%,4.00%,1.64%
