,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Cash & Equivalents,"5,516","5,413","6,147","5,830","4,660","5,879","5,199","5,805","5,400","4,134","4,809","4,979","4,552","4,508","4,764","4,424","3,889","4,570","5,165","5,040","4,055","4,170","5,549","5,226","5,050","5,327","7,536","13,950","12,156","13,447","21,538","19,891","18,656","18,934","20,322","18,964","16,669","17,554","19,414","17,718"
Cash & Cash Equivalents,"5,516","5,413","6,147","5,830","4,660","5,879","5,199","5,805","5,400","4,134","4,809","4,979","4,552","4,508","4,764","4,424","3,889","4,570","5,165","5,040","4,055","4,170","5,549","5,226","5,050","5,327","7,536","13,950","12,156","13,447","21,538","19,891","18,656","18,934","20,322","18,964","16,669","17,554","19,414","17,718"
Cash Growth,-21.09%,-7.07%,-3.94%,-5.17%,-15.52%,8.61%,-15.42%,-0.43%,15.88%,-29.68%,-7.50%,-14.23%,-15.70%,9.05%,-0.94%,-11.15%,-14.57%,1.38%,8.42%,13.92%,4.27%,-8.75%,7.43%,3.69%,24.54%,27.75%,35.81%,166.93%,140.71%,152.43%,185.80%,42.59%,53.47%,40.80%,-5.65%,-4.66%,-10.65%,-7.29%,-4.47%,-6.57%
Receivables,"1,503","1,609","1,665","1,559","1,146","1,471","1,471","1,513","1,128","1,581","1,450","1,481","1,176","1,429","1,499","1,603","1,340","1,760","1,840","1,752","1,426","1,789","1,762","1,617","1,364",792,857,"1,171","1,295","1,389","1,793","1,709","1,663","2,062","2,217","2,034","1,801","2,274","2,004","2,193"
Inventory,667,641,685,700,666,631,656,704,738,759,798,842,873,900,882,937,924,924,942,"1,011",985,972,996,"1,065","1,072","1,070",955,961,932,918,912,955,983,"1,068","1,153","1,116","1,109","1,196","1,290","1,513"
Other Current Assets,"1,016","1,125","1,122","1,136","1,075","1,528","1,467","2,075",562,750,787,668,708,887,"1,103",913,980,"1,033",934,868,628,677,603,625,708,716,693,394,417,265,430,502,532,548,679,575,479,562,598,488
Total Current Assets,"8,702","8,788","9,619","9,225","7,547","9,509","8,793","10,097","7,828","7,224","7,844","7,970","7,309","7,724","8,248","7,877","7,133","8,287","8,881","8,671","7,094","7,608","8,910","8,533","8,194","7,905","10,041","16,476","14,800","16,019","24,673","23,057","21,834","22,612","24,371","22,689","20,058","21,586","23,306","21,912"
"Property, Plant & Equipment","18,047","18,384","18,857","18,943","19,467","19,862","20,701","21,176","21,580","22,006","22,388","22,645","23,318","24,241","25,017","25,629","26,208","26,739","26,946","27,308","32,661","33,651","33,826","34,269","34,928","36,664","36,473","36,194","36,003","36,431","36,752","36,825","36,719","36,460","36,293","36,786","38,337","39,856","41,123","42,335"
Long-Term Investments,0,0,0,0,0,0,0,0,0,0,0,0,579,0,0,882,852,853,848,848,"1,482","1,610","1,657","1,660","1,851",912,939,968,"1,031","1,107","1,407","1,336","1,420","1,401","1,297","1,285","1,373","1,311","1,403","1,404"
Goodwill and Intangibles,"8,959","8,925","8,895","8,853","8,807","8,780","8,743","8,716","8,659","8,635","8,200","8,177","8,155","8,135","8,115","8,081","8,062","8,044","7,922","7,905","7,682","7,667","7,652","7,637","7,532","7,468","7,375","7,379","7,365","7,367","7,354","7,342","7,330","7,319","7,309","7,299","7,289","7,280","7,271","7,262"
Other Long-Term Assets,"1,104","1,088","1,076",990,774,940,"1,130","1,880","2,794","2,508","2,044","1,535",779,"1,345",927,96,91,95,94,105,105,103,105,100,106,106,73,172,349,738,863,734,872,"1,246","1,111",909,301,384,238,240
Total Long-Term Assets,"28,110","28,397","28,828","28,786","29,048","29,582","30,574","31,772","33,033","33,149","32,632","32,357","32,831","33,721","34,059","34,688","35,213","35,731","35,810","36,166","41,930","43,031","43,240","43,666","44,417","45,150","44,860","44,713","44,748","45,643","46,376","46,237","46,341","46,426","46,010","46,279","47,300","48,831","50,035","51,241"
Total Assets,"36,812","37,185","38,447","38,011","36,595","39,091","39,367","41,869","40,861","40,373","40,476","40,327","40,140","41,445","42,307","42,565","42,346","44,018","44,691","44,837","49,024","50,639","52,150","52,199","52,611","53,055","54,901","61,189","59,548","61,662","71,049","69,294","68,175","69,038","70,381","68,968","67,358","70,417","73,341","73,153"
Accounts Payable,"2,087","2,332","2,441","2,085","1,882","2,074","2,322","2,082","1,869","2,065","2,240","2,138","2,139","2,135","2,225","2,231","2,196","2,399","2,703","2,581","2,363","2,707","3,033","2,848","2,703","2,436","1,725","1,831","1,595","1,838","2,218","2,199","2,562","2,966","3,755","3,534","3,395","3,858","4,172","4,206"
Deferred Revenue,"4,904","4,911","4,882","4,910","4,937","5,025","4,989","4,934","4,943","4,982","4,962","4,911","4,883","4,926","4,868","4,785","4,783","4,937","4,989","4,987","5,005","5,138","5,198","5,219","5,276","5,488","5,670","5,835","5,975","6,109","6,185","6,217","6,282","6,417","6,495","6,578","6,675","6,860","7,024","7,076"
Current Debt,"1,485","1,290","1,266","1,439","1,423","1,812","1,158","1,449","1,359","1,409","1,400","1,093",965,829,"1,551","1,641","1,693","1,779","1,004","1,046","2,072","1,973","2,009","2,113","2,139","4,802","5,145","5,343","2,723","2,585","2,608","2,954","4,468","4,781","4,547","4,479","3,599","3,920","4,411","4,562"
