,2014-02-01,2014-05-03,2014-08-02,2014-11-01,2015-01-31,2015-05-02,2015-08-01,2015-10-31,2016-01-30,2016-04-30,2016-07-30,2016-10-29,2017-01-28,2017-04-29,2017-07-29,2017-10-28,2018-02-03,2018-05-05,2018-08-04,2018-11-03,2019-02-02,2019-05-04,2019-08-03,2019-11-02,2020-02-01,2020-05-02,2020-08-01,2020-10-31,2021-01-30,2021-05-01,2021-07-31,2021-10-30,2022-01-29,2022-04-30,2022-07-30,2022-10-29,2023-01-28,2023-04-29,2023-07-29,2023-10-28,Current
Market Capitalization,"5,505","5,666","5,986","7,777","8,492","9,909","10,665","11,123","11,540","13,042","16,314","15,113","16,892","17,487","15,421","12,220","13,386","15,380","14,143","16,852","17,281","20,109","19,701","13,718","15,314","12,066","10,868","11,646","15,761","18,511","18,388","19,969","19,420","20,763","20,153","21,315","25,729","27,679","22,181","18,700","25,839"
Market Cap Growth,-11.50%,-1.32%,-9.27%,-5.41%,54.26%,74.89%,78.16%,43.02%,35.89%,31.62%,52.97%,35.87%,46.38%,34.08%,-5.47%,-19.14%,-20.76%,-12.05%,-8.29%,37.90%,29.10%,30.75%,39.30%,-18.60%,-11.38%,-40.00%,-44.84%,-15.11%,2.92%,53.42%,69.20%,71.47%,23.21%,12.17%,9.60%,6.74%,32.49%,33.31%,10.07%,-12.27%,-
Enterprise Value,"5,086","5,209","5,523","7,382","7,953","9,373","10,189","10,763","11,065","12,673","16,010","14,870","16,477","17,015","15,148","12,114","12,989","14,910","13,757","16,555","16,872","21,453","21,266","15,439","16,750","13,701","12,474","12,999","16,612","19,440","19,470","21,204","20,835","21,954","21,575","22,962","26,894","28,941","23,673","20,679","27,817"
PE Ratio,27.14,26.86,26.39,32.33,33.03,36.15,37.09,37.14,36.06,37.80,45.21,40.05,41.23,39.21,32.80,25.08,24.11,26.01,22.61,25.85,26.24,29.30,28.17,19.66,21.69,27.72,38.54,51.29,89.64,38.20,25.28,23.01,19.70,19.10,17.81,17.90,20.71,22.00,17.57,15.11,21.60
PS Ratio,2.06,2.02,2.04,2.54,2.62,2.92,3.01,3.00,2.94,3.16,3.78,3.33,3.48,3.43,2.90,2.21,2.28,2.52,2.24,2.58,2.57,2.91,2.78,1.90,2.07,1.77,1.70,1.86,2.56,2.68,2.40,2.47,2.25,2.30,2.15,2.19,2.52,2.64,2.07,1.72,2.37
PB Ratio,5.49,5.35,5.32,6.56,6.81,7.61,7.94,8.09,8.00,9.88,11.72,10.41,10.90,10.65,9.43,7.56,7.55,8.62,7.80,9.18,9.49,10.36,10.71,7.43,8.05,6.88,6.14,6.28,7.88,10.04,9.78,10.05,12.65,11.90,11.39,11.09,13.13,13.72,10.81,9.22,12.74
P/FCF Ratio,54.13,41.83,38.78,51.10,57.57,79.52,110.09,122.31,150.45,73.42,103.08,75.02,64.74,70.70,70.84,58.03,39.53,34.74,25.34,26.62,27.14,31.74,28.70,20.56,19.08,22.46,24.39,18.52,23.94,18.15,17.29,24.27,21.89,21.93,20.92,22.43,21.99,27.41,22.78,22.07,30.50
P/OCF Ratio,16.80,15.80,15.90,20.81,21.41,25.33,27.41,27.85,30.70,27.49,34.72,27.48,26.63,27.19,24.30,19.08,17.18,17.46,14.93,16.98,18.07,21.15,19.40,14.12,13.91,14.98,16.22,14.51,19.45,15.89,15.38,20.67,18.33,17.97,16.81,17.50,17.36,20.34,16.19,14.77,20.40
Debt / Equity Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.96,1.03,1.04,1.02,1.59,1.56,1.03,0.95,1.02,0.99,0.93,1.20,1.06,1.05,0.99,0.97,0.94,0.92,1.04,1.04
Quick Ratio,1.75,1.60,1.68,1.20,1.65,1.51,1.41,0.90,1.36,0.85,0.73,0.47,0.95,0.92,0.60,0.27,0.77,0.76,0.65,0.41,0.66,0.60,0.41,0.26,0.56,1.13,1.21,0.57,0.92,0.72,0.67,0.48,0.43,0.53,0.41,0.27,0.56,0.51,0.38,0.18,0.18
Current Ratio,3.76,3.61,3.76,3.33,3.51,3.45,3.56,3.03,3.47,2.70,2.80,2.35,2.90,2.86,2.79,2.30,2.64,2.42,2.41,2.06,2.33,1.93,1.80,1.67,1.81,2.49,2.64,1.83,1.87,1.68,1.81,1.75,1.46,1.58,1.63,1.62,1.61,1.64,1.69,1.52,1.52
Interest Coverage,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-79.78,4.87,73.23,484.39,852.86,781.90,688.23,804.33,1091.54,-,-,-,-,-,-,-
Return on Capital (ROIC),Upgrade,20.22%,19.89%,20.12%,20.24%,20.57%,20.99%,21.35%,21.74%,22.13%,26.09%,25.88%,25.94%,26.40%,27.13%,28.70%,30.10%,31.23%,33.06%,34.38%,35.35%,35.97%,17.91%,18.61%,18.36%,18.28%,9.02%,5.74%,5.49%,4.01%,13.12%,19.54%,22.71%,29.19%,30.31%,31.24%,31.18%,32.07%,31.87%,31.78%,29.63%
