,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Cash & Equivalents,"1,857","1,537","1,887","1,586","1,587","2,041","1,078","1,391","2,673","1,830","1,909","1,277","1,049","1,286","1,847","1,275","1,048","1,604","1,810","1,273","1,059","1,049","1,250",831,"1,130","2,706","2,601","1,799","1,183","1,115","1,194",960,909,788,"1,267",973,"1,079",830,750,"1,055"
Short-Term Investments,0,0,0,0,0,0,0,0,0,330,330,60,90,90,90,90,90,90,90,60,60,60,60,60,60,60,60,60,60,46,46,46,46,46,46,46,0,0,16,16
Cash & Cash Equivalents,"1,857","1,537","1,887","1,586","1,587","2,041","1,078","1,391","2,673","2,160","2,239","1,337","1,139","1,376","1,937","1,365","1,138","1,694","1,900","1,333","1,119","1,109","1,310",891,"1,190","2,766","2,661","1,859","1,243","1,161","1,240","1,006",955,834,"1,313","1,019","1,079",830,766,"1,071"
Cash Growth,-3.13%,-16.69%,38.14%,10.75%,-14.54%,32.79%,-42.87%,-12.30%,68.43%,5.83%,107.70%,-3.88%,-57.39%,-36.30%,-13.49%,2.09%,-0.09%,23.11%,-1.91%,-2.34%,-1.67%,-34.53%,-31.05%,-33.16%,6.34%,149.41%,103.13%,108.64%,4.45%,-58.03%,-53.40%,-45.88%,-23.17%,-28.17%,5.89%,1.29%,12.98%,-0.48%,-41.66%,5.10%
Receivables,"1,542","1,666","1,635","1,611","1,564","1,513","1,508","1,356","1,355","1,373","1,351","1,258","1,279","1,357","1,428","1,493","1,571","1,634","1,792","1,755","1,672","1,809","1,650","1,595","1,669","1,388","1,565","1,505","1,610","1,666","1,679","1,722","1,958","2,052","2,052","1,891","1,955","1,826","1,934","2,073"
Inventory,705,739,736,712,744,762,741,736,716,660,690,717,760,726,742,749,808,772,789,742,780,775,771,751,692,668,649,638,659,688,664,621,726,790,794,741,728,742,770,743
Other Current Assets,575,561,522,492,584,667,615,647,339,373,322,284,410,410,342,399,380,394,335,333,382,393,342,222,253,261,255,212,207,249,227,202,237,300,246,301,296,354,343,261
Total Current Assets,"4,679","4,503","4,780","4,401","4,479","4,983","3,942","4,130","5,083","4,566","4,602","3,596","3,588","3,869","4,449","4,006","3,897","4,494","4,816","4,163","3,953","4,086","4,073","3,459","3,804","5,083","5,130","4,214","3,719","3,764","3,810","3,551","3,876","3,976","4,405","3,952","4,058","3,752","3,813","4,148"
"Property, Plant & Equipment","44,189","44,901","45,553","46,272","46,928","47,512","48,149","48,866","49,071","49,461","49,939","50,389","50,550","50,814","51,036","51,605","51,696","51,947","52,210","52,679","55,002","55,191","55,419","55,728","55,894","55,970","56,017","55,771","55,643","55,783","55,992","56,658","56,791","57,021","57,392","57,710","57,974","58,292","58,680","59,041"
Long-Term Investments,"1,344","1,369","1,384","1,390","1,375","1,375","1,373","1,410","1,404","1,408","1,446","1,457","1,480","1,504","1,566","1,809","1,810","1,856","1,887","1,912","1,951","1,989","2,003","2,050","2,078","2,042","2,071","2,164","2,167","2,277","2,273","2,241","2,279","2,287","2,314","2,375","2,439","2,524","2,580","2,605"
