,1999-12-31,2000-03-31,2000-06-30,2000-09-30,2000-12-31,2001-03-31,2001-06-30,2001-09-30,2001-12-31,2002-03-31,2002-06-30,2002-09-30,2002-12-31,2003-03-31,2003-06-30,2003-09-30,2003-12-31,2004-03-31,2004-06-30,2004-09-30,2004-12-31,2005-03-31,2005-06-30,2005-09-30,2005-12-31,2006-03-31,2006-06-30,2006-09-30,2006-12-31,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
reportedDate,2000-01-31,2000-04-20,2000-07-20,2000-10-19,2001-01-30,2001-04-19,2001-07-19,2001-10-18,2002-01-29,2002-04-18,2002-07-12,2002-10-22,2003-01-28,2003-04-22,2003-07-22,2003-10-21,2004-01-29,2004-04-22,2004-07-22,2004-10-21,2005-01-27,2005-04-21,2005-07-21,2005-10-20,2006-01-26,2006-04-20,2006-07-25,2006-10-19,2007-01-30,2007-04-25,2007-07-24,2007-10-23,2008-01-30,2008-04-23,2008-07-22,2008-10-23,2009-02-03,2009-04-23,2009-07-23,2009-10-22,2010-02-02,2010-04-27,2010-07-22,2010-10-21,2011-02-01,2011-04-26,2011-07-26,2011-10-25,2012-01-31,2012-04-26,2012-07-24,2012-10-23,2013-01-31,2013-04-25,2013-07-23,2013-10-25,2014-01-30,2014-04-24,2014-07-29,2014-10-24,2015-02-03,2015-04-28,2015-07-28,2015-10-27,2016-02-02,2016-04-28,2016-07-29,2016-10-27,2017-01-31,2017-04-27,2017-07-27,2017-10-26,2018-02-01,2018-04-26,2018-07-25,2018-10-24,2019-01-31,2019-04-25,2019-07-24,2019-10-22,2020-01-30,2020-04-28,2020-07-30,2020-10-28,2021-02-02,2021-04-27,2021-07-27,2021-10-26,2022-02-01,2022-04-26,2022-07-26,2022-10-25,2023-01-31,2023-04-25,2023-08-08,2023-10-26
reportedEPS,0.56,0.56,0.6,0.6,0.63,0.51,0.55,0.5,0.57,0.5,0.54,0.51,0.59,0.52,0.61,0.62,0.7,0.67,0.72,0.7,0.76,0.78,0.88,0.86,0.95,0.89,0.97,0.96,1.04,0.96,1.04,1.05,1.13,0.87,0.85,0.96,0.83,0.52,0.49,0.55,0.75,0.71,0.84,0.93,1.08,0.88,1.05,1.06,1.28,1,1.15,1.06,1.32,1.04,1.13,1.16,1.25,0.98,1.21,1.32,1.25,1.12,1.35,1.39,1.57,1.27,1.43,1.44,1.63,1.32,1.58,1.45,1.67,1.55,1.94,1.82,1.94,1.39,1.96,2.07,2.11,1.15,2.13,2.28,2.66,2.77,3.06,2.71,3.59,3.05,3.29,2.99,3.62,2.2,2.54,1.57
estimatedEPS,0.55,0.53,0.6,0.58,0.61,0.5,0.54,0.46,0.5,0.47,0.54,0.54,0.57,0.51,0.59,0.6,0.69,0.62,0.71,0.72,0.76,0.73,0.86,0.86,0.96,0.88,1,0.9,1.04,0.96,1.03,1.02,1.13,0.87,0.85,0.89,0.85,0.56,0.49,0.52,0.74,0.58,0.77,0.88,1.05,0.85,1.04,1.05,1.26,1.02,1.17,1.06,1.38,1.01,1.13,1.15,1.25,1.08,1.25,1.28,1.25,1.09,1.26,1.37,1.42,1.22,1.43,1.44,1.69,1.29,1.47,1.45,1.66,1.54,1.93,1.82,1.9,1.41,1.92,2.06,2.11,1.23,1.07,1.9,2.14,1.72,2.82,2.55,3.1,2.88,3.16,2.84,3.59,2.21,2.5,1.52
surprise,0.01,0.03,0,0.02,0.02,0.01,0.01,0.04,0.07,0.03,0,-0.03,0.02,0.01,0.02,0.02,0.01,0.05,0.01,-0.02,0,0.05,0.02,0,-0.01,0.01,-0.03,0.06,0,0,0.01,0.03,0,0,0,0.07,-0.02,-0.04,0,0.03,0.01,0.13,0.07,0.05,0.03,0.03,0.01,0.01,0.02,-0.02,-0.02,0,-0.06,0.03,0,0.01,0,-0.1,-0.04,0.04,0,0.03,0.09,0.02,0.15,0.05,0,0,-0.06,0.03,0.11,0,0.01,0.01,0.01,0,0.04,-0.02,0.04,0.01,0,-0.08,1.06,0.38,0.52,1.05,0.24,0.16,0.49,0.17,0.13,0.15,0.03,-0.01,0.04,0.05
surprisePercentage,1.8182,5.6604,0,3.4483,3.2787,2,1.8519,8.6957,14,6.383,0,-5.5556,3.5088,1.9608,3.3898,3.3333,1.4493,8.0645,1.4085,-2.7778,0,6.8493,2.3256,0,-1.0417,1.1364,-3,6.6667,0,0,0.9709,2.9412,0,0,0,7.8652,-2.3529,-7.1429,0,5.7692,1.3514,22.4138,9.0909,5.6818,2.8571,3.5294,0.9615,0.9524,1.5873,-1.9608,-1.7094,0,-4.3478,2.9703,0,0.8696,0,-9.2593,-3.2,3.125,0,2.7523,7.1429,1.4599,10.5634,4.0984,0,0,-3.5503,2.3256,7.483,0,0.6024,0.6494,0.5181,0,2.1053,-1.4184,2.0833,0.4854,0,-6.5041,99.0654,20,24.2991,61.0465,8.5106,6.2745,15.8065,5.9028,4.1139,5.2817,0.8357,-0.4525,1.6,3.2895
startPeriod,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30,1999-9-30
endPeriod,1999-12-31,2000-03-31,2000-06-30,2000-09-30,2000-12-31,2001-03-31,2001-06-30,2001-09-30,2001-12-31,2002-03-31,2002-06-30,2002-09-30,2002-12-31,2003-03-31,2003-06-30,2003-09-30,2003-12-31,2004-03-31,2004-06-30,2004-09-30,2004-12-31,2005-03-31,2005-06-30,2005-09-30,2005-12-31,2006-03-31,2006-06-30,2006-09-30,2006-12-31,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
stockHigh,76.94,69.75,66.94,62.0,64.31,62.5,60.0,58.75,57.15,61.24,63.0,67.1,64.5,64.48,64.32,65.31,74.87,74.8,75.26,75.98,89.11,85.84,75.88,74.22,79.97,80.18,83.99,83.13,79.72,75.98,74.48,78.99,77.76,73.95,75.08,70.0,65.04,56.38,57.89,59.63,59.75,64.95,70.89,69.5,73.94,77.0,75.58,75.8,73.81,81.79,80.97,80.53,76.2,85.93,89.96,92.12,105.09,105.37,104.3,105.09,113.1,114.4,102.84,104.07,107.32,106.61,107.58,111.83,120.44,118.19,111.55,120.42,125.16,135.53,119.17,125.09,119.22,112.9,115.03,123.63,125.31,119.24,111.52,171.98,178.01,169.99,219.59,214.93,220.24,233.72,220.83,209.39,191.6,193.71,197.8,192.98
stockLow,61.0,49.0,55.0,51.88,51.25,54.57,52.0,46.15,49.8,54.25,57.75,58.8,58.5,53.0,56.25,61.17,63.62,67.51,68.55,69.15,75.16,71.59,66.65,66.1,66.9,72.74,77.55,65.5,71.92,68.66,69.53,72.7,70.0,64.01,59.3,56.1,43.32,37.99,46.41,46.78,53.17,55.77,57.03,56.47,65.44,70.21,68.13,60.74,61.27,72.15,72.15,71.18,69.56,72.58,81.95,85.18,88.45,93.19,95.45,94.87,94.05,96.32,94.88,93.64,95.82,87.3,100.05,105.96,105.87,103.23,102.12,106.98,111.3,101.45,102.4,104.94,89.89,94.19,92.65,101.16,111.78,82.0,88.35,108.62,155.25,154.76,167.6,182.12,177.13,192.74,165.34,160.11,154.87,173.33,166.15,150.54
