,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Cash & Equivalents,"4,665","5,946","3,056","4,204","2,291","4,482","3,430","3,441","2,730","3,887","3,059","3,299","3,476","2,687","3,544","3,418","3,320","3,544","4,214","4,097","4,225","4,399","4,072","4,040","5,238","8,955","8,813","8,839","5,910","7,731","9,608","10,212","10,255","12,208","11,735","11,045","5,602","6,190","4,812","4,311"
Short-Term Investments,580,"1,089","1,543","1,367",992,"1,935","2,792","2,248","1,996","2,380","2,613","2,059","1,091","1,031","1,060","1,043",749,665,720,744,810,712,725,498,503,505,403,402,406,351,346,348,338,337,336,331,"1,993","3,208","3,071","2,967"
Cash & Cash Equivalents,"5,245","7,035","4,599","5,571","3,283","6,417","6,222","5,689","4,726","6,267","5,672","5,358","4,567","3,718","4,604","4,461","4,069","4,209","4,934","4,841","5,035","5,111","4,797","4,538","5,741","9,460","9,216","9,241","6,316","8,082","9,954","10,560","10,593","12,545","12,071","11,376","7,595","9,398","7,883","7,278"
Cash Growth,-33.81%,-4.05%,-25.73%,-16.21%,-37.41%,-8.78%,35.29%,2.12%,43.95%,-2.34%,-8.84%,-5.82%,-3.36%,-40.67%,-18.83%,-16.74%,-10.90%,13.21%,7.17%,8.52%,23.74%,21.43%,-2.78%,-6.26%,14.02%,85.09%,92.12%,103.64%,10.02%,-14.57%,8.01%,14.27%,67.72%,55.22%,21.27%,7.73%,-28.30%,-25.09%,-34.69%,-36.02%
Receivables,"6,502","5,804","5,845","5,822","6,661","5,724","5,618","6,055","7,134","6,241","6,111","6,272","7,695","6,475","6,553","6,937","8,773","7,606","7,363","7,494","8,958","7,613","8,071","7,951","9,552","8,126","9,230","8,993","10,750","10,127","10,137","10,474","12,541","11,199","11,396","10,975","12,583","10,299","9,587","9,461"
Other Current Assets,"1,640","1,781","1,897","1,925","1,274","1,774","1,928","1,837","1,348","1,404","1,340","1,223","1,587","1,301","1,237","1,512","2,876","1,805","1,577","1,656","2,217","2,180","1,975","1,695","1,810","1,803","1,780","1,696","3,150","2,776","1,897","1,809","1,800","1,857","2,104","2,247","2,039","2,028","1,969","2,512"
Total Current Assets,"13,387","14,620","12,341","13,318","11,218","13,915","13,768","13,581","13,208","13,912","13,123","12,853","13,849","11,494","12,394","12,910","15,718","13,620","13,874","13,991","16,210","14,904","14,843","14,184","17,103","19,389","20,226","19,930","20,216","20,985","21,988","22,843","24,934","25,601","25,571","24,598","22,217","21,725","19,439","19,251"
"Property, Plant & Equipment","17,961","17,769","17,787","17,843","18,281","17,901","17,970","18,163","18,352","18,285","18,251","18,489","18,800","19,225","19,841","20,988","22,118","23,239","23,901","25,379","26,576","29,790","30,572","31,575","33,338","33,949","34,437","35,186","35,327","35,499","36,199","36,319","37,037","37,076","36,923","37,042","38,474","39,084","39,720","40,175"
Long-Term Investments,767,750,787,886,489,"1,084",904,938,473,484,485,485,476,490,479,481,483,311,306,307,170,169,168,169,24,23,24,25,25,25,25,24,0,22,21,20,0,0,0,0
Goodwill and Intangibles,"2,965","3,004","3,032","2,982","3,031","2,984","3,092","4,965","4,968","5,009","4,977","4,973","5,515","5,557","5,674","5,735","5,836","5,918","5,865","5,895","5,886","5,906","5,932","5,914","5,980","5,952","5,994","6,105","5,641","5,614","5,595","5,556","6,178","6,133","6,151","6,063","7,019","7,060","7,140","6,989"
Other Long-Term Assets,"1,132",942,914,877,"2,421","1,448","1,517","1,355","1,310","1,478","1,503","1,542","1,737","1,614","1,336","1,242","1,419","1,376","1,277","1,117","1,174","1,292","1,272","1,440","1,412","1,582","1,376","1,160","1,199","1,189","1,062",997,"1,256","1,281","1,423","1,821","3,414","4,320","4,048","3,866"
Total Long-Term Assets,"22,825","22,465","22,520","22,588","24,222","23,417","23,483","25,421","25,103","25,256","25,216","25,489","26,528","26,886","27,330","28,446","29,856","30,844","31,349","32,698","33,806","37,157","37,944","39,098","40,754","41,506","41,831","42,476","42,192","42,327","42,881","42,896","44,471","44,512","44,518","44,946","48,907","50,464","50,908","51,030"
Total Assets,"36,212","37,085","34,861","35,906","35,440","37,332","37,251","39,002","38,311","39,168","38,339","38,342","40,377","38,380","39,724","41,356","45,574","44,464","45,223","46,689","50,016","52,061","52,787","53,282","57,857","60,895","62,057","62,406","62,408","63,312","64,869","65,739","69,405","70,113","70,089","69,544","71,124","72,189","70,347","70,281"
Accounts Payable,"2,478","2,126","2,106","2,112","2,754","2,055","2,150","2,058","2,587","2,040","2,405","2,287","3,042","2,404","2,648","2,808","3,934","3,501","3,785","3,689","5,188","3,907","4,291","4,218","5,555","4,779","5,271","5,609","6,455","6,305","6,563","6,445","7,523","7,036","7,168","6,731","7,515","6,302","6,085","5,972"
Current Debt,48,"2,222","1,902","2,393",923,"3,163","3,252","4,557","3,018","3,869","2,816","3,820","3,681","4,302","3,817","4,555","4,011","2,683","2,591","3,200","2,805","3,281","3,439","2,661","3,958","4,931","4,283","2,942","3,183","2,359","2,120","1,820","2,711","2,720","3,141","3,141","2,962","3,000","2,085","2,907"
Other Current Liabilities,"4,605","4,845","4,329","4,591","4,944","5,392","4,901","5,254","5,091","5,189","4,740","4,782","5,007","4,700","4,617","4,804","4,941","4,965","5,112","5,333","6,094","6,021","5,903","5,956","5,900","6,136","6,717","6,905","7,378","7,642","7,087","7,207","7,335","7,086","7,028","7,807","7,663","6,960","6,516","6,938"
Total Current Liabilities,"7,131","9,193","8,337","9,096","8,621","10,610","10,303","11,869","10,696","11,098","9,961","10,889","11,730","11,406","11,082","12,167","12,886","11,149","11,488","12,222","14,087","13,209","13,633","12,835","15,413","15,846","16,271","15,456","17,016","16,306","15,770","15,472","17,569","16,842","17,337","17,679","18,140","16,262","14,686","15,817"
