,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Cash & Equivalents,"8,477","7,408","12,636","6,183","10,654","14,072","17,925","10,450","11,147","10,981","14,038","23,664","15,705","20,319","28,964","20,540","19,505","19,246","19,021","20,082","21,453","18,115","16,932","15,272","22,405","46,805","52,392","44,047","62,580","43,501","44,573","63,904","28,905","44,303","39,124","41,652","53,542","67,228","70,642","64,354"
Cash & Cash Equivalents,"8,477","7,408","12,636","6,183","10,654","14,072","17,925","10,450","11,147","10,981","14,038","23,664","15,705","20,319","28,964","20,540","19,505","19,246","19,021","20,082","21,453","18,115","16,932","15,272","22,405","46,805","52,392","44,047","62,580","43,501","44,573","63,904","28,905","44,303","39,124","41,652","53,542","67,228","70,642","64,354"
Cash Growth,2.73%,6.87%,90.93%,-46.77%,25.68%,89.96%,41.86%,69.01%,4.63%,-21.97%,-21.68%,126.45%,40.89%,85.04%,106.33%,-13.20%,24.20%,-5.28%,-34.33%,-2.23%,9.99%,-5.88%,-10.98%,-23.95%,4.44%,158.38%,209.43%,188.42%,179.31%,-7.06%,-14.92%,45.08%,-53.81%,1.84%,-12.22%,-34.82%,85.23%,51.75%,80.56%,54.50%
"Property, Plant & Equipment","2,606","2,589","2,614","2,608","2,618","2,575","2,551","2,515","2,513","2,486","2,459","2,449","2,443","2,432","2,413","2,402","2,432","2,441","2,431","2,438","2,457","3,686","3,690","3,673","3,702","3,660","3,616","3,516","3,468","3,388","3,295","3,262","3,305","3,207","3,177","3,155","3,858","3,735","3,695","3,616"
Goodwill and Intangibles,"12,734","12,626","12,759","12,739","12,551","12,396","12,599","12,544","12,711","12,410","12,211","12,244","12,647","12,661","12,577","12,563","12,662","12,828","12,840","13,074","12,761","12,888","12,709","12,615","12,878","12,465","12,360","12,543","12,782","13,367","13,274","13,524","14,000","14,444","14,644","14,729","19,528","19,443","19,120","18,907"
Total Assets,"364,021","371,289","389,065","391,284","402,529","410,233","419,075","415,943","421,853","428,638","438,463","454,134","445,964","449,522","463,844","459,227","462,040","460,119","461,329","464,607","467,374","475,775","481,719","487,671","495,426","542,909","546,652","540,455","553,905","553,375","558,886","567,495","573,284","586,517","591,381","600,973","674,805","682,377","680,825","668,039"
Total Liabilities,"322,214","328,546","345,679","347,455","358,361","365,268","373,844","370,176","375,036","381,245","390,434","405,735","398,031","401,089","414,895","409,876","412,374","410,307","411,072","413,600","415,717","423,089","428,179","433,524","442,943","490,747","494,172","487,260","500,180","501,067","505,212","513,117","517,897","534,849","542,312","552,995","623,573","628,923","627,341","614,461"
Total Debt,"47,657","54,555","54,992","60,813","62,153","63,330","61,925","59,419","59,955","58,649","55,374","53,673","47,286","48,131","52,226","50,371","48,910","50,904","55,308","64,762","55,479","56,076","56,040","55,853","63,890","78,642","63,174","56,166","53,063","49,517","49,773","51,759","43,921","53,973","54,371","57,294","71,045","98,920","77,617","64,974"
Debt Growth,-8.03%,4.18%,19.80%,35.51%,30.42%,16.08%,12.61%,-2.29%,-3.54%,-7.39%,-10.58%,-9.67%,-21.13%,-17.93%,-5.68%,-6.15%,3.43%,5.76%,5.90%,28.57%,13.43%,10.16%,1.32%,-13.76%,15.16%,40.24%,12.73%,0.56%,-16.95%,-37.03%,-21.21%,-7.85%,-17.23%,9.00%,9.24%,10.69%,61.76%,83.28%,42.75%,13.40%
Common Stock,"3,517","3,320","2,809","2,234","1,845","1,528",968,383,773,232,-317,-893,"-1,318","-1,832","-2,467","-3,081","-3,698","-4,169","-4,799","-4,930","-5,714","-6,262","-6,995","-7,729","-9,960","-11,515","-11,474","-11,438","-11,415","-11,967","-12,798","-12,762","-12,340","-11,849","-11,806","-11,769","-9,728","-9,665","-9,618","-8,655"
Retained Earnings,"38,667","39,584","40,573","41,543","42,530","43,463","44,434","45,413","46,377","47,267","48,269","49,231","50,151","51,069","52,033","53,023","54,142","55,549","56,742","57,878","59,065","60,092","61,252","62,419","63,186","62,544","62,526","63,391","64,188","65,740","67,039","68,297","69,201","69,987","70,772","71,782","71,901","72,807","73,355","74,023"
Comprehensive Income,"-1,071",-850,-682,-636,-896,-714,-865,-721,"-1,019",-744,-562,-579,"-1,535","-1,439","-1,246","-1,219","-1,404","-2,193","-2,315","-2,573","-2,322","-1,773","-1,344","-1,173","-1,373",503,798,612,322,"-2,095","-1,202","-1,792","-1,943","-6,938","-10,361","-12,500","-11,407","-10,153","-10,718","-12,255"
