,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,Current
Market Capitalization,"73,783","78,114","78,632","75,375","80,433","77,785","76,950","72,219","74,637","70,518","69,626","73,408","87,312","87,245","87,500","89,644","88,916","83,421","82,156","86,030","73,855","77,134","83,424","87,206","92,603","52,450","55,462","54,003","70,185","83,083","84,867","88,127","83,289","78,869","68,374","59,907","64,797","55,197","50,648","50,680","64,600"
Market Cap Growth,22.85%,23.55%,17.60%,12.03%,9.01%,-0.42%,-2.14%,-4.19%,-7.21%,-9.34%,-9.52%,1.65%,16.98%,23.72%,25.67%,22.12%,1.84%,-4.38%,-6.11%,-4.03%,-16.94%,-7.54%,1.54%,1.37%,25.38%,-32.00%,-33.52%,-38.07%,-24.21%,58.40%,53.02%,63.19%,18.67%,-5.07%,-19.43%,-32.02%,-22.20%,-30.01%,-25.93%,-15.40%,-
Enterprise Value,"112,963","125,261","120,988","130,005","131,932","127,043","120,950","121,188","123,445","118,186","110,962","103,417","118,893","115,057","110,762","119,475","118,321","115,079","118,443","130,710","107,881","115,095","122,532","127,787","134,088","84,287","66,244","66,122","60,668","89,099","90,067","75,982","98,305","88,539","83,621","75,549","82,300","86,889","57,623","51,300","65,220"
PE Ratio,13.29,14.14,14.18,13.58,14.41,13.85,13.72,12.84,13.31,12.66,12.46,13.10,15.62,15.45,15.51,15.75,15.04,13.62,12.90,13.00,10.89,11.34,12.16,12.54,14.07,8.66,11.25,11.73,15.19,14.56,12.11,11.83,10.95,11.44,10.61,9.62,11.78,9.81,9.30,9.86,12.39
PS Ratio,4.09,4.32,4.28,4.09,4.30,4.13,4.11,3.81,3.94,3.71,3.59,3.75,4.45,4.39,4.41,4.48,4.38,4.07,3.96,4.11,3.49,3.64,3.91,4.04,4.33,2.50,2.83,2.79,3.61,3.97,3.73,3.75,3.49,3.42,3.00,2.64,2.92,2.35,2.10,2.06,2.62
PB Ratio,1.80,1.86,1.84,1.75,1.85,1.76,1.73,1.60,1.62,1.51,1.47,1.54,1.85,1.83,1.81,1.84,1.81,1.70,1.66,1.71,1.45,1.48,1.58,1.63,1.79,1.02,1.07,1.03,1.32,1.61,1.60,1.64,1.52,1.54,1.41,1.26,1.28,1.04,0.96,0.95,1.22
P/FCF Ratio,6.45,6.22,8.92,10.39,15.08,18.04,15.88,10.15,8.50,8.50,8.63,12.72,16.36,12.01,11.77,10.26,13.74,17.69,12.87,11.11,6.99,7.40,10.72,11.47,18.94,8.82,12.37,11.43,18.89,36.14,9.72,10.88,8.44,4.53,4.86,4.01,3.07,4.09,3.48,3.40,4.33
P/OCF Ratio,6.45,6.22,8.92,10.39,15.08,18.04,15.88,10.15,8.50,8.50,8.63,12.72,16.36,12.01,11.77,10.26,13.74,17.69,12.87,11.11,6.99,7.40,10.72,11.47,18.94,8.82,12.37,11.43,18.89,36.14,9.72,10.88,8.44,4.53,4.86,4.01,3.07,4.09,3.48,3.40,4.33
Debt / Equity Ratio,1.16,1.30,1.29,1.41,1.43,1.43,1.39,1.32,1.30,1.25,1.17,1.12,1.00,1.01,1.08,1.03,1.00,1.03,1.11,1.29,1.09,1.08,1.06,1.04,1.23,1.53,1.22,1.07,1.00,0.96,0.94,0.96,0.80,1.05,1.12,1.21,1.40,1.87,1.46,1.22,1.22
Return on Capital (ROIC),Upgrade,6.49%,5.97%,5.96%,5.64%,5.58%,5.51%,5.55%,5.68%,5.58%,5.57%,5.76%,5.84%,6.27%,6.27%,5.96%,6.10%,6.38%,6.44%,6.38%,6.03%,6.68%,6.61%,6.62%,6.68%,6.00%,4.92%,4.59%,4.55%,4.69%,6.02%,7.18%,7.42%,8.07%,6.90%,6.60%,6.28%,4.79%,3.94%,4.45%,4.68%
