,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Cash & Equivalents,"2,925","3,163","3,469","3,483","3,217","3,290","4,590","13,898","17,004","6,914","6,646","6,852","7,456","8,467","10,905","9,021","9,026","9,992","9,653","9,785","8,547","8,814","9,043","10,402","11,004","15,046","17,190","15,926","17,388","18,928","17,381","15,864","13,181","15,530","17,138","15,039","15,458","17,217","18,050","15,207"
Short-Term Investments,"1,674","2,006","1,979","2,495","2,567","2,575","2,497","8,508","3,954","2,865","3,319","3,697","1,495","2,754","3,564","3,413","3,577","3,396","3,547","3,461","3,876","3,265","4,236","3,902","2,411","2,739","3,752","3,009","2,058","1,206","2,025","1,201","1,230","3,309","2,833","2,785","2,752","3,166","3,842","5,005"
Cash & Cash Equivalents,"4,599","5,169","5,448","5,978","5,784","5,865","7,087","22,406","20,958","9,779","9,965","10,549","8,951","11,221","14,469","12,434","12,603","13,388","13,200","13,246","12,423","12,079","13,279","14,304","13,415","17,785","20,942","18,935","19,446","20,134","19,406","17,065","14,411","18,839","19,971","17,824","18,210","20,383","21,892","20,212"
Cash Growth,66.15%,52.16%,26.58%,44.43%,25.77%,13.46%,30.08%,274.81%,262.34%,66.73%,40.61%,-52.92%,-57.29%,14.75%,45.20%,17.87%,40.80%,19.31%,-8.77%,6.53%,-1.43%,-9.78%,0.60%,7.99%,7.99%,47.24%,57.71%,32.38%,44.96%,13.21%,-7.33%,-9.88%,-25.89%,-6.43%,2.91%,4.45%,26.36%,8.20%,9.62%,13.40%
Receivables,"1,584","1,599","1,608","1,400","1,575","1,596","1,255","1,365","1,358","2,565","2,508","2,453","4,431","2,524","2,554","2,899","3,760","2,835","2,790","4,528","2,978","3,220","4,590","4,934","2,948","3,564","2,882","3,342","3,225","3,515","3,726","3,956","3,767","3,881","3,952","4,240","4,064","4,736","4,474","5,031"
Other Current Assets,"2,324","2,257","2,506","2,486","2,746","2,607","1,679","1,702","1,987","2,030","1,840","1,687","2,123","1,973","2,000","1,954","2,173","2,268","2,226","2,333","3,089","3,006","3,101","3,081","3,544","3,662","3,821","4,003","4,230","4,393","4,475","4,885","5,913","6,251","6,282","5,795","6,383","6,551","7,166","7,489"
Total Current Assets,"8,507","9,025","9,562","9,864","10,105","10,068","10,021","25,473","24,303","14,374","14,313","14,689","15,505","15,718","19,023","17,287","18,536","18,491","18,216","20,107","18,490","18,305","20,970","22,319","19,907","25,011","27,645","26,280","26,901","28,042","27,607","25,906","24,091","28,971","30,205","27,859","28,657","31,670","33,532","32,732"
"Property, Plant & Equipment","1,760","1,772","1,892","1,861","1,843","1,847","1,888","1,884","1,883","2,136","2,150","2,201","2,133","2,202","2,253","2,238","2,366","2,387","2,472","2,437","2,456","2,549","2,695","2,739","2,776","2,746","2,737","2,713","2,684","2,707","2,715","2,908","3,120","3,146","3,223","3,236","3,359","3,370","3,425","3,472"
Long-Term Investments,"3,143","2,856","3,046","3,039","2,785","3,305","3,389","3,510","3,617","3,792","3,931","3,834","2,927","2,117","1,926","2,674","2,602","2,835","4,082","4,132","3,506","2,918","2,157","1,719","1,064",547,231,161,110,"1,111","1,705","2,087","2,296","2,240","2,136","2,735","2,840","2,122","1,921","2,809"
Goodwill and Intangibles,"22,998","23,168","23,164","23,148","23,132","23,200","23,186","23,173","23,171","42,122","42,300","41,273","41,241","42,331","42,958","43,271","43,909","42,832","42,752","42,450","42,054","42,585","42,436","42,904","42,766","42,979","43,718","44,714","43,803","44,044","43,622","43,827","45,149","44,070","42,852","44,331","44,652","44,658","44,101","44,859"
