,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Cash & Equivalents,165.8,427.38,419.45,432.49,39.36,152.85,145.49,168.83,138.3,131.82,196.4,164.79,135.1,155,140.7,142,142.3,149.8,132,147.6,139.5,179.5,153.3,311.8,184.6,204.4,309.4,221.8,218.8,390.9,276.3,302.1,111.9,397.9,480.7,276.8,112.5,231.9,308.7,416.8
Short-Term Investments,3.91,3.92,3.84,3.73,3.8,3.86,3.73,3.63,3.6,3.47,3.37,3.46,3.4,3.6,3.6,3.7,0,3.8,3.8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash & Cash Equivalents,169.71,431.29,423.29,436.22,43.16,156.7,149.22,172.46,141.9,135.29,199.77,168.24,138.5,158.6,144.3,145.7,142.3,153.6,135.8,151.6,139.5,179.5,153.3,311.8,184.6,204.4,309.4,221.8,218.8,390.9,276.3,302.1,111.9,397.9,480.7,276.8,112.5,231.9,308.7,416.8
Cash Growth,79.21%,58.27%,139.36%,136.16%,-74.57%,-63.67%,-64.75%,-60.47%,228.78%,-13.66%,33.88%,-2.44%,-2.40%,17.23%,-27.77%,-13.40%,2.74%,-3.15%,-5.89%,4.05%,-1.97%,16.86%,12.89%,105.67%,32.33%,13.87%,101.83%,-28.86%,18.53%,91.24%,-10.70%,36.20%,-48.86%,1.79%,73.98%,-8.37%,0.54%,-41.72%,-35.78%,50.58%
Receivables,158.55,173.45,177.97,188.71,220.67,226.64,267.38,266,251,297.31,241.33,229.94,263.9,298.7,266.4,285.8,345.5,424.1,347.8,324.2,356.4,438.6,442.6,405.5,441.6,523.3,454.5,433.4,432.4,519.5,467.4,468,299.9,528.3,488.9,458.4,290.1,433.3,381.3,353.4
Other Current Assets,146.59,74.46,103.31,80.72,120.66,70.65,193.39,179.31,211.7,154.18,55.82,66.12,98.5,56.5,112.1,113.2,109.8,130.9,141.5,117.9,148.6,116.8,114.4,113.7,118.7,86.3,114.8,144.5,143,131.2,175,164,495.6,193.2,217,183.2,522.5,125.6,164.8,158
Total Current Assets,474.85,679.2,704.56,705.65,384.48,453.99,609.99,617.76,604.6,586.78,496.92,464.3,500.9,513.8,522.8,544.7,597.6,708.6,625.1,593.7,644.5,734.9,710.3,831,744.9,814,878.7,799.7,794.2,"1,042",918.7,934.1,907.4,"1,119","1,187",918.4,925.1,790.8,854.8,928.2
"Property, Plant & Equipment",233.37,251.73,272.88,281.35,302.27,303.83,386.09,391.63,350.3,341.99,334.63,355.87,380.3,377.8,403.5,437.8,478.3,489,501.9,518.5,555.9,797.3,797.1,808.6,766.7,757.9,802.4,844.2,899.9,910.6,915,932.2,755.4,867.8,873.1,865.5,723.5,763.6,778.8,802.5
Goodwill and Intangibles,"1,629","1,619","1,605","1,591","1,614","1,599","4,713","4,535","3,998","3,895","3,734","3,701","3,589","3,681","3,786","4,445","4,714","4,811","4,662","4,593","4,589","4,681","4,595","4,508","5,263","5,049","5,008","5,241","5,493","5,491","5,488","5,395","2,530","5,238","5,004","4,746","2,181","2,211","2,263","2,213"
Other Long-Term Assets,166.93,89.73,92.72,99.77,44.95,47.2,66.38,74.66,640.7,634.99,159.31,163.62,161.1,176.6,186.6,200.7,230.4,238.5,250.4,145.5,110.6,128.2,132,141.3,280.4,307,318.4,334.5,374.8,367,392,401.4,"3,615",934.1,445.4,444.6,"3,132",424.2,418.9,419.9
