,2014-03-28,2014-06-27,2014-10-03,2015-01-02,2015-04-03,2015-07-03,2015-10-02,2016-01-01,2016-04-01,2016-07-01,2016-09-30,2016-12-30,2017-03-31,2017-06-30,2017-09-29,2017-12-29,2018-03-30,2018-06-29,2018-09-28,2018-12-28,2019-03-29,2019-06-28,2019-10-04,2020-01-03,2020-04-03,2020-07-03,2020-10-02,2021-01-01,2021-04-02,2021-07-02,2021-10-01,2021-12-31,2022-04-01,2022-07-01,2022-09-30,2022-12-30,2023-03-31,2023-06-30,2023-09-29,2023-12-29
Cash & Equivalents,"4,569","4,804","5,159","4,902","4,812","5,024","5,081","5,363","5,887","8,151","4,077","4,940","5,652","6,354","6,886","6,272","4,963","5,005","4,646","4,013","3,682","3,455","3,248","3,137","2,943","3,048","2,995","2,956","2,734","3,370","3,290","2,531","2,505","2,327","2,049","1,871","2,220","2,023","2,032","2,481"
Short-Term Investments,296,284,222,241,228,262,347,497,146,227,248,161,25,0,35,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash & Cash Equivalents,"4,865","5,088","5,381","5,143","5,040","5,286","5,428","5,860","6,033","8,378","4,325","5,101","5,677","6,354","6,921","6,295","4,983","5,005","4,646","4,013","3,682","3,455","3,248","3,137","2,943","3,048","2,995","2,956","2,734","3,370","3,290","2,531","2,505","2,327","2,049","1,871","2,220","2,023","2,032","2,481"
Cash Growth,19.83%,18.08%,10.52%,10.48%,3.60%,3.89%,0.87%,13.94%,19.70%,58.49%,-20.32%,-12.95%,-5.90%,-24.16%,60.02%,23.41%,-12.22%,-21.23%,-32.87%,-36.25%,-26.11%,-30.97%,-30.09%,-21.83%,-20.07%,-11.78%,-7.79%,-5.77%,-7.10%,10.56%,9.85%,-14.38%,-8.38%,-30.95%,-37.72%,-26.08%,-11.38%,-13.06%,-0.83%,32.60%
Receivables,"1,802","1,989","1,915","1,880","1,696","1,532","1,616","1,650","1,254","1,461","2,023","2,004","1,948","1,948","2,101","2,052","2,011","2,197","2,219","1,715","1,223","1,204","1,448","1,791","1,978","2,379","2,097","1,833","1,905","2,257","2,446","2,743","2,353","2,804","2,422","1,905","1,591","1,598","1,451","1,523"
Inventory,"1,277","1,226","1,272","1,282","1,322","1,368","1,260","1,238","1,227","2,129","2,109","2,085","2,254","2,341","2,302","2,281","2,670","2,944","3,119","3,427","3,440","3,283","3,287","3,122","3,091","3,070","3,355","3,576","3,683","3,616","3,544","3,647","3,661","3,638","3,862","3,773","3,979","3,698","3,497","3,216"
Other Current Assets,362,417,422,355,371,327,351,200,226,616,666,416,434,413,496,485,500,492,587,587,557,535,517,577,541,551,558,744,710,514,576,614,659,684,738,832,693,567,597,618
Total Current Assets,"8,306","8,720","8,990","8,660","8,429","8,513","8,655","8,948","8,740","12,584","9,123","9,606","10,313","11,056","11,820","11,113","10,164","10,638","10,571","9,742","8,902","8,477","8,500","8,627","8,553","9,048","9,005","9,109","9,032","9,757","9,856","9,535","9,178","9,453","9,071","8,381","8,483","7,886","7,577","7,838"
"Property, Plant & Equipment","3,406","3,293","3,202","3,099","3,051","2,965","2,890","2,801","2,687","3,503","3,359","3,238","3,099","3,033","3,048","3,054","3,011","3,095","3,054","3,077","3,031","2,843","2,796","2,722","2,735","2,854","2,897","2,918","3,061","3,188","3,260","3,367","3,488","3,670","3,718","3,688","3,668","3,620","3,371","3,315"
Long-Term Investments,0,0,0,0,0,0,0,0,0,"1,171","1,217","1,082","1,291","1,340","1,462","1,845","2,160","2,105","2,028","2,318","2,403","2,791","2,629","2,321","2,157","1,875","1,746","1,858","1,694","1,586","1,646","1,553","1,417","1,396","1,219","1,357","1,379","1,410","1,245","1,344"
Goodwill and Intangibles,"3,097","3,013","2,965","2,925","3,145","3,098","3,085","3,058","3,034","14,985","14,758","14,474","14,156","13,837","13,618","13,306","13,035","12,755","12,476","12,222","11,993","11,787","11,604","11,380","11,192","11,008","10,827","10,667","10,585","10,508","10,430","10,365","10,313","10,254","10,211","10,176","10,138","10,117","10,115","10,116"
Other Long-Term Assets,523,473,495,455,551,594,631,659,486,619,553,575,589,594,557,522,634,642,576,580,584,472,751,810,872,877,927,"1,000","1,037","1,093","1,199","1,205","1,303","1,486","1,467","1,445","1,483","1,513","1,693","1,772"
Total Long-Term Assets,"7,026","6,779","6,662","6,479","6,747","6,657","6,606","6,518","6,207","20,278","19,887","19,369","19,135","18,804","18,685","18,727","18,840","18,597","18,134","18,197","18,011","17,893","17,780","17,233","16,956","16,614","16,397","16,443","16,377","16,375","16,535","16,490","16,521","16,806","16,615","16,666","16,668","16,660","16,424","16,547"
Total Assets,"15,332","15,499","15,652","15,139","15,176","15,170","15,261","15,466","14,947","32,862","29,010","28,975","29,448","29,860","30,505","29,840","29,004","29,235","28,705","27,939","26,913","26,370","26,280","25,860","25,509","25,662","25,402","25,552","25,409","26,132","26,391","26,025","25,699","26,259","25,686","25,047","25,151","24,546","24,001","24,385"
Accounts Payable,"1,902","1,971","2,016","2,071","2,020","1,881","1,799","1,806","1,571","2,056","2,136","2,187","2,379","2,350","2,292","2,171","2,416","2,524","2,367","2,235","1,889","1,898","2,231","2,100","2,183","2,352","2,353","2,332","2,204","2,332","2,274","2,411","2,232","2,222","1,981","1,561","1,572","1,585","1,571","1,755"
Current Debt,125,125,125,125,141,407,427,443,203,"3,334",78,129,181,233,258,274,124,179,213,244,276,276,251,286,286,286,286,251,251,251,251,251,75,0,0,38,"1,175","1,213","1,850","1,042"
Other Current Liabilities,"1,720","1,749","1,777","1,093","1,057",950,"1,005",996,"1,007","1,559","1,705","1,772","1,749","1,761","1,919","1,908","1,719","1,753","1,805","1,871","2,047","1,643","1,806","2,096","2,002","1,768","1,790","1,943","2,046","2,287","2,184","2,267","2,090","3,015","2,985","2,783","2,514","2,636","2,371","1,896"
Total Current Liabilities,"3,747","3,845","3,918","3,289","3,218","3,238","3,231","3,245","2,781","6,949","3,919","4,088","4,309","4,344","4,469","4,353","4,259","4,456","4,385","4,350","4,212","3,817","4,288","4,482","4,471","4,406","4,429","4,526","4,501","4,870","4,709","4,929","4,397","5,237","4,966","4,382","5,261","5,434","5,792","4,693"
Long-Term Debt,"2,344","2,313","2,281","2,250","2,203","2,149","2,109","2,062","2,000","13,660","13,055","12,944","12,907","12,918","12,873","11,777","11,076","10,993","10,930","10,370","10,309","10,246","9,961","9,547","9,343","9,289","9,086","8,882","8,678","8,474","8,270","7,057","7,087","7,022","7,071","7,033","5,898","5,857","5,822","7,351"
Other Long-Term Liabilities,473,499,490,518,529,564,585,602,557,"1,108","1,261","1,211","1,201","1,180","1,104","2,438","2,369","2,255","2,015","2,307","2,178","2,340","2,465","2,452","2,452","2,416","2,311","2,315","2,281","2,067","2,051","2,021","2,231","1,779","1,542","1,517","1,505","1,415","1,398","1,397"
Total Long-Term Liabilities,"2,817","2,812","2,771","2,768","2,732","2,713","2,694","2,664","2,557","14,768","14,316","14,155","14,108","14,098","13,977","14,215","13,445","13,248","12,945","12,677","12,487","12,586","12,426","11,999","11,795","11,705","11,397","11,197","10,959","10,541","10,321","9,078","9,318","8,801","8,613","8,550","7,403","7,272","7,220","8,748"
Total Liabilities,"6,564","6,657","6,689","6,057","5,950","5,951","5,925","5,909","5,338","21,717","18,235","18,243","18,417","18,442","18,446","18,568","17,704","17,704","17,330","17,027","16,699","16,403","16,714","16,481","16,266","16,111","15,826","15,723","15,460","15,411","15,030","14,007","13,715","14,038","13,579","12,932","12,664","12,706","13,012","13,441"
Total Debt,"2,469","2,438","2,406","2,375","2,344","2,556","2,536","2,505","2,203","16,994","13,133","13,073","13,088","13,151","13,131","12,051","11,200","11,172","11,143","10,614","10,585","10,522","10,212","9,833","9,629","9,575","9,372","9,133","8,929","8,725","8,521","7,308","7,162","7,022","7,071","7,071","7,073","7,070","7,672","8,393"
Debt Growth,22.65%,24.71%,0.33%,1.50%,-5.06%,4.84%,5.40%,5.47%,-6.02%,564.87%,417.86%,421.88%,494.10%,-22.61%,-0.02%,-7.82%,-14.43%,-15.05%,-15.14%,-11.92%,-5.49%,-5.82%,-8.36%,-7.36%,-9.03%,-9.00%,-8.23%,-7.12%,-7.27%,-8.88%,-9.08%,-19.98%,-19.79%,-19.52%,-17.02%,-3.24%,-1.24%,0.68%,8.50%,18.70%
Common Stock,927,764,583,376,225,132,107,158,214,"2,194","2,331","2,518","2,620","2,843","2,889","3,068","3,099","2,813","2,279","2,415","2,470","2,586","2,644","2,772","2,848","2,983","3,019","3,159","3,242","3,379","3,379","3,522","3,603","3,736","3,644","3,773","3,834","3,939","3,973","3,960"
Retained Earnings,"7,845","8,066","8,394","8,738","9,004","9,107","9,273","9,407","9,363","8,848","8,329","8,411","8,507","8,633","9,229","8,250","8,155","8,757","9,172","8,532","7,799","7,449","7,012","6,717","6,578","6,725","6,658","6,720","6,917","7,539","8,149","8,713","8,738","9,039","9,157","8,711","8,139","7,573","6,739","6,601"
Comprehensive Income,-4,12,-14,-32,-3,-20,-44,-8,32,103,115,-197,-96,-58,-59,-46,46,-39,-76,-35,-55,-68,-90,-110,-183,-157,-101,-50,-210,-197,-167,-217,-357,-554,-694,-369,-362,-548,-599,-493
Shareholders' Equity,"8,768","8,842","8,963","9,082","9,226","9,219","9,336","9,557","9,609","11,145","10,775","10,732","11,031","11,418","12,059","11,272","11,300","11,531","11,375","10,912","10,214","9,967","9,566","9,379","9,243","9,551","9,576","9,829","9,949","10,721","11,361","12,018","11,984","12,221","12,107","12,115","11,611","10,964","10,113","10,068"
Net Cash / Debt,"2,396","2,650","2,975","2,768","2,696","2,730","2,892","3,355","3,830","-8,616","-8,808","-7,972","-7,411","-6,797","-6,210","-5,756","-6,217","-6,167","-6,497","-6,601","-6,903","-7,067","-6,964","-6,696","-6,686","-6,527","-6,377","-6,177","-6,195","-5,355","-5,231","-4,777","-4,657","-4,695","-5,022","-5,200","-4,853","-5,047","-5,640","-5,912"
Net Cash / Debt Growth,17.05%,12.57%,20.40%,19.57%,12.52%,3.02%,-2.79%,21.21%,42.06%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Net Cash Per Share,9.90,10.95,12.40,11.63,11.42,11.67,12.36,14.34,16.37,-32.39,-30.91,-27.12,-24.79,-22.73,-20.29,-19.45,-20.19,-18.14,-21.80,-22.76,-23.64,-23.96,-23.53,-22.47,-22.07,-21.90,-21.05,-20.12,-19.79,-17.16,-16.55,-15.17,-14.74,-14.86,-15.74,-16.35,-15.21,-15.87,-17.46,-18.19
Working Capital,"4,559","4,875","5,072","5,371","5,211","5,275","5,424","5,703","5,959","5,635","5,204","5,518","6,004","6,712","7,351","6,760","5,905","6,182","6,186","5,392","4,690","4,660","4,212","4,145","4,082","4,642","4,576","4,583","4,531","4,887","5,147","4,606","4,781","4,216","4,105","3,999","3,222","2,452","1,785","3,145"
Book Value Per Share,37.31,38.11,38.30,38.98,39.94,40.26,40.42,41.19,41.24,42.87,37.81,37.52,38.17,39.24,40.88,38.08,37.92,38.44,38.95,37.63,34.98,33.79,32.32,31.47,30.91,32.05,31.60,32.23,32.51,35.15,36.65,38.52,38.29,39.17,38.31,38.10,36.40,34.48,31.31,30.98
