,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Cash & Equivalents,339,137,183,"1,307",277,273,113,39,104,39,30,137,30,32,35,271,474,466,477,357,423,"2,604","3,251","3,874","3,511","3,045","1,072",900,924,594,486,118,155,894,137,351,257,144,150,458
Cash & Cash Equivalents,339,137,183,"1,307",277,273,113,39,104,39,30,137,30,32,35,271,474,466,477,357,423,"2,604","3,251","3,874","3,511","3,045","1,072",900,924,594,486,118,155,894,137,351,257,144,150,458
Cash Growth,10.42%,-11.04%,16.56%,456.17%,-18.29%,99.27%,-38.25%,-97.02%,-62.45%,-85.71%,-73.45%,251.28%,-71.15%,-17.95%,16.67%,97.81%,1480.00%,1356.25%,1262.86%,31.73%,-10.76%,458.80%,581.55%,985.15%,730.02%,16.94%,-67.03%,-76.77%,-73.68%,-80.49%,-54.66%,-86.89%,-83.23%,50.51%,-71.81%,197.46%,65.81%,-83.89%,9.49%,30.48%
Receivables,"1,751","1,797","1,713","1,937","2,008","1,953","2,002","2,094","1,988","2,023","2,040","2,132","1,972","2,077","2,002","2,374","2,204","2,189","2,342","2,275","2,081","2,260","2,280","2,319","2,168","2,107","2,217","2,624","2,427","2,645","2,669","2,546","2,479","2,665","2,676","2,752","2,608","2,846","2,917","2,870"
Inventory,174,166,106,106,109,102,92,92,92,93,93,90,95,96,99,96,98,100,103,102,105,104,109,106,116,118,117,124,124,126,132,135,149,159,159,164,170,170,175,173
Other Current Assets,271,255,"2,114",176,223,225,192,120,118,121,130,17,126,121,164,-47,-285,-284,-247,-89,-121,-132,-80,-90,-160,-164,-49,-108,-148,-139,-103,270,276,269,292,284,336,320,320,303
Total Current Assets,"2,535","2,355","4,116","3,526","2,617","2,553","2,399","2,345","2,302","2,276","2,293","2,376","2,223","2,326","2,300","2,694","2,491","2,471","2,675","2,645","2,488","4,836","5,560","6,209","5,635","5,106","3,357","3,540","3,327","3,226","3,184","3,069","3,059","3,987","3,264","3,551","3,371","3,480","3,562","3,804"
"Property, Plant & Equipment","12,170","12,031","10,849","10,657","10,679","10,665","10,659","10,665","10,796","10,841","10,842","10,950","10,929","11,002","11,136","11,559","11,637","11,625","11,815","11,942","12,390","12,665","12,805","12,893","12,900","12,917","12,846","14,148","14,038","14,110","14,083","14,419","14,298","14,382","14,742","15,719","15,705","15,917","16,229","16,968"
Long-Term Investments,402,419,443,408,397,390,374,360,371,321,326,320,295,289,287,269,266,254,419,406,334,333,494,483,451,439,425,426,426,417,402,432,625,607,593,578,569,564,542,606
Goodwill and Intangibles,"6,571","6,587","6,230","6,180","6,419","6,392","6,381","6,461","6,860","6,862","6,844","6,806","6,795","6,821","6,828","6,794","6,924","6,899","6,944","7,002","7,049","7,059","7,093","7,053","6,992","6,984","6,954","10,018","9,970","9,948","9,925","9,926","9,902","9,856","9,939","10,150","10,167","10,208","10,177","10,013"
Other Long-Term Assets,764,787,573,526,579,578,589,536,452,452,451,407,408,401,398,513,788,765,738,655,"1,112","1,093","1,157","1,105","1,200","1,173","1,190","1,213","1,309","1,336","1,247","1,251","1,335","1,296","1,303","1,369","1,478","1,445","1,425","1,432"
Total Long-Term Assets,"19,907","19,824","18,095","17,771","18,074","18,025","18,003","18,022","18,479","18,476","18,463","18,483","18,427","18,513","18,649","19,135","19,615","19,543","19,916","20,005","20,885","21,150","21,549","21,534","21,543","21,513","21,415","25,805","25,743","25,811","25,657","26,028","26,160","26,141","26,577","27,816","27,919","28,134","28,373","29,019"
Total Assets,"22,442","22,179","22,211","21,297","20,691","20,578","20,402","20,367","20,781","20,752","20,756","20,859","20,650","20,839","20,949","21,829","22,106","22,014","22,591","22,650","23,373","25,986","27,109","27,743","27,178","26,619","24,772","29,345","29,070","29,037","28,841","29,097","29,219","30,128","29,841","31,367","31,290","31,614","31,935","32,823"
Accounts Payable,663,692,712,740,634,707,671,721,591,620,689,799,720,808,789,"1,040",791,829,940,"1,037",899,908,903,"1,065","1,031",904,884,"1,121","1,212","1,393","1,466","1,375","1,384","1,382","1,489","1,766","1,510","1,626","1,738","1,709"
Deferred Revenue,462,471,467,475,463,479,461,472,465,483,475,493,479,497,484,503,495,517,512,522,512,526,517,534,497,494,496,539,548,557,562,571,600,616,591,589,584,568,587,578
Current Debt,"1,216",786,"1,141","1,090",168,196,215,253,524,614,432,417,396,390,850,739,"1,056",828,447,432,"1,043",116,211,218,387,"3,190",167,551,244,361,601,708,435,231,258,414,336,513,297,334
Other Current Liabilities,"1,016","1,031","1,469","1,180","1,008","1,095","1,095","1,064",980,"1,089","1,068","1,085",963,"1,075","1,136",980,"1,031","1,131","1,171","1,117","1,158","1,296","1,358","1,327","1,155","1,184","1,259","1,342","1,281","1,372","1,473","1,428","1,387","1,493","1,496","1,625","1,426","1,544","1,596","1,605"
Total Current Liabilities,"3,357","2,980","3,789","3,485","2,273","2,477","2,442","2,510","2,560","2,806","2,664","2,794","2,558","2,770","3,259","3,262","3,373","3,305","3,070","3,108","3,612","2,846","2,989","3,144","3,070","5,772","2,806","3,553","3,285","3,683","4,102","4,082","3,806","3,722","3,834","4,394","3,856","4,251","4,218","4,226"
Long-Term Debt,"8,978","9,011","9,023","8,345","9,039","8,910","8,835","8,676","9,072","8,916","8,829","8,893","8,646","8,667","8,495","8,752","8,901","8,968","9,569","9,594","9,323","12,623","13,147","13,280","13,065","9,598","10,255","13,259","13,244","12,883","12,446","12,697","13,052","14,046","13,805","14,570","15,034","14,855","15,133","15,895"
Other Long-Term Liabilities,"4,068","4,041","3,736","3,578","3,804","3,784","3,868","3,814","3,839","3,802","3,880","3,852","3,908","3,895","3,895","3,773","3,767","3,685","3,711","3,672","4,021","4,050","4,186","4,249","4,298","4,356","4,554","5,079","5,112","5,117","5,119","5,192","5,215","5,168","5,190","5,539","5,592","5,580","5,618","5,806"
Total Long-Term Liabilities,"13,046","13,052","12,759","11,923","12,843","12,694","12,703","12,490","12,911","12,718","12,709","12,745","12,554","12,562","12,390","12,525","12,668","12,653","13,280","13,266","13,344","16,673","17,333","17,529","17,363","13,954","14,809","18,338","18,356","18,000","17,565","17,889","18,267","19,214","18,995","20,109","20,626","20,435","20,751","21,701"
Total Liabilities,"16,403","16,032","16,548","15,408","15,116","15,171","15,145","15,000","15,471","15,524","15,373","15,539","15,112","15,332","15,649","15,787","16,041","15,958","16,350","16,374","16,956","19,519","20,322","20,673","20,433","19,726","17,615","21,891","21,641","21,683","21,667","21,971","22,073","22,936","22,829","24,503","24,482","24,686","24,969","25,927"
Total Debt,"10,194","9,797","10,164","9,435","9,207","9,106","9,050","8,929","9,596","9,530","9,261","9,310","9,042","9,057","9,345","9,491","9,957","9,796","10,016","10,026","10,366","12,739","13,358","13,498","13,452","12,788","10,422","13,810","13,488","13,244","13,047","13,405","13,487","14,277","14,063","14,984","15,370","15,368","15,430","16,229"
Debt Growth,1.85%,0.28%,1.04%,-7.74%,-9.68%,-7.05%,-10.96%,-5.36%,4.23%,4.66%,2.33%,4.27%,-5.77%,-4.96%,0.91%,1.94%,10.12%,8.16%,7.18%,5.64%,4.11%,30.04%,33.37%,34.63%,29.77%,0.38%,-21.98%,2.31%,0.27%,3.57%,25.19%,-2.93%,-0.01%,7.80%,7.79%,11.78%,13.96%,7.64%,9.72%,8.31%
Common Stock,-694,-658,"-1,186","-1,045",-978,"-1,260","-1,514","-1,467","-1,664","-1,859","-1,813","-2,011","-1,914","-2,152","-2,607","-2,577","-2,795","-3,063","-3,209","-3,435","-3,456","-3,600","-3,546","-3,516","-3,884","-3,863","-3,781","-3,746","-3,958","-4,162","-4,580","-4,897","-5,118","-5,356","-5,831","-6,249","-6,563","-6,803","-7,116","-7,394"
Retained Earnings,"6,342","6,376","6,473","6,888","6,582","6,680","6,840","6,939","7,012","7,116","7,235","7,388","7,497","7,671","7,871","8,588","8,867","9,166","9,464","9,797","9,924","10,088","10,364","10,592","10,718","10,795","10,952","11,159","11,337","11,444","11,740","12,004","12,247","12,563","12,933","13,167","13,414","13,744","14,124","14,334"
Comprehensive Income,89,135,77,23,-50,-34,-91,-127,-58,-49,-63,-80,-66,-33,14,8,-28,-49,-16,-87,-53,-22,-33,-8,-91,-41,-16,39,48,70,12,17,15,-17,-92,-69,-57,-32,-58,-37
Shareholders' Equity,"5,737","5,853","5,364","5,866","5,554","5,386","5,235","5,345","5,290","5,208","5,359","5,297","5,517","5,486","5,278","6,019","6,044","6,054","6,239","6,275","6,415","6,466","6,785","7,068","6,743","6,891","7,155","7,452","7,427","7,352","7,172","7,124","7,144","7,190","7,010","6,849","6,794","6,909","6,950","6,903"
Net Cash / Debt,"-9,855","-9,660","-9,981","-8,128","-8,930","-8,833","-8,937","-8,890","-9,492","-9,491","-9,231","-9,173","-9,012","-9,025","-9,310","-9,220","-9,483","-9,330","-9,539","-9,669","-9,943","-10,135","-10,107","-9,624","-9,941","-9,743","-9,350","-12,910","-12,564","-12,650","-12,561","-13,287","-13,332","-13,383","-13,926","-14,633","-15,113","-15,224","-15,280","-15,771"
Working Capital,-822,-625,327,41,344,76,-43,-165,-258,-530,-371,-418,-335,-444,-959,-568,-882,-834,-395,-463,"-1,124","1,990","2,571","3,065","2,565",-666,551,-13,42,-457,-918,"-1,013",-747,265,-570,-843,-485,-771,-656,-422
Book Value Per Share,12.34,12.58,11.50,12.81,12.10,11.76,11.57,11.97,11.87,11.72,12.12,11.98,12.55,12.41,11.99,13.86,13.94,14.04,14.55,14.72,15.14,15.22,15.99,16.66,15.88,16.33,16.94,17.63,17.55,17.42,17.03,17.03,17.23,17.32,16.96,16.68,16.65,16.98,17.16,17.14
