,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31
Cash & Equivalents,780,845,"1,620","1,580","1,158","1,121","1,048","1,011",415,485,769,676,455,701,497,824,598,901,348,334,259,212,153,139,"1,458",643,787,495,"1,016","1,777","2,326","1,879","1,205","1,723","1,920","1,581",797,"1,095","1,173","1,164"
Short-Term Investments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,253,253,253,362,362,362,362,0,0,0,0,0,0,0,0,0,0,0,0,0,665,668,0
Cash & Cash Equivalents,780,845,"1,620","1,580","1,158","1,121","1,048","1,011",415,485,769,676,455,701,497,824,851,"1,154",601,587,621,574,515,501,"1,458",643,787,495,"1,016","1,777","2,326","1,879","1,205","1,723","1,920","1,581",797,"1,760","1,841","1,164"
Cash Growth,22.07%,-64.23%,15.96%,90.36%,48.46%,32.66%,-35.31%,-36.01%,-64.16%,-56.74%,-26.62%,-33.14%,9.64%,44.54%,-35.37%,21.89%,87.03%,64.62%,20.93%,-28.76%,-27.03%,-50.26%,-14.31%,-14.65%,134.78%,12.02%,52.82%,-1.20%,-30.32%,176.36%,195.55%,279.60%,18.60%,-3.04%,-17.45%,-15.86%,-33.86%,2.15%,-4.11%,-26.38%
Receivables,560,590,583,525,539,537,545,276,578,409,412,390,472,442,485,396,481,491,444,337,398,408,368,309,390,420,500,450,589,702,497,507,745,547,425,357,440,462,443,354
Inventory,626,596,578,595,645,603,590,325,677,387,368,358,386,349,340,383,445,414,389,389,451,425,393,416,480,409,411,443,505,499,499,520,611,571,542,550,586,539,528,566
Other Current Assets,349,"1,259",231,105,310,256,319,"2,027",160,"2,047","1,807",198,152,596,195,112,142,169,280,289,304,289,541,385,165,179,348,221,148,377,218,229,214,171,161,258,230,206,204,229
Total Current Assets,"2,315","3,290","3,012","2,805","2,652","2,517","2,502","3,639","1,830","3,328","3,356","1,622","1,465","2,088","1,517","1,715","1,919","2,228","1,714","1,602","1,774","1,696","1,817","1,611","2,493","1,651","2,046","1,609","2,258","3,355","3,540","3,135","2,775","3,012","3,048","2,746","2,053","2,967","3,016","2,313"
"Property, Plant & Equipment","10,864","9,327","9,295","9,284","9,247","9,259","9,222","7,943","17,859","16,427","16,423","16,393","16,309","15,707","15,698","15,105","15,042","14,971","14,951","14,958","14,896","14,839","14,523","14,309","14,189","14,123","13,800","14,181","14,103","13,972","13,957","13,997","13,950","14,187","14,168","14,211","14,154","14,112","14,141","14,267"
Long-Term Investments,820,803,801,803,798,791,789,615,"1,626","1,520",688,671,671,648,648,615,362,362,362,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
