,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
reportedCurrency,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD
totalAssets,346196000000,356189000000,360729000000,359361000000,362597000000,355804000000,361495000000,358043000000,332750000000,333770000000,337289000000,336688000000,338923000000,354771000000,367774000000,370152000000,369067000000,369371000000,363248000000,372259000000
totalCurrentAssets,47973000000,51576000000,51743000000,50008000000,50052000000,50249000000,53016000000,48693000000,44893000000,48195000000,52842000000,55555000000,59154000000,77255000000,93163000000,99289000000,97631000000,97224000000,91760000000,101142000000
cashAndCashEquivalentsAtCarryingValue,3042000000,4586000000,4213000000,5351000000,3089000000,11412000000,12576000000,8832000000,4364000000,3515000000,3465000000,4768000000,6802000000,11074000000,18861000000,30407000000,29640000000,32651000000,29528000000,32944000000
cashAndShortTermInvestments,3042000000,4586000000,4213000000,5351000000,3089000000,11412000000,12576000000,8832000000,4364000000,3515000000,3465000000,4768000000,6802000000,11074000000,18861000000,30407000000,29640000000,32651000000,29528000000,32944000000
inventory,18958000000,18332000000,18835000000,17590000000,18528000000,16501000000,19657000000,17885000000,18850000000,18357000000,19275000000,19607000000,18780000000,22177000000,23585000000,24096000000,24435000000,23642000000,24249000000,24450000000
currentNetReceivables,24701000000,27105000000,27132000000,25308000000,26966000000,20871000000,19036000000,19974000000,20581000000,24755000000,28540000000,29516000000,32383000000,42142000000,48063000000,42411000000,41749000000,38808000000,35915000000,41814000000
totalNonCurrentAssets,298223000000,304613000000,308986000000,309353000000,312545000000,305555000000,308479000000,309350000000,287857000000,285575000000,284447000000,281133000000,279769000000,277516000000,274611000000,270863000000,279977000000,272147000000,271488000000,271117000000
propertyPlantEquipment,247101000000,248563000000,250853000000,250512000000,253018000000,248409000000,250524000000,250496000000,227553000000,224641000000,223012000000,218795000000,216552000000,212773000000,209159000000,203102000000,204692000000,206023000000,206736000000,205862000000
accumulatedDepreciationAmortizationPPE,230089000000,,,,233684000000,,,,277769000000,,,,278510000000,,,,268001000000,,,
