,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Cash & Equivalents,533,466,450,529,663,554,600,611,680,"1,193",586,659,308,287,288,283,414,297,321,404,296,275,383,453,724,739,"1,577","1,402","1,875","1,688","1,840","1,255","1,349","1,117","1,113","1,186",944,837,708,705
Short-Term Investments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0
Cash & Cash Equivalents,533,466,450,529,663,554,600,611,680,"1,193",586,659,308,287,288,283,414,297,321,404,296,275,383,453,724,739,"1,577","1,602","1,875","1,688","1,840","1,255","1,349","1,117","1,113","1,186",944,837,708,705
Cash Growth,5.75%,24.27%,25.00%,34.26%,24.39%,18.88%,33.33%,15.50%,2.56%,115.34%,-2.33%,7.86%,-54.71%,-75.94%,-50.85%,-57.06%,34.42%,3.48%,11.46%,42.76%,-28.50%,-7.41%,19.31%,12.13%,144.59%,168.73%,311.75%,253.64%,158.98%,128.42%,16.68%,-21.66%,-28.05%,-33.83%,-39.51%,-5.50%,-30.02%,-25.07%,-36.39%,-40.56%
Receivables,817,803,830,804,771,738,772,762,749,752,784,792,843,868,944,990,956,999,"1,019","1,017","1,031","1,020","1,096","1,078","1,036",975,956,968,923,952,975,973,953,"1,011","1,024","1,018","1,096","1,123","1,659","1,653"
Inventory,475,516,527,516,486,502,498,477,433,482,483,488,522,540,554,562,524,578,598,622,595,617,604,580,539,573,595,582,558,596,642,679,700,804,852,837,799,857,"1,143","1,080"
Other Current Assets,184,206,209,176,144,179,186,167,143,148,154,153,166,168,175,160,177,192,168,161,172,169,175,152,151,175,173,159,167,165,166,150,158,186,185,150,173,193,225,213
Total Current Assets,"2,009","1,991","2,016","2,025","2,064","1,973","2,056","2,017","2,005","2,575","2,007","2,092","1,839","1,863","1,961","1,995","2,071","2,066","2,106","2,204","2,094","2,081","2,258","2,263","2,450","2,462","3,301","3,311","3,523","3,401","3,623","3,057","3,160","3,118","3,174","3,191","3,012","3,010","3,735","3,651"
"Property, Plant & Equipment",488,476,469,454,461,434,431,418,439,446,438,440,616,612,627,637,643,666,643,636,656,653,661,641,658,628,635,633,657,627,626,618,644,636,608,585,630,631,"1,144","1,132"
Goodwill and Intangibles,"2,206","2,199","2,190","2,115","2,105","2,028","2,034","2,018","2,019","2,096","2,069","2,065","3,833","3,848","3,901","3,915","3,936","4,385","4,265","4,267","4,208","4,207","4,210","3,991","4,013","3,931","3,928","3,885","3,947","3,906","3,899","3,853","3,808","3,784","3,689","3,570","3,649","3,653","10,296","10,188"
Other Long-Term Assets,193,221,225,220,203,185,198,192,194,187,180,181,186,204,218,236,210,233,218,219,264,527,545,620,589,570,580,619,623,611,637,623,664,681,718,760,661,646,922,934
Total Long-Term Assets,"2,887","2,896","2,884","2,789","2,769","2,647","2,663","2,628","2,652","2,729","2,687","2,686","4,635","4,664","4,746","4,788","4,789","5,284","5,126","5,122","5,128","5,387","5,416","5,252","5,260","5,129","5,143","5,137","5,227","5,144","5,162","5,094","5,116","5,101","5,015","4,915","4,940","4,930","12,362","12,254"
Total Assets,"4,896","4,887","4,900","4,814","4,833","4,620","4,719","4,645","4,657","5,304","4,694","4,778","6,474","6,527","6,707","6,783","6,860","7,350","7,232","7,326","7,222","7,468","7,674","7,515","7,710","7,591","8,444","8,448","8,750","8,545","8,785","8,151","8,276","8,219","8,189","8,106","7,952","7,940","16,097","15,905"
Accounts Payable,332,325,328,314,338,311,315,314,338,332,339,341,457,414,442,477,549,543,580,570,586,548,539,521,597,506,498,495,569,530,599,577,639,652,648,618,723,710,968,943
Current Debt,42,44,43,41,89,81,81,79,78,720,91,62,260,261,243,97,0,371,361,342,257,304,402,306,276,459,212,40,600,600,600,0,0,555,521,483,0,0,240,17
Other Current Liabilities,479,488,475,495,476,441,441,422,407,380,390,438,521,516,515,562,551,546,536,571,546,589,596,634,628,619,663,745,787,714,760,737,752,713,782,828,867,784,"1,074","1,160"
Total Current Liabilities,853,857,846,850,903,833,837,815,823,"1,432",820,841,"1,238","1,191","1,200","1,136","1,100","1,460","1,477","1,483","1,389","1,441","1,537","1,461","1,501","1,584","1,373","1,280","1,956","1,844","1,959","1,314","1,391","1,920","1,951","1,929","1,590","1,494","2,282","2,120"
Long-Term Debt,"1,199","1,199","1,199","1,199","1,195","1,195","1,196","1,196","1,196","1,153","1,143","1,148","2,108","2,126","2,168","2,189","2,200","2,228","2,179","2,189","2,051","2,044","2,051","2,030","2,040","2,031","3,031","3,053","2,484","2,460","2,466","2,455","2,440","1,878","1,879","1,880","1,880","1,881","2,267","2,253"
Other Long-Term Liabilities,603,602,610,572,608,603,606,591,554,560,557,562,921,942,957,978,"1,041","1,105","1,047","1,023","1,000","1,175","1,180","1,129","1,202","1,155","1,175","1,240","1,334","1,295","1,311","1,280","1,219","1,215","1,156","1,075",979,976,"1,638","1,591"
Total Long-Term Liabilities,"1,802","1,801","1,809","1,771","1,803","1,798","1,802","1,787","1,750","1,713","1,700","1,710","3,029","3,068","3,125","3,167","3,241","3,333","3,226","3,212","3,051","3,219","3,231","3,159","3,242","3,186","4,206","4,293","3,818","3,755","3,777","3,735","3,659","3,093","3,035","2,955","2,859","2,857","3,905","3,844"
Total Liabilities,"2,655","2,658","2,655","2,621","2,706","2,631","2,639","2,602","2,573","3,145","2,520","2,551","4,267","4,259","4,325","4,303","4,341","4,793","4,703","4,695","4,440","4,660","4,768","4,620","4,743","4,770","5,579","5,573","5,774","5,599","5,736","5,049","5,050","5,013","4,986","4,884","4,449","4,351","6,187","5,964"
Total Debt,"1,241","1,243","1,242","1,240","1,284","1,276","1,277","1,275","1,274","1,873","1,234","1,210","2,368","2,387","2,411","2,286","2,200","2,599","2,540","2,531","2,308","2,348","2,453","2,336","2,316","2,490","3,243","3,093","3,084","3,060","3,066","2,455","2,440","2,433","2,400","2,363","1,880","1,881","2,507","2,270"
Debt Growth,2.99%,3.15%,3.16%,3.16%,3.46%,2.65%,2.82%,2.82%,-0.78%,46.79%,-3.37%,-5.10%,85.87%,27.44%,95.38%,88.93%,-7.09%,8.88%,5.35%,10.72%,4.91%,-9.66%,-3.43%,-7.70%,0.35%,6.05%,32.21%,32.41%,33.16%,22.89%,-5.46%,-20.63%,-20.88%,-20.49%,-21.72%,-3.75%,-22.95%,-22.69%,4.46%,-3.94%
Common Stock,"1,669","1,633","1,594","1,569","1,578","1,536","1,544","1,476","1,437","1,448","1,460","1,471","1,475","1,477","1,468","1,474","1,486","1,466","1,448","1,458","1,465","1,438","1,451","1,459","1,466","1,419","1,427","1,435","1,451","1,396","1,409","1,423","1,435","1,394","1,405","1,417","1,428","1,438","7,781","7,814"
Retained Earnings,405,430,493,575,648,686,734,796,885,923,966,"1,011","1,033","1,050","1,117","1,188","1,227","1,282","1,359","1,452","1,639","1,674","1,770","1,791","1,866","1,854","1,838","1,828","1,930","1,967","2,029","2,092","2,154","2,181","2,238","2,197","2,292","2,331","2,344","2,416"
Comprehensive Income,167,166,158,49,-99,-233,-198,-229,-238,-212,-252,-255,-318,-276,-220,-199,-210,-207,-294,-293,-336,-316,-327,-364,-375,-461,-409,-396,-413,-426,-398,-422,-371,-377,-448,-399,-226,-191,-226,-300
