,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30
Revenue,"1,033",906,"1,005",963,"1,042",837,920,902,994,847,932,897,"1,095","1,071","1,164","1,195","1,277","1,217","1,317","1,287","1,386","1,237","1,345","1,296","1,371","1,123","1,160","1,220","1,373","1,256","1,351","1,265","1,323","1,272","1,364","1,380","1,506","1,448","1,722","2,076"
Revenue Growth (YoY),6.60%,3.07%,4.69%,-0.21%,0.87%,-7.62%,-8.46%,-6.33%,-4.61%,1.19%,1.30%,-0.55%,10.16%,26.45%,24.89%,33.22%,16.62%,13.63%,13.14%,7.70%,8.54%,1.64%,2.13%,0.70%,-1.08%,-9.22%,-13.75%,-5.86%,0.15%,11.84%,16.47%,3.69%,-3.64%,1.27%,0.96%,9.09%,13.83%,13.84%,26.25%,50.43%
Cost of Revenue,623,564,617,587,635,522,572,551,604,518,563,540,688,659,707,724,770,757,798,782,844,763,819,787,834,714,726,759,847,766,831,793,830,805,844,856,933,902,"1,071","1,312"
Gross Profit,410,342,388,376,407,315,348,351,390,329,369,357,407,412,457,471,507,460,519,505,542,474,526,509,537,409,434,461,526,490,520,472,493,467,520,524,573,546,651,764
"Selling, General & Admin",243,224,242,222,232,206,218,207,223,219,227,219,249,272,270,270,277,296,293,279,293,303,294,273,288,297,288,266,292,301,304,273,301,304,314,294,315,354,446,491
Research & Development,26,27,27,24,26,23,25,23,24,25,27,23,35,42,44,45,50,41,50,46,52,51,47,44,49,49,44,45,49,50,53,49,52,52,53,47,54,53,58,61
Other Operating Expenses,12,15,3,0,8,3,1,1,1,6,6,6,12,12,6,4,3,10,5,4,3,11,14,181,4,2,48,77,6,6,3,-2,-2,0,7,15,6,8,28,21
Operating Expenses,281,266,272,246,266,232,244,231,248,250,260,248,296,326,320,319,330,347,348,329,348,365,355,498,341,348,380,388,347,357,360,320,351,356,374,356,375,415,532,573
Operating Income,129,76,116,130,141,83,104,120,142,79,109,109,111,86,137,152,177,113,171,176,194,109,171,11,196,61,54,73,179,133,160,152,142,111,146,168,198,131,119,191
Interest Expense / Income,14,14,13,14,13,14,14,13,14,14,20,16,20,20,21,21,20,21,21,21,19,18,18,16,15,16,18,22,21,21,21,21,13,13,12,12,13,9,12,14
