,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,Current
Market Capitalization,"5,531","5,727","5,449","5,893","5,786","5,486","6,449","5,623","5,577","4,951","5,142","6,363","8,768","8,502","8,897","9,538","10,153","10,362","10,386","9,749","7,830","8,454","8,394","7,878","8,850","4,413","5,571","4,792","7,125","9,025","8,659","10,031","9,882","9,937","7,704","7,653","7,355","4,449","3,978","5,169","6,021"
Market Cap Growth,40.34%,24.43%,2.26%,16.47%,4.60%,-4.21%,18.35%,-4.58%,-3.60%,-9.75%,-20.26%,13.16%,57.21%,71.71%,73.03%,49.92%,15.80%,21.88%,16.73%,2.21%,-22.88%,-18.42%,-19.18%,-19.19%,13.04%,-47.79%,-33.63%,-39.18%,-19.50%,104.50%,55.43%,109.34%,38.70%,10.11%,-11.03%,-23.70%,-25.57%,-55.23%,-48.37%,-32.46%,-
Enterprise Value,"-1,205","-1,333",-130,-855,-898,-733,-693,-321,-170,"2,429","3,396","6,006","7,982","9,695","11,974","13,239","14,182","14,425","13,761","13,301","12,974","13,388","14,481","11,754","11,178","8,018","5,635","5,959","8,416","2,353",97,"1,591","-1,214","5,471","7,585","11,823","14,000","13,214","7,016","6,224","7,076"
PE Ratio,18.82,20.32,16.46,29.41,17.72,16.85,29.30,24.97,22.58,19.75,15.00,16.94,21.33,18.40,16.95,17.03,18.46,15.92,15.18,13.05,9.21,10.26,10.16,9.55,11.32,7.57,12.35,11.86,14.11,11.10,7.87,8.59,8.98,10.13,9.27,9.47,8.38,5.05,4.67,6.39,7.53
PS Ratio,2.61,2.72,2.56,2.72,2.55,2.44,3.11,2.78,2.75,2.45,2.38,2.86,3.83,3.60,3.62,3.79,3.92,3.81,3.79,3.49,2.77,3.02,2.99,2.82,3.17,1.76,2.38,2.08,3.00,3.22,2.73,3.08,3.10,3.25,2.66,2.62,2.43,1.43,1.28,1.68,1.95
PB Ratio,0.86,0.87,0.81,0.81,0.79,0.74,0.86,0.74,0.74,0.65,0.67,0.83,1.15,1.10,1.15,1.23,1.32,1.36,1.36,1.29,1.03,1.11,1.11,1.05,1.20,0.59,0.74,0.63,0.90,1.14,1.08,1.29,1.32,1.58,1.37,1.63,1.50,0.86,0.75,0.97,1.13
P/FCF Ratio,7.41,9.34,16.50,22.65,28.29,26.57,23.02,20.69,18.17,11.82,16.51,21.23,21.87,15.07,11.54,11.97,13.39,15.35,15.71,11.83,7.48,11.53,10.20,13.97,15.26,5.72,7.57,6.36,13.00,10.57,20.09,23.17,23.36,43.78,8.32,8.18,5.75,3.60,2.96,3.44,4.00
P/OCF Ratio,6.62,7.51,11.14,13.89,15.21,16.19,15.71,13.56,12.02,8.50,10.43,12.89,14.69,11.04,9.18,9.70,10.95,12.61,13.15,10.26,6.66,9.84,8.76,11.30,12.70,4.95,6.37,5.33,9.91,8.60,14.34,15.82,15.71,22.95,6.70,6.70,5.00,3.17,2.68,3.18,3.71
Debt / Equity Ratio,0.40,0.37,0.33,0.18,0.18,0.17,0.17,0.16,0.15,0.14,0.13,0.22,0.18,0.46,0.61,0.65,0.70,0.69,0.60,0.62,0.84,0.81,0.96,0.78,0.51,0.74,0.29,0.34,0.37,0.29,0.26,0.21,0.26,0.21,0.30,1.28,2.26,2.47,1.15,0.92,0.92
Return on Capital (ROIC),Upgrade,3.83%,3.75%,3.92%,4.19%,4.91%,4.78%,3.56%,3.28%,3.57%,3.56%,4.73%,4.62%,5.21%,4.60%,4.58%,4.73%,4.53%,5.34%,5.90%,6.40%,6.33%,6.24%,5.79%,6.44%,7.33%,4.73%,4.96%,4.27%,4.99%,8.25%,11.26%,12.80%,12.04%,13.25%,11.73%,7.81%,5.68%,5.05%,7.76%,8.21%
